,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,69656,br,Douglão,29, D(C),193,84,25,0.0,2218,5,2,11,1,0.4,70.8,7,3.9,7.60,1.6,4.1,1.5,0.5,7.8,0.4,0.9,1,0.2,1.4,0,0.4,0.6,0.2,42.5,70.8,0,5.2,Akhisar Belediyespor
1,21459,cm,Landry N'Guémo,30, M(C),173,70,27,2,2519,2,4,3,0,0.8,81.8,1,1.3,7.08,2.9,2.1,1.7,0,0.4,0.9,0.1,0,0.9,3.6,0,1.8,1.9,0.9,54.7,81.8,0.1,2.3,Akhisar Belediyespor
2,35154,tr,Merter Yüce,31, DMC,192,90,27,0,2248,0,2,4,0,0.2,82.4,1,1.8,7.06,2.7,3.4,1.5,0,2,0.7,0.4,0,0.4,0.9,0,0.9,0.7,0.4,45.4,82.4,0,2,Akhisar Belediyespor
3,107263,tr,Caner Osmanpasa,28, D(CR),182,77,33,0,2970,0,0,2,1,0.1,76,2,2,6.98,1.4,3.8,1,0.2,5.9,0.2,0.5,0,0.1,0.6,0,0.2,0.2,0.1,33.1,76,0,2.8,Akhisar Belediyespor
4,79573,tr,Ismail Konuk,28, D(C),0,0,10,2,933,0,0,3,0,0.2,79.3,0,3.3,6.93,1.8,2.6,1,0.1,6.4,0.3,0.8,0,0.1,1.1,0.1,0.2,0.3,0.1,34.3,79.3,0,3.2,Akhisar Belediyespor
5,25011,co,Hugo Rodallega,30, FW,181,72,32,2,2929,19,0,3,0,3.1,68.2,2,1.7,6.88,0.2,0.2,2.7,0,0.4,0.2,0.1,0,0.6,1.8,0.7,1.4,3,0.6,24.8,68.2,0,0.8,Akhisar Belediyespor
6,34638,tr,Güray Vural,28," D(L),M(LR)",177,65,18,0,1539,5,2,4,0,1.7,74.2,0,0.4,6.88,1,1.7,1.2,0,0.6,1.2,0.1,0,1.1,1.2,0.6,1.7,2.1,1.1,43.6,74.2,1.7,0.9,Akhisar Belediyespor
7,40890,tr,Bora Körk,36, Goalkeeper,187,80,1,0,90,0,0,0,0,0,35.5,0,1,6.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,35.5,0,9,Akhisar Belediyespor
8,6727,tr,Ahmet Cebe,33, D(R),180,75,23,0,2055,0,1,10,0,0.3,72.3,1,0.6,6.85,3.2,3.1,2.4,0.2,1.8,1,0.2,0,0.3,1.2,0,0.6,0.4,0.3,36.9,72.3,0.3,1.7,Akhisar Belediyespor
9,67573,tr,Kadir Keles,28, D(L),173,65,15,0,1308,0,2,4,0,0.3,70.1,0,0.8,6.82,1.8,2.3,1.2,0.1,2.4,0.4,0.3,0,0.4,0.7,0.1,0.4,0.9,0.4,33.9,70.1,0.7,1.9,Akhisar Belediyespor
