,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,1594,cm,Samuel Eto'o,35," M(CL),FW",179,75,31,0.0,2748,20,6,5,0,3,76.5,5,0.3,7.33,0.5,0.6,1.1,0,0.3,0.4,0.1,0,1.4,1.5,0.3,1.5,1.6,1.4,27.1,76.5,0,1.3,Antalyaspor
1,41231,br,Ramon,28, D(L),173,65,14,0.0,1251,0,3,5,0,0.6,79.5,0,0.6,7.28,2.3,3.5,1.6,0.4,1.8,0.9,0.3,0,1.1,2.3,0.1,0.6,0.6,1.1,41.7,79.5,0.6,2.9,Antalyaspor
2,33048,br,Diego Angelo,30, D(C),192,89,25,0.0,2227,1,2,4,0,1.2,78.3,3,2.1,7.14,1.8,3.4,1,0.4,4.8,0.7,0.8,1,0.3,0.9,0.1,0.2,0.4,0.3,49,78.3,0.1,4.5,Antalyaspor
3,93757,tr,Evrim Ozenc,23, Goalkeeper,0,0,2,1,189,0,0,0,0,0,47.7,0,0,6.99,0,0,0,0,1.7,0.3,0,0,0,0,0,0,0,0,14.7,47.7,0,3.3,Antalyaspor
4,33844,tr,Yekta Kurtulus,30, M(C),173,68,11,0,887,0,0,3,0,0.7,86.4,0,0.6,6.86,1.8,2.6,1.5,0,0.3,1.3,0.2,0,0.5,1,0.1,0.6,0.1,0.5,48.6,86.4,0.4,4.2,Antalyaspor
5,79654,cm,Mbilla Etame,28, AM(R),0,0,12,9,1261,7,1,7,0,1.4,72.6,1,2.2,6.82,0.6,0.4,2.2,0.1,0.4,0.2,0,0,0.8,2,0.6,0.8,1.7,0.8,13.7,72.6,0.4,0.1,Antalyaspor
6,5973,cm,Jean Makoun,33, M(C),173,65,21,4,1768,3,3,6,0,0.4,80.9,0,0.4,6.78,1.1,1.2,1.3,0,0.9,0.7,0,0,1.4,1.7,0.1,1.5,0.8,1.4,43.2,80.9,0.1,2.2,Antalyaspor
7,294181,tr,Sakib Aytac,24, D(CL),187,77,18,2,1568,1,2,4,1,0.4,80.7,0,1.4,6.77,1.7,3.6,1.3,0.7,1.9,1,0.3,0,0.3,1.1,0.1,0.7,1,0.3,33.2,80.7,0.3,1.4,Antalyaspor
8,118455,tr,Zeki Yildirim,25, DMC,0,0,19,2,1700,0,1,3,0,0.7,78.6,0,1.1,6.76,2.7,2.5,2.2,0,1.3,1.3,0.2,0,0.4,1.8,0,0.8,1.3,0.4,32,78.6,0,1.2,Antalyaspor
9,291973,tr,Omer Kandemir,22, D(R),0,0,9,0,804,0,0,4,0,0.4,79,0,1.1,6.74,2.4,2.7,1.8,0.7,1.6,1.1,0.3,0,0.6,1.4,0.1,1.4,0.9,0.6,21.7,79,0.2,0.8,Antalyaspor
10,76305,gh,Samuel Inkoom,27, D(R),178,75,12,2,1101,0,0,2,1,0.4,82.2,1,0.7,6.73,2.1,2.9,1.5,0,2.1,0.8,0,0,0.5,0.3,0.1,0.7,0.9,0.5,31.8,82.2,0.5,3.8,Antalyaspor
11,40586,cz,Ondrej Celustka,27, D(CR),186,82,28,2,2541,0,1,5,1,0.4,81.3,0,1.7,6.72,1.1,3.1,1.1,0.5,3.5,0.3,0.5,0,0.2,1,0,0.1,0.3,0.2,35.8,81.3,0,2.4,Antalyaspor
12,31211,tr,Serdar Özkan,29, AM(L),177,65,18,12,1747,0,7,3,0,0.8,83,1,0.2,6.71,0.5,0.5,0.5,0,0,0.3,0,0,0.9,2.5,0.3,1.4,0.7,0.9,22.6,83,0.6,0.6,Antalyaspor
13,117793,tr,Lokman Gör,25, D(C),187,78,11,1,902,1,0,2,1,0.3,75.6,0,1,6.70,2.3,2.8,1.7,0.4,3.8,0.6,0.8,0,0,0.3,0,0.3,0.3,0,33.2,75.6,0.1,2.9,Antalyaspor
14,43690,de,Ömer Sismanoglu,26," AM(C),FW",186,77,4,6,480,6,2,1,0,1.2,78.2,1,0.4,6.70,0.3,0.1,0.9,0,0.2,0.1,0,0,0.3,0.6,0.8,1.1,1,0.3,10.1,78.2,0,0,Antalyaspor
15,78623,dz,Rais M'bolhi,30, GK,191,80,12,0,1080,0,0,0,0,0,60.2,2,0.3,6.68,0,0.1,0,0,0.9,0,0,0,0,0.5,0,0,0,0,28.9,60.2,0,6.3,Antalyaspor
16,70143,si,Dejan Lazarevic,26, AM(LR),174,66,13,4,1138,2,3,5,0,1.7,67.6,1,0.3,6.68,1,0.6,1.6,0,0.1,0.4,0,0,0.9,1.1,0.1,1.6,1.5,0.9,18.7,67.6,0.6,0.4,Antalyaspor
17,131885,tr,Can Arat,32, Defender,191,82,1,1,99,0,0,2,0,0,70.7,1,0.5,6.66,1.5,1.5,2.5,0,3,0,1.5,0,0,0.5,0,1.5,0.5,0,20.5,70.7,0,0.5,Antalyaspor
18,107245,tr,Emrah Bassan,24, AM(R),177,68,11,9,1062,5,0,1,0,1.7,77.5,1,0.4,6.65,0.6,0.7,0.9,0,0.4,0.4,0,0,1,1.7,0.3,1.5,1.8,1,15.8,77.5,0.7,0.9,Antalyaspor
19,31220,br,Guilherme,27, AM(CR),173,77,10,2,783,1,1,2,0,1.8,80.4,0,0.2,6.65,0.7,0.3,1.5,0,0.3,0.3,0,0,2,1.4,0.1,1.3,1.4,2,39.1,80.4,0.8,2.5,Antalyaspor
20,247457,ba,Josip Kvesic,25, D(L),189,82,6,0,515,0,2,0,0,0.2,69.4,1,0.8,6.65,1.5,1.7,1,0.2,2,0.5,0.3,1,1,1.2,0.5,0.3,0.3,1,32.7,69.4,0.7,0.7,Antalyaspor
21,28484,br,Charles,31, DMC,175,72,5,9,597,1,0,1,0,0.9,86.7,0,0.4,6.64,1.9,1.1,1.6,0,0.6,0.8,0.3,0,0.1,1.1,0.1,0.2,0.3,0.1,25.2,86.7,0,1.7,Antalyaspor
22,67670,tr,Ridvan Simsek,25, D(R),173,65,10,1,777,1,0,2,0,0.4,79.9,0,0.6,6.64,1.6,1.5,1.7,0.5,1.1,0.7,0,0,0.4,1,0,0.9,0.7,0.4,26.7,79.9,0.1,1.5,Antalyaspor
23,31080,si,Saso Fornezzi,33, GK,191,88,20,1,1789,0,0,1,1,0,54.6,0,0.4,6.63,0,0.1,0,0,0.5,0,0,0,0,0.4,0,0,0,0,22.4,54.6,0,5.1,Antalyaspor
24,41058,br,Chico,29," D(C),DMC",186,86,7,4,604,0,0,3,0,0.1,82.1,0,1.6,6.56,1.5,1.9,0.9,0.2,1.2,0.6,0.4,0,0,0.6,0,0,0.3,0,28,82.1,0,2.1,Antalyaspor
25,32988,tr,Erman Kilic,32, Midfielder,168,67,1,0,71,0,0,1,0,1,75,0,0,6.53,0,2,1,0,1,0,0,0,2,0,0,1,1,2,20,75,0,2,Antalyaspor
