,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,18916,ar,José Sosa,31, AM(CLR),179,71,30,1,2489,7,12,2,0,2.2,76,7,0.9,7.53,1.5,0.9,0.7,0,0.1,0.8,0.1,0,2.1,2.8,0,0.9,1.9,2.1,47.9,76,1.9,2.7,Besiktas
1,6255,de,Mario Gomez,30, FW,189,88,31,2,2704,26,5,3,0,3.3,70,8,1.7,7.41,0.6,0.4,1.3,0,0.5,0.2,0.1,0,0.8,0.8,0.5,1.8,2.1,0.8,20,70,0.1,0.2,Besiktas
2,107077,tr,Oguzhan Ozyakup,23, M(C),180,75,31,0,2563,9,7,8,0,1.8,85,4,0.4,7.41,1.5,1.9,1.3,0,0.2,0.7,0.1,0,2.2,1.6,0.2,1.4,1.8,2.2,64.5,85,0.3,3.2,Besiktas
3,27761,br,Marcelo,29, D(C),191,80,14,0,1260,2,0,2,0,0.4,85.5,1,4.1,7.28,1.1,2.7,1.4,0.6,4.2,0.4,0.4,0,0.3,0.4,0.1,0.1,0.5,0.3,61.9,85.5,0,5,Besiktas
4,5331,ca,Atiba Hutchinson,33," D(R),DMC",187,72,33,1,3004,2,1,0,0,0.6,92.7,0,0.6,7.09,1.4,2.5,0.6,0.2,0.8,0.4,0.4,0,0.6,2.4,0,1.2,0.7,0.6,63.6,92.7,0,1.1,Besiktas
5,40574,tr,Ismail Köybasi,26, D(LR),177,75,26,1,2340,0,1,3,0,0.4,82.8,0,1,7.08,2.5,2.7,1.6,0.3,1.3,1,0.1,0,0.5,1,0.3,1.1,1.1,0.5,47.7,82.8,0.5,1.6,Besiktas
6,29461,br,Rhodolfo,29, D(C),193,82,18,0,1548,1,0,3,0,0.6,79.1,1,2.9,7.05,1.6,2.6,1.1,0.8,3.9,0.3,0.3,0,0.1,0.6,0.1,0.3,0.6,0.1,36.6,79.1,0,3.3,Besiktas
7,5964,pt,Ricardo Quaresma,32, AM(LR),175,67,23,3,1710,4,6,9,2,1.8,79.4,1,0.1,7.04,0.7,0.8,1.4,0,0.1,0.1,0,0,1.9,2.6,0.4,1.3,1.2,1.9,24.3,79.4,2.3,0.8,Besiktas
8,67317,tr,Ersan Gülüm,29, D(C),185,80,14,0,1260,0,1,5,0,0.3,77.1,0,1.8,7.04,2.1,2.9,1.6,0.7,2.6,0.8,0.5,0,0.1,1.9,0.3,0.1,0.4,0.1,34.9,77.1,0,1.6,Besiktas
9,14766,rs,Dusko Tosic,31, D(CL),184,80,14,1,1267,0,0,3,0,0.4,79.5,0,1.7,6.99,2,3.5,0.5,0.4,2.3,0.7,0.2,2,0.7,1.3,0,0.3,0.5,0.7,45.2,79.5,0.3,1.9,Besiktas
