,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,302717,,Furkan Emre Unver,19, Defender,0,0,1,0.0,90,1,0,0,0,1,92.9,0,0,7.60,1,3,0,2,1,0,0,0,1,0,0,0,0,1,42,92.9,0,3,Bursaspor
1,25884,ar,Pablo Batalla,32, AM(C),170,65,14,0.0,1253,3,4,1,0,2,82.2,1,0.3,7.27,2.1,0.8,1.5,0,0.7,0.4,0.1,0,3.3,1.4,0.4,3,1.5,3.3,46.2,82.2,1.4,1.9,Bursaspor
2,67625,tr,Serdar Aziz,25, D(C),184,78,21,0.0,1761,2,3,6,0,0.6,80.2,3,2.4,7.23,1.8,4,1.1,0.9,4.1,0.3,0.6,0,0.2,1.8,0,0.2,0.3,0.2,36.4,80.2,0,3,Bursaspor
3,317890,tr,Talha Caliskan,20, Forward,0,0,0,1,31,1,0,0,0,2,90,0,0,7.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,90,1,0,Bursaspor
4,22108,fr,Ricardo Faty,29," D(C),DMC",192,81,22,2,1955,2,2,8,0,1.1,75.7,1,3.6,7.13,2.9,2.6,2.5,0,1.5,1,0.3,0,0.5,1.4,0,1,1,0.5,37.8,75.7,0,2,Bursaspor
5,78192,cm,Dany Nounkeu,30, D(C),184,85,11,4,1116,1,0,8,0,0.3,76.2,1,2,7.06,1.9,4.5,1.7,0.8,4.1,0.5,0.6,0,0.1,0.7,0,0.5,0.3,0.1,37.2,76.2,0.1,4.3,Bursaspor
6,32480,tr,Deniz Yilmaz,28," AM(R),FW",182,78,12,1,1034,6,4,3,0,2.2,74.5,2,1,7.05,1,1,2.4,0,0.4,1.2,0.1,0,1.7,1.8,0.4,2.1,1.8,1.7,26.5,74.5,0.2,0.7,Bursaspor
7,25783,hu,Balázs Dzsudzsák,29, AM(LR),179,72,21,2,1807,3,5,3,1,2.3,76,2,0.2,6.91,0.9,0.8,0.7,0,0.3,0.4,0,0,1.8,1.6,0.1,1,1.2,1.8,29.3,76,1.9,1.9,Bursaspor
8,83249,au,Aziz Behich,25, D(L),170,63,24,2,2170,1,2,4,0,0.4,72.9,0,0.4,6.88,2.3,2.8,0.8,0.4,1.2,0.5,0.1,0,0.9,1.5,0,1.2,0.8,0.9,32.1,72.9,0.7,1.7,Bursaspor
9,67613,tr,Harun Tekin,27, GK,187,78,14,0,1260,0,0,2,0,0,57.5,1,0.6,6.81,0.1,0.5,0,0,0.9,0.3,0,0,0,0.4,0,0,0,0,26.2,57.5,0,8.9,Bursaspor
10,7433,cz,Tomas Sivok,32, D(C),184,77,23,1,2131,2,0,8,0,0.6,80.3,0,2.3,6.80,1.3,3,1.4,0.7,2.8,0.5,0.8,1,0.3,1,0.1,0,0.3,0.3,39.9,80.3,0.1,3.5,Bursaspor
11,317888,tr,Bunyamin Kasal,19, Defender,0,0,1,0,70,0,0,0,0,0,77.3,0,3,6.75,1,0,2,0,1,1,0,0,1,2,0,1,0,1,44,77.3,2,2,Bursaspor
12,302718,tr,Kubilay Kanatsizkus,19, Forward,0,0,3,1,259,2,0,1,0,2.3,75.4,0,0.8,6.74,0.5,1,1.3,0,0,0.3,0,0,0.3,0.5,0,0.8,2,0.3,14.3,75.4,0,0.3,Bursaspor
13,33512,tr,Sercan Yildirim,26," AM(CLR),FW",182,71,12,7,1135,4,5,2,1,0.7,66.2,1,0.3,6.73,1.1,0.8,0.7,0,0.4,0.7,0.1,0,0.9,0.8,0.2,1.6,1.7,0.9,14.9,66.2,0.5,0.2,Bursaspor
14,79990,tr,Bekir Yilmaz,28, DMC,180,75,13,9,1162,2,0,3,0,0.9,76.8,0,1.2,6.72,2,2,1.6,0,0.8,0.7,0.1,0,0.3,1.2,0.1,0.6,0.5,0.3,30.9,76.8,0,2,Bursaspor
15,27369,cz,Tomas Necid,26, FW,190,89,23,5,2013,11,1,4,1,1.6,65.9,2,2.5,6.70,0.3,0.4,2,0,0.9,0.2,0,0,0.5,2,0.5,1.3,1.9,0.5,17.4,65.9,0,0.1,Bursaspor
16,34029,tr,Erdem Özgenc,31, D(R),177,70,11,1,900,0,0,3,0,0.2,83.7,0,0.9,6.69,1.3,2.4,0.8,0.3,1.8,0.7,0.1,0,0.4,0.9,0,0.6,0.4,0.4,35.8,83.7,0.2,1.8,Bursaspor
17,82820,pe,Luis Advíncula,26," D(R),M(R)",178,77,12,0,1022,0,1,1,0,0.1,83.3,0,0.7,6.65,2,1.4,2,0.4,0.8,0.7,0.5,0,0.4,2,0,1.2,0.4,0.4,32.4,83.3,0.4,2.6,Bursaspor
18,32506,tr,Jem Karacan,27, DMC,178,65,6,3,546,0,1,3,1,0.7,84.7,0,0.8,6.58,1.8,2,1.4,0.1,0.4,0.6,0.4,0,0.4,0.9,0,0.1,1,0.4,30.4,84.7,0,1.3,Bursaspor
19,31792,ml,Bakaye Traoré,31, M(C),185,72,8,0,604,1,0,1,0,1.6,73.2,0,1.8,6.56,1.8,1,2,0,0.6,0.9,0.1,0,0.9,1,0,1.5,1.3,0.9,35.5,73.2,0,1.4,Bursaspor
20,33018,de,Samil Cinaz,30," D(C),DMC",187,79,16,5,1541,0,0,6,0,0.6,74.4,0,1.5,6.56,1.6,2.5,1.7,0.4,2.3,0.8,1,0,0.1,0.7,0,0.4,0.1,0.1,32.2,74.4,0,2.6,Bursaspor
21,248103,tr,Emre Tasdemir,20," D(L),M(L)",0,0,18,4,1530,0,1,1,0,0.8,70.5,0,0.4,6.46,1.3,2.3,0.7,0.2,1,0.4,0,0,0.7,1,0.3,1.2,0.8,0.7,19.6,70.5,0.4,0.9,Bursaspor
22,91580,es,Isaac Cuenca,25, M(LR),181,74,5,7,527,1,0,0,0,0.6,81.5,0,0.1,6.45,0.9,0.4,0.7,0,0.1,0.3,0,0,0.8,1.2,0,1.4,1.1,0.8,17.6,81.5,0.3,0.1,Bursaspor
23,27283,cl,Cristóbal Jorquera,28, M(C),174,69,13,9,1121,2,2,3,1,1,84.6,0,0.1,6.44,0.9,0.6,1,0,0.1,0.6,0.1,0,0.5,0.8,0,0.5,0.8,0.5,33.3,84.6,0.3,2.6,Bursaspor
24,70604,pt,Josué,25, AM(CR),174,70,14,0,1122,0,2,3,2,1.5,80.5,0,0.1,6.44,0.6,0.7,1.5,0,0.1,0.8,0.1,0,2.2,3.1,0,2,1.6,2.2,53.9,80.5,1.1,4.1,Bursaspor
