,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,86067,nl,Nadir Ciftci,24, AM(R),188,77,11,1,890,4,1,2,1,1.8,79.2,1,1.3,7.03,1,0.8,2.3,0,0.3,0.5,0.3,0,1,1.9,0.1,1.8,1.6,1,27.6,79.2,0.6,1.8,Eskisehirspor
1,96254,tr,Engin Bekdemir,24, AM(CL),171,70,23,4,1990,7,4,3,0,2.4,77.3,2,0.1,6.98,0.5,0.5,0.7,0,0.3,0.4,0,0,1.4,1.4,0.2,2.6,1.9,1.4,23.4,77.3,1.3,1,Eskisehirspor
2,15429,tr,Emre Güngör,31, D(C),181,78,17,1,1426,0,0,9,1,0.3,73.1,1,2.3,6.84,2.7,2.4,1.4,0.3,5.8,0.6,0.7,0,0.1,0.8,0.1,0,0.2,0.1,27.9,73.1,0,2.8,Eskisehirspor
3,79624,tr,Birol Parlak,26, D(C),0,0,11,2,1024,0,0,4,0,0.2,74,0,1.6,6.83,1.6,2.7,0.9,0.8,6.2,0.7,0.5,0,0.2,1.5,0,0.2,0.3,0.2,23.1,74,0.1,1.4,Eskisehirspor
4,77547,tr,Ozgur Cek,25," D(L),M(L)",174,70,8,1,622,0,1,2,0,0.9,73.9,0,0.9,6.79,1.8,3,1.1,0,1.1,1.1,0.1,0,1.1,1.2,0,0.8,0.6,1.1,29,73.9,0.7,2.1,Eskisehirspor
5,136592,tr,Emre Güral,27, AM(R),188,76,13,8,1283,9,3,4,1,2.9,75.9,0,0.2,6.76,0.8,0.6,0.4,0,0.1,0.5,0,0,0.9,1.4,0.1,1.6,1.6,0.9,20.7,75.9,0.4,0.7,Eskisehirspor
6,124189,ng,Lawal,26, M(C),185,78,10,1,791,0,1,4,0,1.1,76,0,1.5,6.72,1.1,1.2,1.7,0,0.5,0.5,0,0,0.9,3.3,0.3,1.6,0.9,0.9,42.4,76,0.3,4,Eskisehirspor
7,74553,es,Jordi Figueras,29, D(C),185,82,16,0,1440,0,1,2,0,0.9,80.6,1,1.8,6.70,1,1.9,0.9,0.6,5.1,0.3,0.8,1,0.1,0.3,0.1,0,0,0.1,42.3,80.6,0,4.8,Eskisehirspor
8,93984,tr,Kamil Cörekci,24," D(R),M(C)",173,69,25,1,2247,0,1,2,0,0.2,80.2,0,0.7,6.70,2.3,2.4,1.4,0.1,1.9,1,0.3,0,0.8,1.3,0.1,1.1,1.3,0.8,44.7,80.2,0.3,2.7,Eskisehirspor
9,78417,tr,Kaan Kanak,25," D(L),M(LR)",178,74,25,5,2273,3,3,5,0,1.3,76.4,1,0.4,6.66,1.2,1.8,0.9,0.1,1.1,0.7,0.1,0,0.7,0.5,0.1,0.7,1,0.7,27.9,76.4,0.6,1.1,Eskisehirspor
