,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,19104,pt,Nani,29," M(CLR),FW",175,66,25,3,2218,8,8,5,0,2.6,79.8,4,0.8,7.52,1.7,0.7,2,0,0.1,0.5,0,0,2.5,1.8,0.2,1.9,1.9,2.5,36.8,79.8,1.7,1.4,Fenerbahce
1,31468,tr,Gökhan Gönül,31, D(R),174,73,21,1,1929,1,1,1,0,0.7,71.9,2,1.5,7.44,3.7,3.3,0.9,0.5,1.8,1,0.3,0,1.1,1.2,0,1.3,1.4,1.1,38.8,71.9,0.8,2.3,Fenerbahce
2,22167,tr,Mehmet Topal,30," D(C),M(C)",187,82,31,2,2785,1,2,4,0,0.8,83.4,2,1.8,7.29,3,2.7,2.4,0.2,1.9,0.9,0.3,0,0.5,2.1,0.1,0.6,0.5,0.5,49.3,83.4,0.1,4.3,Fenerbahce
3,83321,tr,Hasan Ali Kaldirim,26, D(L),182,76,25,1,2164,1,5,4,1,0.3,82.5,1,1.1,7.22,1.8,2,1,0.4,1.7,0.4,0.2,0,1.9,1,0,0.5,0.7,1.9,43.1,82.5,1.7,1.8,Fenerbahce
4,83058,sn,Abdoulaye Ba,25, D(C),197,79,6,0,496,1,0,1,0,0.7,82.5,0,2.8,7.18,0.8,2.7,1.2,1.2,5,0.3,1.5,0,0.3,0,0.2,0.7,0.2,0.3,42,82.5,0,5,Fenerbahce
5,20769,dk,Simon Kjaer,27, D(C),189,90,28,0,2499,2,0,5,0,0.5,78.1,1,2.9,7.13,1.8,2.5,0.7,0.8,4.1,0.3,0.2,2,0.1,0.4,0,0,0.2,0.1,43.7,78.1,0,4.7,Fenerbahce
6,7417,br,Diego,31, AM(CLR),173,73,19,9,1655,2,5,3,0,1.8,84.6,3,0.5,7.08,1.4,1,1.1,0,0.4,1.1,0.1,0,1.5,2.5,0.1,1.2,1,1.5,38.5,84.6,0.5,3,Fenerbahce
7,18590,pt,Bruno Alves,34, D(C),189,83,26,0,2340,1,1,9,0,0.7,80.7,0,5.2,7.06,0.7,1.9,2.3,0.7,3,0.1,0.3,0,0.3,0.6,0,0.1,0.5,0.3,51.3,80.7,0,6.4,Fenerbahce
8,40989,br,Souza,27, DMC,188,80,30,1,2474,1,1,6,0,1.1,84.6,1,1.1,7.03,2.7,1.8,1.5,0,0.8,0.7,0.1,0,0.6,1.2,0.1,0.7,0.5,0.6,34.5,84.6,0.1,1.8,Fenerbahce
9,18315,cz,Michal Kadlec,31, D(CL),185,76,9,1,855,0,1,1,0,0.5,86.9,0,2.1,7.00,1.4,2.8,1.3,0.8,2.5,0.9,0.2,0,0.5,0.7,0,0.2,0.3,0.5,39.7,86.9,0,3.1,Fenerbahce
10,4564,nl,Robin van Persie,32, FW,183,71,20,11,1834,16,3,3,0,2.9,73.9,3,1.3,7.00,0.5,0.2,1.2,0,0.4,0.4,0,0,0.6,0.9,0.3,1.1,1.1,0.6,14.1,73.9,0.1,0.4,Fenerbahce
11,43622,br,Fabiano,28, GK,197,90,2,0,180,0,0,0,0,0,78.2,0,0,6.98,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,27.5,78.2,0,9,Fenerbahce
12,75461,tr,Alper Potuk,25, AM(CLR),181,70,17,10,1459,4,5,7,0,0.9,81,2,0.7,6.98,1.3,0.7,1.7,0,0,0.5,0,0,1,1.4,0.1,1.4,1.5,1,19.7,81,0.6,0.6,Fenerbahce
13,33511,tr,Volkan Sen,28, AM(LR),175,68,15,10,1371,5,3,3,0,2.1,75.8,0,0.4,6.97,1,0.9,1.3,0,0,0.6,0,0,1.4,2.1,0.4,1.8,2.1,1.4,20.2,75.8,0.3,0.5,Fenerbahce
14,112726,tr,Sener Ozbayrakli,26, D(R),171,71,13,1,1115,1,1,3,0,0.2,76.3,1,0.7,6.94,1.8,2.5,1.5,0.5,1.6,0.3,0.2,0,0.9,0.9,0.1,0.8,0.6,0.9,29.5,76.3,0.9,1.8,Fenerbahce
15,32010,tr,Caner Erkin,27," D(L),M(L)",181,75,9,4,898,0,2,4,0,0.6,70.9,0,0.8,6.91,1.5,1.1,1.1,0.1,1.4,1,0.2,0,1.6,0.9,0.2,0.5,0.5,1.6,36.5,70.9,2.1,3.1,Fenerbahce
16,19529,sn,Moussa Sow,30," M(LR),FW",180,76,1,1,115,1,0,0,0,2.5,60,0,2,6.87,1,0.5,0.5,0,0.5,0.5,0,0,0,0.5,1.5,0,1,0,12.5,60,0.5,0.5,Fenerbahce
17,105577,rs,Lazar Markovic,22, AM(LR),175,65,10,4,830,0,2,3,0,0.6,73.3,0,0.4,6.78,1.2,0.6,1.2,0,0.2,0.4,0,0,0.9,1.1,0.1,0.8,1.1,0.9,20.4,73.3,0.3,0.5,Fenerbahce
18,102079,br,Fernandão,29, FW,191,85,20,12,1859,13,1,6,0,2.3,67.6,3,2.7,6.73,0.4,0.3,1.7,0,0.6,0.3,0.1,0,0.6,1.2,0.6,1.1,1.9,0.6,16.3,67.6,0.1,0.2,Fenerbahce
19,10181,tr,Volkan Demirel,34, GK,190,92,32,0,2880,0,0,3,0,0,69.4,0,0.3,6.70,0,0.2,0.1,0,0.5,0,0,0,0,0.2,0,0,0,0,19.5,69.4,0,4.5,Fenerbahce
20,10111,pt,Raul Meireles,33, M(C),179,65,5,6,501,1,0,2,0,1.1,84.8,0,0.4,6.48,0.8,1,0.6,0.1,0.5,0.5,0,0,0.3,0.8,0.1,0.3,0.6,0.3,25.7,84.8,0.1,1.8,Fenerbahce
