,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,23282,tr,Burak Yilmaz,30, FW,188,77,12,3,1045,9,1,1,0,2.6,77,1,1.9,7.25,0.7,0.4,1.8,0.1,0.4,0.5,0.2,0,0.7,2,0.9,1.1,1.5,0.7,16.3,77,0,0.3,Galatasaray
1,30958,tr,Selcuk Inan,31, M(C),182,74,28,0,2414,11,3,7,1,1.6,87.4,2,0.6,7.19,1.5,1.9,1.9,0,0.9,0.8,0.1,0,1.2,2.4,0.1,1,0.7,1.2,67,87.4,0.5,3.6,Galatasaray
2,31713,cm,Aurélien Chedjou,31," D(C),DMC",184,86,18,1,1448,1,2,6,0,0.7,87.1,2,1.3,7.15,1.4,2.8,0.8,0.3,3.1,0.4,0.4,0,0.3,0.8,0,0.4,0.3,0.3,50.8,87.1,0.1,3.1,Galatasaray
3,6040,de,Lukas Podolski,31," AM(LR),FW",182,83,29,1,2536,13,8,8,0,2.1,80.1,2,1,7.08,0.7,0.5,1.4,0,0.3,0.5,0,0,1.4,0.9,0.4,1.3,0.8,1.4,31.8,80.1,0.2,1,Galatasaray
4,90446,fr,Lionel Carole,25, D(L),182,79,16,3,1428,0,1,4,1,0.1,82,2,1.6,7.02,1.9,2.4,0.5,0.5,1.8,0.4,0.3,0,0.9,1.2,0.1,0.8,1.2,0.9,40.9,82,0.7,1.8,Galatasaray
5,4923,nl,Wesley Sneijder,32, AM(CL),170,67,24,1,2067,5,7,11,0,3.6,81.9,1,0,7.01,0.8,0.7,1.1,0,0.1,0.4,0,0,1.9,1.5,0.1,1.3,1.4,1.9,60.6,81.9,1.2,3.2,Galatasaray
6,125793,br,Alex Telles,23," D(L),M(L)",181,71,2,0,180,0,1,0,0,0,82.7,0,2.5,6.91,1,4,0.5,0.5,0.5,1.5,0.5,0,2,0.5,0,1,0.5,2,37.5,82.7,1.5,0.5,Galatasaray
7,32506,tr,Jem Karacan,27, DMC,178,65,1,1,107,0,0,1,0,1,91.5,0,0.5,6.89,1.5,1.5,1.5,0,0.5,0.5,0.5,0,0,1.5,0,0.5,0.5,0,35.5,91.5,0,0,Galatasaray
8,25427,tr,Yasin Öztekin,29, AM(L),179,70,26,4,2292,7,5,9,0,1.6,81.7,0,0.5,6.89,1.2,0.6,2.2,0,0.2,0.5,0,0,1.4,1.3,0.4,2.1,2,1.4,30.1,81.7,0.6,0.5,Galatasaray
9,81569,tr,Emre Colak,25, M(CLR),168,65,13,5,1145,1,3,1,0,0.8,87.5,1,0.4,6.86,2,1.1,1.3,0,0.3,1.2,0,0,1.1,1.8,0,1.5,1.3,1.1,46.5,87.5,0.5,2.4,Galatasaray
10,30665,tr,Bilal Kisa,33, M(C),180,71,13,9,1269,5,2,2,0,1.3,85.7,0,0.4,6.84,1.2,0.9,0.9,0,0.2,0.8,0.2,0,0.9,1.5,0,0.9,0.5,0.9,38.2,85.7,0.2,1.8,Galatasaray
11,70541,tr,Semih Kaya,25, D(C),182,66,18,3,1668,2,0,6,1,0.3,85,0,1.8,6.83,1.1,2.2,1.1,1.5,4,0.3,0.6,0,0,1.4,0,0.1,0,0,35.8,85,0,1.8,Galatasaray
12,115997,es,José Rodríguez,21, M(CR),180,68,9,5,801,0,1,2,0,0,86.9,0,0.2,6.80,2.8,1.4,1.4,0,0.3,1.6,0,0,0.8,1,0,1,0.6,0.8,45.2,86.9,0,1.5,Galatasaray
13,18588,tr,Olcan Adin,30," D(L),M(LR)",173,66,21,6,1908,3,1,5,0,1,85.3,1,0.8,6.79,1.6,1.9,0.9,0.2,1.2,0.5,0.1,0,0.9,1.4,0.3,1.1,0.7,0.9,37.3,85.3,0.3,0.8,Galatasaray
14,30659,tr,Hakan Balta,33, D(CL),184,79,27,0,2301,1,2,5,0,0.3,86.8,1,1,6.73,1,1.9,0.9,0.7,3.3,0.4,0.3,0,0.4,0.9,0,0.5,0.2,0.4,48.4,86.8,0,2.1,Galatasaray
15,28002,nl,Ryan Donk,30," D(C),DMC",192,80,8,6,873,0,0,3,1,0.7,76.4,1,3.1,6.73,1.9,2.1,1.9,0.2,1.3,0.9,0.4,0,0.6,1.1,0,0.4,0.4,0.6,39.6,76.4,0.1,2.1,Galatasaray
16,122707,tr,Sinan Gümüs,22, AM(R),179,70,5,10,524,5,0,1,0,1,72.3,1,0.6,6.72,1.1,0.3,1,0,0,0.6,0,0,0.3,0.9,0.1,0.5,0.3,0.3,10.3,72.3,0.1,0.1,Galatasaray
17,243511,be,Jason Denayer,20, D(CR),184,70,15,2,1235,0,2,1,0,0.2,88,0,0.8,6.69,1.1,2.3,0.6,0.6,2.2,0.1,0.4,0,0.2,0.3,0.1,0.1,0.4,0.2,36.8,88,0.2,1.4,Galatasaray
18,83915,no,Martin Linnes,24, D(R),177,72,9,1,745,0,1,0,0,0.1,82.5,0,0.1,6.61,1.7,1.9,0.4,0.7,1.6,0.8,0.2,0,0.7,0.7,0,0.8,0.5,0.7,26.3,82.5,0.7,0.8,Galatasaray
