,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,121718,br,Fernando Marçal,27, D(L),178,72,21,0.0,1678,0,0,6,2,0.4,72.2,4,2.4,7.36,3.2,4.1,1.9,0.1,4,0.9,0.3,0,0.9,2.6,0.1,0.5,0.7,0.9,40.1,72.2,0.6,2.7,Gaziantepspor
1,32749,de,Elyasa Süme,32, D(C),185,76,31,0.0,2733,1,2,5,2,0.4,68,2,1.6,7.00,1.3,3.8,1,0.5,5.3,0.4,0.6,0,0.3,1.7,0.1,0.2,0.3,0.3,32.3,68,0,4,Gaziantepspor
2,84868,ba,Ognjen Vranjes,26, D(CR),186,76,12,0.0,1062,0,0,4,1,0.8,66.6,0,4.2,6.96,1.3,4.7,2.3,0.6,5.2,0.2,0.3,0,0.2,1,0,0.3,0.3,0.2,31.2,66.6,0,3.5,Gaziantepspor
3,101870,fr,Prince,22, D(C),186,81,12,0.0,989,0,0,0,0,0.1,75.9,0,1.4,6.94,1.3,2.8,1.3,0.5,5.9,0.5,0.3,0,0,0.8,0,0.1,0.1,0,29.1,75.9,0,3,Gaziantepspor
4,25881,tr,Mehmet Sedef,28, Defender,180,73,4,1,411,0,0,0,0,0.6,62.5,0,1.4,6.90,2.4,2.8,0.2,0.6,3,0.8,0.4,0,0,1.8,0,0.4,1,0,32,62.5,0,2.6,Gaziantepspor
5,239850,tr,Baris Yardimci,23, D(R),0,0,31,0,2777,0,0,3,0,0.4,71.8,1,0.9,6.87,2.2,2.6,0.8,0.3,2.4,0.7,0.3,1,0.6,1.2,0.1,0.7,0.4,0.6,29.8,71.8,0.6,1.4,Gaziantepspor
6,67627,tr,Muhammet Demir,24, FW,170,74,17,1,1521,7,3,3,0,3,75.2,0,2.7,6.85,0.4,0.4,2.1,0,1.1,0.3,0.1,0,1,2.3,0.4,2.9,3.1,1,28.7,75.2,0,0.5,Gaziantepspor
7,121844,br,Abuda,27, DMC,176,73,25,3,2146,0,0,5,0,1.1,77.2,0,0.8,6.84,3.1,2.3,2.3,0.1,1,1.1,0.3,0,0.5,1.1,0,0.6,0.5,0.5,34.8,77.2,0.2,2.4,Gaziantepspor
8,22002,lt,Zydrunas Karcemarskas,33, GK,189,83,32,0,2836,0,0,2,0,0,44.5,2,0.2,6.78,0,0,0,0,0.8,0,0,0,0,0.2,0,0,0,0,24.1,44.5,0,5.6,Gaziantepspor
9,119879,tr,Erdem Sen,27, DMC,0,0,18,3,1668,1,1,5,0,0.6,76.5,0,2,6.76,1.9,1.8,1.1,0.1,1.3,1,0.2,0,0.7,1.4,0.1,0.6,0.9,0.7,34.8,76.5,0.1,2.5,Gaziantepspor
