,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,33882,ao,Djalma,29, AM(LR),174,76,27,0.0,2281,7,8,5,0,1.4,74,4,0.9,7.34,1.8,1.9,1.9,0,0.4,0.4,0.1,0,1.7,2.2,0.4,1.5,2.9,1.7,28.6,74,1.1,1.1,Genclerbirligi
1,10184,tr,Selçuk Sahin,35, DMC,187,81,16,0.0,1440,2,2,7,0,1.4,83.4,2,2,7.29,2.2,1.9,1.5,0.1,2.3,0.8,0.4,0,0.9,0.7,0,1.1,0.8,0.9,51.9,83.4,0.1,5.3,Genclerbirligi
2,131142,by,Sergei Palitsevich,26, D(C),186,80,5,1,503,1,0,0,0,1.3,72.8,0,2.7,7.15,1.3,1.8,0.8,0.5,4.7,0.3,0.8,0,0.3,0.5,0.2,0,0,0.3,33.7,72.8,0,3.7,Genclerbirligi
3,25841,hr,Ante Kulusic,30, D(C),189,79,27,0,2430,3,0,6,0,0.5,75.7,2,2.6,7.14,1.5,2.9,1.4,0.3,5.4,0.3,0.9,0,0.1,0.7,0,0.1,0.1,0.1,31.2,75.7,0,2.2,Genclerbirligi
4,243163,tr,Ahmet Oguz,23, D(R),176,83,29,1,2648,1,2,8,0,0.5,74.7,2,1.4,7.11,3,3.6,1.8,0.2,2.2,1.2,0.1,0,0.7,1.8,0,0.8,0.8,0.7,36.2,74.7,0.6,1.8,Genclerbirligi
5,25754,ro,Bogdan Stancu,28," AM(CL),FW",183,75,29,0,2381,10,5,1,0,1.7,74.1,2,1.1,6.93,0.6,0.9,0.9,0,0.8,0.2,0,0,0.9,1.1,0.3,1.5,1.3,0.9,22.8,74.1,0.2,0.8,Genclerbirligi
6,69853,ma,Moestafa El Kabir,27," AM(L),FW",178,76,25,3,2191,8,2,9,0,3.1,65.1,2,2.8,6.88,0.9,0.5,3.4,0,0.3,0.3,0,0,0.8,2.4,0.8,1.8,2.2,0.8,22.9,65.1,0.2,0.4,Genclerbirligi
7,139554,tr,Ugur Ciftçi,24, D(L),0,0,24,1,2144,0,2,7,0,0.8,74.7,0,0.6,6.80,2,2.4,2,0.1,1.8,0.4,0.1,1,0.4,0.5,0.1,1.3,1.2,0.4,33.2,74.7,0.5,1.7,Genclerbirligi
8,110522,tr,Ahmet Yilmaz Calik,22, D(C),184,77,30,0,2646,2,0,3,0,0.5,75.2,0,2,6.80,1,2.3,1,0.6,4.7,0.2,0.8,0,0.1,0.8,0,0.1,0.3,0.1,33.5,75.2,0,2.7,Genclerbirligi
9,292215,se,Johannes Hopf,29, GK,194,92,29,0,2610,0,0,2,0,0,41.2,1,0.2,6.79,0,0,0,0,0.7,0,0,0,0,0.1,0,0,0,0,24.2,41.2,0,6.1,Genclerbirligi
