,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,85482,ba,Edin Visca,26, AM(R),172,67,34,0.0,3057,17,4,1,0,3,71.2,7,0.1,7.24,0.8,1.3,0.9,0,0.2,0.9,0.1,0,1.6,1.6,0.3,1.8,1.7,1.6,31,71.2,1,1.3,Istanbul Basaksehir
1,15214,tr,Yalcin Ayhan,34, D(C),192,82,34,0.0,3031,6,1,2,0,0.6,76.4,4,3,7.15,1.1,2.6,0.9,0.8,5,0.2,0.5,0,0.1,0.9,0,0.1,0.2,0.1,35.5,76.4,0,3.2,Istanbul Basaksehir
2,30141,tr,Alparslan Erdem,27, D(L),174,66,22,2,1884,0,0,2,0,0.4,80.3,0,1.1,7.10,1.9,2.9,1.1,0.4,1.4,0.8,0,0,0.4,1.3,0,0.8,0.5,0.4,32.9,80.3,0.5,2,Istanbul Basaksehir
3,18445,tr,Bekir Irtegün,32, D(CR),185,82,31,0,2718,3,1,7,0,0.5,81.3,2,0.9,7.03,1.8,3.1,1.4,0.3,1.7,0.6,0.4,0,0.4,0.7,0,0.3,0.6,0.4,37.2,81.3,0.3,3,Istanbul Basaksehir
4,72419,br,Doka Madureira,32, AM(L),178,70,25,7,2201,3,5,5,0,1.9,75.6,1,0.5,6.99,1.6,0.8,1.4,0,0.7,0.8,0.1,0,0.8,2.8,0.2,1.3,1.6,0.8,23.6,75.6,0.7,1,Istanbul Basaksehir
5,17028,md,Alexandru Epureanu,29," D(C),DMC",185,76,13,1,1188,0,0,4,0,0.4,84.6,1,2.5,6.98,1.5,2.8,0.8,0.1,4.1,0.4,0.5,0,0.3,0.5,0,0.1,0.4,0.3,47.9,84.6,0.1,3.5,Istanbul Basaksehir
6,79987,tr,Mehmet Batdal,30, FW,195,85,26,5,2247,9,4,8,0,1.6,67.3,1,3.4,6.97,0.8,0.4,2.6,0,0.8,0.3,0.1,0,1.1,1.4,0.4,2.2,2.5,1.1,26.6,67.3,0.1,0.4,Istanbul Basaksehir
7,2842,tr,Emre,35, M(C),171,66,21,5,1686,3,3,6,1,0.8,86.1,0,0.2,6.86,1.7,1,1.3,0,0.3,0.7,0.2,0,1.5,1.8,0,0.8,0.7,1.5,46.8,86.1,0.9,5.6,Istanbul Basaksehir
8,35007,tr,Mahmut Tekdemir,28, DMC,178,72,31,0,2780,1,1,12,0,0.8,82.4,0,1.1,6.83,1.9,2.3,1.5,0,1.1,0.9,0.4,0,0.9,1.6,0.2,0.7,1.1,0.9,45.8,82.4,0.2,3,Istanbul Basaksehir
9,22165,tr,Ferhat Öztorun,29, D(L),176,73,12,1,1063,0,1,3,0,0.2,73.3,1,1.6,6.82,1.6,3.1,1.4,0.3,1.8,0.5,0.2,0,0.7,1.4,0,0.5,0.4,0.7,25.6,73.3,0.6,1.8,Istanbul Basaksehir
10,35152,tr,Hakan Özmert,31, M(C),176,69,2,4,281,1,0,1,0,0.8,80.8,0,0,6.81,2.2,1.2,0.8,0,0.3,0.8,0.3,0,0.3,0.3,0,0.5,1.2,0.3,20.8,80.8,0.5,2,Istanbul Basaksehir
11,30275,tr,Ugur Uçar,29, D(R),180,70,16,3,1428,0,2,6,0,0.2,78.6,0,0.4,6.80,2.1,2.6,1.5,0.3,2.2,0.8,0.3,0,0.6,0.7,0.1,0.5,0.8,0.6,29.6,78.6,0.6,1.7,Istanbul Basaksehir
12,31467,tr,Volkan Babacan,27, GK,192,86,34,0,3060,0,0,1,0,0,54.5,2,0.2,6.74,0,0.1,0.1,0,0.8,0,0,0,0,0.1,0,0,0,0,25.4,54.5,0,7.2,Istanbul Basaksehir
13,19222,br,Márcio Mossoró,32, AM(C),170,67,29,5,2392,2,3,3,0,0.9,80.2,1,0.3,6.67,0.9,0.6,1.3,0,0.2,1,0.1,0,1.1,1.2,0.4,1.5,1.8,1.1,30,80.2,0.2,1.6,Istanbul Basaksehir
14,111183,sn,Stephane Badji,26, DMC,180,75,11,4,971,0,0,5,1,0.4,81.3,0,0.8,6.60,2.1,1.7,2,0,0.3,0.5,0.1,0,0.4,0.6,0,0.5,0.6,0.4,38.1,81.3,0.1,2.9,Istanbul Basaksehir
