,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,28002,nl,Ryan Donk,30," D(C),DMC",192,80,15,1,1362,2,2,4,0,1.1,77.6,2,2.5,7.22,1.8,1.8,2.4,0.1,1.1,0.6,0.1,0,1.1,2.4,0,0.8,1.3,1.1,42.2,77.6,0.1,3,Kasimpasa
1,26176,ch,Eren Derdiyok,28, FW,191,90,24,7,2110,13,5,2,0,2.5,67.1,4,4.1,7.07,0.3,0.1,1.6,0,0.7,0.3,0.1,0,1.1,1.2,0.4,1.1,1.8,1.1,17.5,67.1,0,0.3,Kasimpasa
2,86464,tr,Erhan Kartal,23, D(R),0,0,6,0,508,0,0,1,0,0,68.8,0,0.5,7.04,2.2,4,3.2,0,1,0.7,0.5,0,0.5,1.2,0,0.2,0.8,0.5,31.5,68.8,0.3,2.3,Kasimpasa
3,104432,ng,Kenneth Omeruo,22, D(C),168,67,25,0,2165,0,1,10,0,0.3,75,0,2.6,7.03,1.8,3.2,1.4,0.5,4.6,0.4,0.5,1,0.1,0.7,0,0,0.3,0.1,42.6,75,0,4.2,Kasimpasa
4,51778,bg,Strahil Popov,25, D(R),185,75,13,0,1157,0,4,1,1,0.6,75.4,0,0.7,6.99,1.5,2.8,0.8,0.1,1.8,0.5,0.2,1,0.7,0.8,0,0.7,0.6,0.7,34.5,75.4,1,2.5,Kasimpasa
5,35405,pt,André Castro,28, M(C),180,76,32,1,2808,4,3,5,0,1.4,78.7,1,1.2,6.99,2.3,1.5,1.8,0.1,1.2,1.2,0.1,0,1.4,1.5,0,1.5,1.5,1.4,46.9,78.7,0.3,3.8,Kasimpasa
6,27440,ar,Ezequiel Scarione,30, AM(C),179,72,27,1,2359,11,0,3,0,2.6,82.3,2,0.1,6.97,0.8,0.5,1.6,0,0.1,0.7,0,0,1.6,1.1,0.3,3.1,2.3,1.6,31.4,82.3,0.7,0.8,Kasimpasa
7,77503,tr,Veysel Sari,27, D(R),185,78,17,3,1569,0,0,8,1,0.9,73.6,1,1.4,6.96,3.1,3.4,2,0.2,2.4,1.1,0.3,0,0.3,3.1,0,0.7,0.7,0.3,31.5,73.6,0.2,2.4,Kasimpasa
8,58208,tr,Eray Birnican,27, GK,180,73,4,0,360,0,0,0,0,0,70.9,0,0.5,6.94,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,25.8,70.9,0,5.5,Kasimpasa
9,27763,br,Titi,28, D(C),187,83,33,0,2926,3,1,2,1,0.5,79.7,1,1.1,6.92,2,2.7,1.3,0.5,3,0.4,0.8,0,0.2,1.2,0.1,0.2,0.4,0.2,39.8,79.7,0,3.8,Kasimpasa
10,13379,fr,Olivier Veigneau,30, D(L),174,69,28,2,2549,0,4,6,0,0.4,75.5,1,0.8,6.87,2.1,3,1.1,0.2,1.1,1.2,0.1,0,0.7,0.7,0,0.7,0.5,0.7,34.4,75.5,0.6,2.5,Kasimpasa
11,64914,ve,Yonathan Del Valle,26, AM(L),174,71,20,13,1849,5,5,1,0,1.5,77.7,4,0.2,6.84,1,0.6,1.2,0,0.2,0.3,0,0,1.2,1.2,0.2,1.4,1.4,1.2,12.8,77.7,1.1,0.5,Kasimpasa
12,77827,tr,Adem Büyük,28," AM(LR),FW",177,74,25,6,2078,3,4,4,1,1.7,71.7,1,2.6,6.83,0.9,0.6,2.1,0,0.9,0.4,0.2,0,0.9,2.4,0.2,2.3,1.4,0.9,20.2,71.7,0.2,0.9,Kasimpasa
13,97913,cz,David Pavelka,25, M(C),184,74,6,3,536,0,0,0,0,0.2,83.3,0,1.7,6.75,2.4,2.2,3.2,0,0.9,1.2,0.2,0,0.2,1.4,0,0.3,0.3,0.2,32.6,83.3,0,1.8,Kasimpasa
