,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,71325,ml,Samba Sow,27, M(C),185,75,16,0.0,1331,1,0,6,1,0.9,79.5,2,2.2,7.21,3.4,3.1,3.6,0.1,0.9,0.7,0.3,0,0.9,2.6,0.1,1.9,1.9,0.9,40,79.5,0,1.2,Kayserispor
1,82892,fr,Ali Ahamada,24, GK,189,86,13,0.0,1170,0,0,0,0,0,50.3,1,0.5,7.12,0,0.1,0,0,1,0,0,0,0,0.2,0,0,0,0,25.2,50.3,0,7.4,Kayserispor
2,118216,tr,Zeki Yavru,24, D(R),178,72,30,0.0,2669,3,1,9,1,1.5,72.1,1,1.3,6.85,1.7,2.8,1.8,0.4,1.8,0.6,0.3,0,0.6,1.2,0,0.6,0.6,0.6,29.4,72.1,0.7,1.5,Kayserispor
3,77413,tr,Omer Bayram,24," D(L),M(LR)",173,73,27,2,2324,1,3,4,0,1.2,73.7,1,0.5,6.82,1.1,1.6,1,0.1,0.7,0.4,0,0,1.5,2.1,0.2,1.7,1.3,1.5,26.9,73.7,1.5,1.3,Kayserispor
4,19256,nl,Diego Biseswar,28, AM(CL),171,73,30,2,2641,5,4,4,0,2.3,79.9,2,0.3,6.79,0.7,0.5,1.5,0,0.1,0.4,0,0,1.6,2.9,0.3,2.7,1.4,1.6,32.2,79.9,0.8,1.9,Kayserispor
5,105855,rs,Srdjan Mijailovic,22, DMC,178,74,23,5,2035,0,0,8,0,0.6,75.2,2,1.6,6.76,2.4,2.2,1.6,0.1,1,0.8,0.3,0,0.6,1,0,0.5,0.6,0.6,31.9,75.2,0.2,2.7,Kayserispor
6,115681,nl,Deniz Turuc,23, AM(CLR),177,72,23,9,2134,2,1,5,0,1.3,77.9,1,1,6.63,1.3,0.8,1.6,0,0.7,0.5,0.1,0,0.7,1.3,0.1,1.7,1.3,0.7,22.3,77.9,0.6,1.1,Kayserispor
7,70126,tr,Furkan Ozcal,25, M(C),170,71,26,3,2361,1,1,6,0,1,76.4,0,0.6,6.62,1.7,2.5,1.2,0,0.9,1.5,0.1,0,0.9,0.9,0,0.9,1.1,0.9,37.9,76.4,0.1,1.8,Kayserispor
8,38734,fr,Larrys Mabiala,28, D(C),188,80,28,2,2505,1,0,4,2,0.7,79.8,1,2,6.61,1.1,2.2,1.3,0.6,4,0.2,0.5,0,0.3,0.8,0,0.2,0.3,0.3,33.6,79.8,0,2.9,Kayserispor
9,119536,tr,Mustafa Akbas,26, D(CL),186,0,26,2,2199,0,0,7,2,0.3,75.6,0,1.9,6.61,1.2,2.7,1.4,0.7,2.1,0.3,0.4,0,0.1,0.7,0.1,0.1,0.3,0.1,27.3,75.6,0,2.5,Kayserispor
