,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,20012,tr,Ali Camdali,32, M(C),184,85,33,0.0,2937,2,0,7,0,0.6,78.3,5,1.8,7.29,3.8,3.3,1.8,0,2,1.4,0.4,0,0.4,1.5,0,0.7,1.2,0.4,55.7,78.3,0.1,4.6,Konyaspor
1,33098,al,Alban Meha,30, AM(L),174,76,24,0.0,2067,4,5,4,0,2.4,82.1,2,0.2,7.24,2.3,1.4,1.6,0,0.1,1.6,0.1,0,1.5,2.5,0,1.7,1.1,1.5,36.5,82.1,1.1,1.5,Konyaspor
2,40609,si,Nejc Skubic,27, D(R),178,75,17,0.0,1530,1,3,3,0,0.4,72.9,1,1.4,7.21,1.5,3,1.7,0.2,1.5,0.5,0,0,0.8,1.5,0.1,0.8,1.4,0.8,33.9,72.9,0.6,0.9,Konyaspor
3,42637,gb,Barry Douglas,26, D(L),175,64,11,1,1006,0,1,2,0,0.5,76.3,1,1.6,7.08,2,2.3,1.7,0.3,1.5,0.8,0,0,1.2,0.8,0.1,0.7,0.7,1.2,44.3,76.3,1.5,2.1,Konyaspor
4,31950,tr,Ali Turan,35, D(CR),186,79,28,1,2537,0,0,11,0,0,78.6,0,2,6.99,1.9,2.9,1.2,0.3,3.8,0.7,0.7,0,0.1,1.4,0,0.3,0.5,0.1,39.4,78.6,0,3.2,Konyaspor
5,32433,tr,Serkan Kirintili,31, GK,185,78,31,0,2790,0,0,1,0,0,38.5,3,1.1,6.90,0,0,0,0,1.1,0,0,0,0,0.5,0,0,0,0,23.5,38.5,0,6,Konyaspor
6,109860,tr,Omer Sahiner,24," D(R),M(R)",0,0,28,5,2638,3,6,5,0,0.7,74.7,2,0.4,6.89,1.7,1.9,1.3,0.2,0.7,0.9,0.2,0,0.7,0.6,0.1,0.6,0.9,0.7,30.6,74.7,0.5,2.5,Konyaspor
7,243923,tr,Volkan Findikli,25, DMC,0,0,12,4,966,2,1,2,0,0.4,83.3,2,2.1,6.85,1.3,1.7,1,0,1.1,0.4,0.4,0,0.3,0.2,0.1,0.6,0.6,0.3,35.3,83.3,0,3.5,Konyaspor
8,69409,rs,Jagos Vukovic,28, D(C),194,89,32,0,2880,4,0,0,0,0.3,75.6,0,2,6.83,0.3,1.3,0.5,0.4,4.6,0.2,0.5,0,0.1,0.5,0,0.1,0.1,0.1,37.8,75.6,0,3.6,Konyaspor
9,26019,bf,Abdou Traoré,27, AM(CLR),172,72,25,5,1886,7,1,6,0,1.1,80.6,2,0.6,6.76,1.5,0.7,1.5,0,0.4,0.7,0.2,0,0.6,1.3,0.1,1.2,1.5,0.6,23.4,80.6,0.1,0.6,Konyaspor
10,5284,se,Samuel Holmén,31, M(C),178,70,26,4,2417,5,2,6,0,1.1,82.4,1,0.8,6.75,1.9,1.4,2.3,0,0.6,1.1,0,0,0.4,1.2,0.2,1.2,1.8,0.4,32.5,82.4,0.2,0.9,Konyaspor
11,240865,tr,Mehmet Uslu,33, D(L),0,0,20,1,1795,0,1,5,0,0.2,71.6,0,1.1,6.74,1.7,2.3,1.1,0.2,2.2,0.7,0,0,0.7,0.6,0,0.5,0.7,0.7,38.3,71.6,0.5,1.9,Konyaspor
12,14601,bg,Dimitar Rangelov,33, FW,183,80,22,7,1994,4,3,7,0,1.2,65.1,1,3.1,6.68,0.6,0.3,2.3,0,0.3,0.6,0,0,0.9,1.6,0.4,1.8,2.3,0.9,23.7,65.1,0.2,0.5,Konyaspor
13,53168,ci,Ibrahim Sissoko,24, AM(CLR),173,71,5,3,370,1,1,0,0,0.8,76.8,0,0.3,6.65,1,0.9,1.3,0,0.1,0.4,0,0,0.3,1.8,0,2,0.9,0.3,24.3,76.8,0.1,0.5,Konyaspor
14,108073,tr,Abdulkerim Bardakci,21, Forward,0,0,4,3,369,1,0,2,0,0.4,66.4,0,1.4,6.52,0.7,1.7,0.9,0.4,1.7,0.4,0.1,0,0.3,0.6,0,0.9,0.3,0.3,20.4,66.4,0.3,1.4,Konyaspor
15,292138,ba,Rijad Bajic,22, FW,189,74,19,13,1790,5,3,0,0,1.2,76.1,0,0.8,6.50,0.4,0.1,0.9,0,0.2,0.2,0,0,0.7,0.9,0.5,1.2,1.9,0.7,16.3,76.1,0.1,0.3,Konyaspor
16,79652,cm,Marc Kibong Mbamba,27, AM(R),0,0,7,6,709,1,0,1,0,0.7,71.4,0,0.4,6.50,2.1,0.8,1.2,0.1,0.1,0.8,0.2,0,0.3,0.8,0.1,1.4,1.3,0.3,22.3,71.4,0.3,1.3,Konyaspor
17,44881,cy,Dossa Júnior,29, D(C),188,82,4,0,333,0,0,1,1,0.8,80.8,0,2.3,6.43,0,3,1.8,0.3,3,0,0.5,0,0.3,0.5,0,0,0.3,0.3,54.8,80.8,0,7,Konyaspor
18,312663,ba,Amir Hadziahmetovic,19, Midfielder,0,0,2,3,206,0,0,0,0,0.2,84.1,0,0.2,6.37,0.8,0.6,1.2,0,0.6,0.8,0.2,0,0.2,1.2,0,0.4,0.6,0.2,27.6,84.1,0,1.6,Konyaspor
19,292139,tr,Halil Ibrahim Sonmez,25, Midfielder,0,0,4,14,564,2,0,1,0,0.6,78.9,0,0.3,6.33,0.4,0.2,0.7,0,0.1,0.3,0,0,0.2,1.2,0.1,0.5,0.2,0.2,10.8,78.9,0,0.2,Konyaspor
20,96791,tr,Selim Ay,24, D(C),0,0,4,8,409,0,0,0,0,0,79.1,0,0.7,6.32,0.8,0.5,0.6,0.3,0.9,0.3,0.5,0,0.1,0.4,0,0,0,0.1,14.8,79.1,0,2,Konyaspor
21,1825,tr,Ugur Inceman,35, M(C),183,73,6,5,527,0,0,4,0,0,81.9,0,0.3,6.25,1.1,0.4,1.2,0,1.5,0.5,0.3,0,0.2,0.5,0,0.3,0.5,0.2,24.5,81.9,0,2.2,Konyaspor
22,240867,tr,Vedat Bora,21, Midfielder,175,0,4,3,248,0,0,0,0,0.6,78.7,0,0.4,6.22,0.4,0,0.9,0,0,0,0.1,0,0,0.9,0,0.9,0.9,0,10.7,78.7,0,0.4,Konyaspor
23,43690,de,Ömer Sismanoglu,26," AM(C),FW",186,77,3,8,336,0,1,1,0,0.6,68.3,0,1.1,6.19,0.2,0.1,1.2,0,0.5,0,0.1,0,0.2,0.9,1,0.9,0.8,0.2,7.5,68.3,0,0,Konyaspor
24,132341,tr,Selcuk Alibaz,26, Midfielder,177,68,0,5,73,0,0,0,0,0.4,90.6,0,0,6.15,0.4,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,6.4,90.6,0,0.4,Konyaspor
25,10683,ro,Ciprian Marica,30, FW,185,80,0,1,6,0,0,0,0,0,33.3,0,1,6.13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,33.3,0,0,Konyaspor
26,39123,tr,Kenan Özer,28, AM(R),170,70,0,1,9,0,0,0,0,1,100,0,0,6.04,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,100,0,0,Konyaspor
27,57396,tr,Kaya Tarakci,35, GK,0,0,3,0,270,0,0,0,0,0,46.2,0,0,5.88,0.3,0,0,0,1.7,0.3,0,0,0,0.7,0,0,0,0,17.3,46.2,0,4,Konyaspor
