,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,14534,tr,Gokcek Vederson,34, D(L),175,76,26,0.0,2340,4,7,7,2,2,75.8,1,0.6,7.02,1.7,1.7,1.2,0.3,2.6,0.9,0.2,0,2,1,0.2,0.5,0.4,2,48.2,75.8,2.4,3.9,Mersin
1,107265,tr,Nihat Sahin,26, GK,191,83,5,0.0,406,0,0,0,0,0,56.8,1,0,6.92,0,0.2,0,0,0.4,0,0,0,0,0.2,0,0,0,0,22.2,56.8,0,6.8,Mersin
2,30623,tr,Serkan Balci,32," D(R),DMC",173,74,28,0.0,2476,1,0,9,0,0.3,74.5,1,0.6,6.82,3.4,2.3,2.4,0.1,1.2,0.8,0.1,0,0.7,1.6,0.1,0.8,1,0.7,40,74.5,0.4,2.4,Mersin
3,10176,tr,Servet Cetin,35, D(C),191,87,14,0.0,1260,1,0,4,0,0.6,69.8,0,3.9,6.75,1.5,2.3,2.1,0.4,3.2,0.7,0.1,0,0,1.4,0,0.4,0.2,0,32.9,69.8,0,4.2,Mersin
4,243253,tr,Muammer Yildirim,25, GK,190,81,26,0.0,2340,0,0,2,0,0,45.7,1,0.5,6.73,0.1,0,0,0,0.9,0.1,0,0,0,0.4,0,0,0,0,24.3,45.7,0,6.5,Mersin
5,30526,bf,Prejuce Nakoulma,29, AM(LR),178,76,25,2,2222,6,2,4,0,2.2,78,2,0.9,6.72,0.8,0.7,2,0,0.1,0.4,0,0,1,2.6,0.9,2.9,2.3,1,20.9,78,0.2,0.6,Mersin
6,239649,tr,Mehmet Sigirci,23, Defender,0,0,2,2,143,0,0,1,0,0.3,63,0,0.8,6.70,1,2,1.3,0,1.3,0,0.8,0,0,0.3,0,0.3,0,0,11.5,63,0,0.5,Mersin
7,38485,br,Welliton,29, FW,174,72,19,2,1725,6,3,4,0,1.7,75.9,0,1.1,6.65,0.2,0.1,1.7,0,0.3,0.1,0,0,0.6,1.9,1,1.3,2.7,0.6,17,75.9,0.1,0.3,Mersin
8,26430,bo,Ricardo Pedriel,29," AM(R),FW",186,79,16,11,1528,5,2,7,1,0.9,66.7,1,2.7,6.59,0.9,0.7,1.6,0,0.6,0.4,0,0,0.4,1.4,0.4,1.1,1.4,0.4,16.8,66.7,0.2,0.3,Mersin
9,84821,se,Abdul Khalili,24, M(C),180,79,22,1,1883,1,1,2,0,1.3,83.4,0,0.2,6.53,1.2,1,1,0,0.1,0.7,0,0,0.7,2,0,1.9,1.2,0.7,42.3,83.4,0.4,2.5,Mersin
10,58158,tr,Serol Demirhan,27, D(L),185,78,7,4,636,0,0,0,0,0.1,70.2,0,1.9,6.52,1.3,2.1,0.6,0.2,3.5,0.5,0.5,0,0.3,0.4,0.1,0.1,0.2,0.3,24.1,70.2,0.3,1.7,Mersin
11,240890,tr,Mehmet Tas,25, DMC,0,0,13,9,1305,1,0,2,1,0.8,73.8,0,0.4,6.51,2.5,2.2,1.9,0,0.6,0.8,0.3,0,0.2,0.4,0,0.9,1.2,0.2,27.1,73.8,0,2,Mersin
12,99976,se,Loret Sadiku,24," D(C),DMC",180,70,29,0,2480,0,0,7,0,0.3,83.1,0,1.6,6.51,0.9,2.3,1.1,0.3,2.3,0.6,0.6,0,0.3,0.7,0,0.6,0.5,0.3,42.4,83.1,0,2.2,Mersin
13,105696,rs,Milan Mitrovic,27, D(C),189,85,25,4,2285,2,0,9,1,0.1,80,0,1.7,6.45,1.5,2.8,1.2,0.6,2.6,0.6,0.4,1,0,0.4,0,0.1,0.2,0,34.3,80,0,2.4,Mersin
14,11560,tr,Güven Varol,35," D(R),M(R)",184,72,23,4,1930,2,2,5,0,0.8,64.1,0,0.9,6.44,1.1,1.5,0.9,0.1,1.3,0.8,0.2,0,0.6,0.8,0.1,1.4,0.7,0.6,21.6,64.1,0.1,1,Mersin
15,30951,tr,Murat Ceylan,28, DMC,168,68,25,2,1988,0,0,4,0,0.6,76.5,0,0.8,6.43,1.1,2,1.3,0,0.8,0.6,0.1,0,0.6,1.1,0,0.7,0.6,0.6,36.7,76.5,0.1,2.1,Mersin
16,303093,,Gökhan Akkan,17, D(C),0,0,5,2,444,1,0,1,0,0.3,78.8,0,0.7,6.43,2.4,3,1.3,0.6,2.6,0.6,0.9,0,0.1,0.1,0,0.1,0.4,0.1,28.3,78.8,0,2.3,Mersin
17,280611,tr,Hasan Das,21, Goalkeeper,0,0,0,1,45,0,0,0,0,0,42.9,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42.9,0,4,Mersin
18,301747,tr,Hakan Olkan,24, Defender,0,0,4,1,388,0,0,0,0,0.6,74.4,0,1.2,6.39,2,3,1.8,0,1,0.6,0.2,0,0.2,2.8,0,1,0.6,0.2,35.2,74.4,0.2,1.4,Mersin
19,108629,,Melih Gokcek,34, AM(CL),169,69,14,11,1277,0,2,1,1,0.4,74.5,0,0.4,6.34,1,0.7,1.1,0,0.2,0.6,0,0,1.1,1.6,0,0.5,1.2,1.1,26.5,74.5,0.4,1,Mersin
20,118412,tr,Mahmut Metin,21, Midfielder,0,0,4,0,314,1,0,1,0,1,74.7,0,0.5,6.31,1.3,2.3,2,0,0.5,0.5,0,0,0,0.3,0.3,0.8,0.8,0,20.8,74.7,0.3,0.5,Mersin
21,110535,tr,Eren Tozlu,25," AM(R),FW",0,0,13,5,1153,0,1,3,0,0.7,76.5,0,1.3,6.30,1.1,0.4,1.8,0,0.3,0.4,0.1,0,0.6,2.1,0.2,1.5,1.8,0.6,19.2,76.5,0.3,0.7,Mersin
22,67771,tr,Oktay Delibalta,30, AM(C),180,76,11,4,1036,0,0,3,0,1.1,79.3,0,0.5,6.27,0.9,0.9,1.9,0,0.6,1.1,0,0,0.7,1.5,0.1,1.3,1.5,0.7,29,79.3,0.2,0.7,Mersin
23,303399,tr,Ahmet Cukadar,17, Defender,0,0,0,4,54,0,0,0,0,0.3,69.6,0,0.3,6.11,0.8,0.5,0,0.3,0.3,0.3,0.3,0,0,0.3,0,0.3,0,0,5.8,69.6,0,0.3,Mersin
24,316826,tr,Mehmet Ali Kacar,18, Midfielder,0,0,0,1,7,0,0,0,0,0,66.7,0,1,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66.7,0,0,Mersin
25,91649,de,Berkan Afsarli,25, Midfielder,173,75,1,4,206,0,1,1,0,0.8,75,0,0,6.04,0.2,1.4,0.6,0,0,0.8,0,0,0.2,1,0,0.8,0.6,0.2,16.8,75,0.6,0.8,Mersin
26,30547,tr,Sinan Kaloglu,35, Forward,186,83,2,15,327,0,1,0,0,0.2,67.3,0,0.6,6.03,0,0.1,0.4,0,0,0.1,0,0,0.2,0,0.3,0.6,0.6,0.2,6.1,67.3,0.1,0.2,Mersin
27,302507,,Kudbettin Ograk,22, Midfielder,0,0,3,0,266,0,0,0,0,0.3,84.7,0,0,6.03,2.7,1.3,1.3,0,0,1.7,0,0,0.7,2.7,0,1,1.3,0.7,32.7,84.7,0,1,Mersin
28,77434,hu,Marko Futacs,26, FW,196,90,1,3,83,0,0,0,0,0.8,56.7,0,1.3,5.95,0,0,1,0,0,0,0,0,0,0.3,0.5,0.3,1,0,7.5,56.7,0,0,Mersin
29,79622,tr,Nurullah Kaya,29, Midfielder,173,65,7,2,592,0,0,2,1,0.3,74.7,0,0.3,5.92,1,1,0.9,0.1,0.8,0.7,0,0,0.2,0.3,0.3,0.8,0.7,0.2,19.3,74.7,0,0.2,Mersin
30,316827,tr,Emrah Ozyaylaz,21, Midfielder,0,0,0,2,22,0,0,0,0,0,81.8,0,0,5.90,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,5.5,81.8,0,0.5,Mersin
31,22171,bg,Nikolay Mihaylov,27, GK,194,85,3,0,270,0,0,0,0,0,62.7,0,0,5.72,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,19.7,62.7,0,4.3,Mersin
32,79082,tr,Efe Halil Özarslan,26, D(C),0,0,1,1,132,0,0,0,1,0.5,84.8,0,2,5.29,0,1.5,0.5,0,4,0,0.5,0,0,1,0,0,1.5,0,39.5,84.8,0,3,Mersin
