,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,140179,ng,Aminu Umar,21, AM(LR),175,70,27,1,2403,8,4,4,1,1.7,73.9,8,1,7.50,2,2.1,1.8,0,0.5,0.5,0.1,0,1.9,1.7,0.5,2.3,3.1,1.9,35.3,73.9,0.7,1,Osmanlispor FK
1,79732,tr,Musa Cagiran,23, M(C),181,72,29,0,2495,3,5,13,1,1.9,74.7,3,1.3,7.36,3.2,1.9,2.9,0,1,1.3,0.2,0,0.8,2.1,0.1,1.9,1.6,0.8,36,74.7,0,2.5,Osmanlispor FK
2,21489,lb,Bilal Aziz,30, Defender,181,73,4,1,377,0,0,2,0,0,65.2,0,1,7.19,3.2,3.8,1.4,0.2,2.8,0.8,0.4,0,0.8,0.8,0,0.8,0.6,0.8,31,65.2,0.8,5,Osmanlispor FK
3,112698,sn,Papa Alioune Ndiaye,25, M(C),179,74,30,3,2620,11,4,6,0,2.2,76.4,2,0.6,7.03,2.2,0.5,2.2,0,0.5,0.8,0.1,0,1.1,2.3,0.2,1.8,2,1.1,24.4,76.4,0.1,1.1,Osmanlispor FK
4,43828,pt,Tiago Pinto,28, D(L),177,75,19,7,1831,1,1,4,0,0.6,73.3,2,0.7,6.99,1.9,3.3,1.1,0.1,2.3,0.7,0.3,0,0.7,1.5,0,0.9,0.9,0.7,26.4,73.3,0.5,1.2,Osmanlispor FK
5,124189,ng,Lawal,26, M(C),185,78,13,2,1091,1,2,2,0,1,79.8,1,0.7,6.96,1.1,1.3,1.1,0,0.2,0.4,0.3,0,1.3,2.3,0,1.3,1.5,1.3,37.7,79.8,0.2,3.6,Osmanlispor FK
6,101807,tr,Numan Çürüksu,31, D(C),187,78,24,1,2173,0,0,4,0,0.2,76.8,0,2.2,6.95,1,2.6,1.3,0.1,6.8,0.3,0.6,0,0.2,0.6,0,0,0.2,0.2,30.1,76.8,0,2.2,Osmanlispor FK
7,41843,ro,Gabriel Torje,26, AM(LR),168,71,19,6,1702,3,5,3,0,2.2,64.4,1,0.4,6.95,0.9,0.9,1.8,0,0.4,0.5,0,0,1.7,1.2,0.1,1.7,1.5,1.7,21.9,64.4,1.6,1.2,Osmanlispor FK
8,23242,tr,Mehmet Güven,28, DMC,183,77,27,5,2379,1,0,3,0,0.7,81.9,0,0.8,6.92,2.5,2.2,1.3,0,1.3,1.2,0.4,0,0.8,1.2,0,0.6,0.5,0.8,33.9,81.9,0,2.5,Osmanlispor FK
9,80148,tr,Ugur Demirok,27, D(C),185,76,26,0,2315,1,0,7,1,0.7,74.3,1,3.1,6.92,1.2,2.5,1.4,0.3,5.5,0.3,0.3,0,0.3,1.1,0.1,0.1,0.2,0.3,33.5,74.3,0,3.3,Osmanlispor FK
10,10152,pl,Lukasz Szukala,32, D(C),198,90,10,0,887,0,0,4,0,0.5,75.2,0,3.4,6.90,1.1,1.9,1.6,0.3,6.1,0.1,0.9,0,0,0.8,0,0.1,0.3,0,29.4,75.2,0,1.4,Osmanlispor FK
11,35006,tr,Hakan Aslantas,30, D(R),181,76,10,1,886,0,1,4,0,0.3,71.3,0,0.9,6.86,2.5,2.1,1.2,0.2,2,1,0.1,0,0.8,1.9,0,0.8,0.7,0.8,25.4,71.3,0.6,2.1,Osmanlispor FK
12,43200,ci,Bakary Soro,30, D(C),184,74,7,1,703,0,0,1,0,0.4,78.8,0,2.8,6.82,1.3,2.9,0.8,0.1,6.4,0.3,0.6,0,0.1,0.4,0,0.1,0.3,0.1,30.1,78.8,0,2.6,Osmanlispor FK
13,103797,cg,Dzon Delarge,26, AM(L),173,0,10,5,905,0,4,2,0,1.5,77.6,0,0.1,6.80,1.7,0.9,2,0.1,0.2,0.5,0,0,1.4,0.6,0,2.1,2.3,1.4,19.1,77.6,0.1,0.3,Osmanlispor FK
14,292141,tr,Muhammed Bayir,27, D(LR),0,0,22,0,1980,0,0,3,0,0.3,79.5,0,0.6,6.79,1.1,2.5,0.7,0.1,2,0.7,0.3,0,0.5,0.7,0.1,0.5,0.7,0.5,34.1,79.5,0.3,2,Osmanlispor FK
15,31360,ba,Avdija Vrsajevic,30, D(R),179,71,13,3,1086,0,2,4,0,0.2,69.9,0,0.9,6.74,1.7,1.7,2.6,0.1,2,0.6,0.3,0,0.7,0.3,0.1,0.4,0.9,0.7,20.4,69.9,0.8,1.5,Osmanlispor FK
16,42692,ro,Raul Rusescu,27, FW,180,73,17,7,1351,9,2,2,0,2,64.9,1,1.3,6.73,0.4,0.3,0.9,0,0.5,0.5,0,0,0.7,0.8,0.8,1.4,1.7,0.7,19.3,64.9,0.1,0.3,Osmanlispor FK
17,28211,tr,Hakan Arikan,33, GK,192,86,1,0,90,0,0,0,0,0,70,0,0,6.66,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,70,0,7,Osmanlispor FK
18,19161,br,Artur Moraes,35, GK,192,90,4,0,337,0,0,0,0,0,38.4,0,0.3,6.64,0,0,0,0,0.5,0,0,0,0,0.3,0,0,0,0,24.8,38.4,0,5.8,Osmanlispor FK
19,6668,de,Erdal Kiliçaslan,31, AM(L),179,73,12,13,1068,3,3,1,0,1.1,71.2,0,0.7,6.61,0.8,0.6,0.4,0,0.5,0.2,0,0,0.9,0.6,0.2,0.6,0.8,0.9,10.8,71.2,1,0.4,Osmanlispor FK
20,33689,tr,Ahmet Sahin,38, GK,190,82,28,0,2520,0,0,0,0,0,44.5,0,0.4,6.60,0,0.1,0,0,0.5,0,0,0,0,0.4,0,0,0,0,25,44.5,0,7.4,Osmanlispor FK
21,9430,cm,Pierre Webó,34, FW,181,78,7,13,766,6,1,1,0,0.9,63.1,0,1.1,6.53,0.3,0.1,0.9,0,0.8,0.2,0.1,0,0.3,1.2,0.4,0.7,1.1,0.3,11.7,63.1,0.1,0.4,Osmanlispor FK
22,299213,tr,Hakan Canbazoglu,28, Goalkeeper,0,0,1,1,113,0,0,0,0,0,25.8,0,0.5,6.52,0.5,0,0,0,2,0,0,0,0,0.5,0,0,0,0,15.5,25.8,0,2.5,Osmanlispor FK
23,79606,tr,Serdar Deliktas,29, FW,0,0,10,8,890,3,1,2,1,1.1,68,0,1.1,6.40,0.4,0.1,0.7,0,0.6,0.2,0,0,0.8,1.6,0.2,0.8,1.7,0.8,14.1,68,0,0.2,Osmanlispor FK
24,292145,tr,Mehmet Umut Nayir,22, Forward,0,0,0,7,128,1,0,0,0,0.4,67.3,0,1.6,6.27,0.1,0.1,0.1,0,0.6,0.1,0,0,0.1,1.4,0.3,0,0.7,0.1,7,67.3,0,0.3,Osmanlispor FK
25,297150,lr,Tonia Tisdell,24, Midfielder,0,0,1,2,93,0,0,0,0,1,53.3,0,0.3,6.25,1,0.3,1,0,0,0,0,0,0.7,0.7,0.7,0.7,1.3,0.7,10,53.3,0.7,0,Osmanlispor FK
26,243520,jp,Takayuki Seto,24, M(C),181,73,2,5,186,0,0,1,0,0.3,80,0,0.4,6.17,0.1,1.1,1.4,0,0.1,0.1,0.1,0,0.3,0.6,0,1.1,0.1,0.3,12.1,80,0,0.3,Osmanlispor FK
27,292146,tr,Galip Guzel,29, Midfielder,0,0,0,5,66,0,0,0,0,0.2,84,0,0.6,6.16,0.2,0.4,0.4,0,0,0.4,0,0,0,0.6,0.2,0.2,0.8,0,10,84,0,0.4,Osmanlispor FK
28,19944,cz,Vaclav Prochazka,32, D(C),185,78,1,5,117,0,0,2,0,0,77.1,0,0.7,6.15,0.2,0.3,1.2,0,1,0.5,0,0,0.3,0.3,0,0,0.2,0.3,8,77.1,0,1,Osmanlispor FK
