,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,42140,cm,Leonard Kweuke,28, FW,188,85,17,0.0,1513,10,2,4,0,3.1,67.3,2,1.8,7.16,0.4,0.2,2.2,0.1,0.9,0.1,0.1,0,1.1,2.4,1.1,2.5,2.8,1.1,19.2,67.3,0.2,0.9,Rizespor
1,67626,tr,Eren Albayrak,25," D(L),M(L)",179,65,18,3,1648,0,8,1,0,0.5,70,1,0.3,7.04,2.1,1.7,1,0.2,0.9,0.8,0,0,1.9,1,0,0.7,0.8,1.9,28.2,70,2.2,2,Rizespor
2,136471,tr,Ertugrul Ersoy,19, D(C),0,0,9,2,801,0,0,4,0,0.2,76.6,2,1.6,7.02,1.5,3.6,1.6,0,4.2,0.5,1.2,0,0.1,0.5,0,0.2,0.3,0.1,30.7,76.6,0,3.2,Rizespor
3,119550,tr,Orhan Ovacikli,27, D(R),0,0,24,2,2205,0,1,6,0,0.2,75.7,1,0.8,6.94,2.8,2.7,1.2,0.1,1.8,0.8,0.5,0,0.5,1.5,0,0.4,0.4,0.5,28.2,75.7,0.6,1.9,Rizespor
4,42882,ci,Ousmane Viera,29, D(C),186,77,25,0,2131,1,1,3,1,0.4,78.7,0,2.2,6.84,1.4,2.4,1.2,0.7,4.4,0.5,0.9,0,0.2,0.8,0,0.2,0.2,0.2,36.1,78.7,0,2.7,Rizespor
5,29745,tr,Deniz Kadah,30," AM(CL),FW",186,75,27,6,2494,11,1,3,0,2.2,67.1,3,2.9,6.83,0.7,0.7,0.5,0,0.4,0.7,0.1,0,0.8,1.5,0.3,1.1,1.5,0.8,25.6,67.1,0.1,1.2,Rizespor
6,8127,de,Cedrick Makiadi,32, M(C),177,77,19,1,1568,0,1,7,0,0.4,82.9,0,1,6.83,2.3,2.2,1.1,0,1,1.2,0.4,0,1.1,1.9,0,0.9,1.3,1.1,36.5,82.9,0.5,1.9,Rizespor
7,123399,ng,Godfrey Oboabona,25," D(C),DMC",186,80,31,1,2820,1,0,9,0,0.3,84.7,1,1.3,6.83,1.6,2.3,1.1,0.3,3.9,0.2,0.8,0,0.1,0.5,0,0.3,0.3,0.1,43.7,84.7,0,3.6,Rizespor
8,292216,,Gökhan Akkan,21, Goalkeeper,0,0,1,0,90,0,0,0,0,0,57.5,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,57.5,0,17,Rizespor
9,135045,iq,Dhurgham Ismail,22, D(L),172,0,13,7,1229,0,0,3,0,0.2,62,1,0.7,6.77,2.6,2.3,1.3,0.1,1.9,0.6,0.2,0,0.7,1,0.2,0.4,0.6,0.7,21.6,62,0.6,1.4,Rizespor
10,11812,cm,Charles Itandje,33, GK,193,90,33,0,2970,0,0,2,0,0,52.9,3,0.4,6.70,0,0,0,0,0.7,0.1,0,0,0,0.2,0,0,0,0,28.9,52.9,0,8.9,Rizespor
11,93752,tr,Ümit Kurt,25, D(C),0,0,3,0,235,0,0,0,0,0,66.3,0,3.7,6.69,2,3.3,0,0.7,4,0.7,0,0,0,1,0,0,0,0,31.7,66.3,0,3,Rizespor
12,93874,tr,Ahmet Ilhan Özek,28, AM(LR),183,75,28,5,2264,3,3,7,0,1.6,71.4,0,0.8,6.68,1.3,1.1,0.8,0,0.8,0.5,0.2,0,0.5,0.8,0.2,0.5,0.9,0.5,18.3,71.4,0.4,0.7,Rizespor
13,142037,de,Robin Yalcin,22, DMC,183,78,18,2,1490,0,0,7,0,0.2,84.5,0,0.6,6.59,2.3,1.5,1.8,0.1,1.7,1.1,0.4,0,0.3,1.2,0,0.7,0.8,0.3,29.8,84.5,0.1,2.9,Rizespor
14,115518,tr,Koray Altinay,24," D(CR),DMC",186,81,27,3,2400,0,2,13,1,0.5,79.4,0,0.6,6.59,2.1,1.6,2,0.1,1.2,1.1,0.4,0,0.4,1.6,0,1,0.5,0.4,31.1,79.4,0.1,1.6,Rizespor
15,297532,pl,Patryk Tuszynski,26, FW,184,77,9,9,917,2,1,3,0,0.8,75.3,0,1.9,6.54,0.8,0.4,2.2,0,0.2,0.3,0.1,0,0.4,2.2,0.1,1.3,1.3,0.4,16.4,75.3,0.1,0.3,Rizespor
16,80679,tr,Sercan Kaya,28, M(R),174,68,18,4,1385,1,3,5,0,0.5,75.9,0,0.2,6.51,1.6,0.5,1.3,0,0.3,0.9,0.1,0,1.2,1.3,0.1,1.3,1.5,1.2,19.8,75.9,0.5,1.3,Rizespor
17,30318,tr,Murat Duruer,28," D(L),M(CL)",182,77,14,4,1181,1,3,3,0,0.4,77.4,0,0.3,6.48,1.3,1.1,0.6,0.2,0.7,1.3,0.1,0,1,0.3,0.1,0.3,0.3,1,27.3,77.4,0.6,2.2,Rizespor
18,35709,tr,Mehmet Akyuz,30," AM(R),FW",189,89,14,18,1478,5,1,1,0,1,67.7,0,0.9,6.46,0.7,0.3,0.7,0,0.7,0.4,0,0,0.6,0.5,0.1,0.5,0.8,0.6,12.1,67.7,0.6,0.4,Rizespor
19,20646,fr,Ludovic Sylvestre,32, M(C),183,80,15,10,1640,2,0,2,1,1.1,88.7,0,0.3,6.45,0.8,1.1,0.4,0,0.5,0.8,0.1,0,0.7,0.7,0,0.8,0.5,0.7,48.1,88.7,0.2,2.8,Rizespor
20,120469,fr,Teddy Chevalier,28, Forward,178,78,10,13,878,1,2,1,0,0.7,72.3,0,0.2,6.30,0.5,0.4,0.8,0,0.3,0.2,0,0,0.6,0.6,0.1,0.7,0.8,0.6,9.7,72.3,0.3,0.6,Rizespor
21,25869,at,Ümit Korkmaz,30, AM(L),174,74,0,7,138,0,0,0,0,0.1,81.6,0,0.1,6.21,0.1,0.7,0.4,0,0.3,0.3,0,0,0.3,0.7,0.1,0.3,0.4,0.3,7,81.6,0.1,0.1,Rizespor
22,97984,ge,Nika Dzalamidze,24, Midfielder,174,70,1,5,132,0,0,0,0,0.2,78,0,0.2,6.13,1,0,0.2,0,0,0.3,0,0,0.5,0.3,0,0.8,0.8,0.5,6.8,78,0,0,Rizespor
