,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,39356,ma,Aatif Chahechouhe,29, AM(CL),176,77,33,0.0,2925,12,3,6,0,2.9,81.3,4,0.2,7.18,1.6,0.4,1.9,0,0.1,0.6,0,0,1.6,2.7,0.2,4.4,2.7,1.6,41.2,81.3,0.3,1.2,Sivasspor
1,67370,gh,John Boye,29, D(C),185,72,26,0.0,2250,4,1,7,2,0.7,66.9,3,3.3,7.15,1.8,3.2,1.3,0.7,5.8,0.6,0.7,0,0.2,1.3,0.1,0.3,0.7,0.2,28.5,66.9,0,2.1,Sivasspor
2,119500,br,Cicinho,36, D(R),172,68,25,2,2184,0,5,4,1,0.3,72.1,3,0.2,6.95,1.9,2.1,0.9,0.2,1.2,0.6,0.2,0,2.1,0.7,0,0.2,0.5,2.1,45.3,72.1,2.3,6.7,Sivasspor
3,19230,tr,Burhan Eser,31, AM(R),178,62,25,3,2209,3,6,3,0,1.5,70.9,1,1.5,6.92,1.5,0.9,1.4,0.1,0.8,0.9,0,0,1.4,1.6,0.8,1.7,2,1.4,19.8,70.9,0.9,0.5,Sivasspor
4,123943,tr,Beykan Simsek,21, AM(L),178,70,20,5,1704,4,4,4,1,2.1,74.4,3,0.7,6.88,1.3,1,1.8,0,0.8,0.6,0,0,1.2,1.6,0.4,2.2,1.4,1.2,24.8,74.4,0.9,1.1,Sivasspor
5,133709,de,Joan Oumari,27, D(C),187,80,17,0,1506,1,0,2,0,0.3,75,0,1.8,6.84,1.2,3.7,1.4,0.4,4.1,0.3,0.5,0,0.2,2.1,0,0.2,0.6,0.2,37.2,75,0.1,3.7,Sivasspor
6,36801,tr,Ibrahim Öztürk,35, D(C),185,78,23,3,2114,0,1,2,1,0.5,80.1,0,1.6,6.83,1.4,2.6,0.5,0.6,5.2,0.5,0.7,0,0.3,1.1,0,0.1,0.7,0.3,35.5,80.1,0,3.5,Sivasspor
7,93213,tr,Ziya Erdal,28, D(L),182,73,25,2,2125,1,0,7,0,0.4,75.4,1,0.8,6.69,1.6,2,1,0.3,2.2,0.6,0.5,0,0.7,1,0.1,0.6,0.6,0.7,34,75.4,0.9,2.4,Sivasspor
8,80922,bf,Djakaridja Koné,29, DMC,179,79,16,2,1431,1,1,3,0,0.8,81.1,0,1.4,6.66,1.9,2.2,2,0.1,1.8,0.6,0.1,0,0.2,0.9,0,0.7,0.9,0.2,38.2,81.1,0,2.2,Sivasspor
9,67745,tr,Yigit Incedemir,31," D(C),DMC",190,84,18,4,1550,1,1,11,1,0.5,74.2,0,1.2,6.65,2.6,1.5,3.1,0.2,1.8,1.1,0.1,0,0.5,1,0,0.6,0.8,0.5,31,74.2,0,2.1,Sivasspor
10,30333,tr,Batuhan Karadeniz,25, FW,190,75,3,1,255,1,0,1,0,3,72.6,0,1.3,6.63,0,0,0.5,0,1,0.3,0,0,1,0.5,0.3,1,3.8,1,15.5,72.6,0,0.3,Sivasspor
11,93752,tr,Ümit Kurt,25, D(C),0,0,6,0,500,0,0,1,0,0.3,70.6,0,3,6.62,0.8,2.3,0.8,0.3,4.8,0.3,0.3,0,0.2,1.3,0,0,0.2,0.2,36.8,70.6,0,4.2,Sivasspor
12,87540,uy,David Texeira,25, FW,183,82,11,4,958,2,0,0,0,1.3,71.9,0,1.7,6.54,0.7,0.3,2.3,0,0.3,0.2,0,0,0.8,1,0.2,1,1.5,0.8,17.8,71.9,0.1,0.7,Sivasspor
13,44728,tr,Korcan Celikay,28, GK,194,86,3,0,226,0,0,0,0,0,62,0,1,6.54,0,0,0,0,1,0,0,0,0,0.3,0,0,0,0,16.7,62,0,5.3,Sivasspor
14,101810,tr,Erkan Kas,24," D(L),M(L)",183,0,10,3,862,0,0,3,0,0.7,79,0,0.8,6.53,0.9,1.2,1.2,0.2,1.2,0.3,0.4,0,0.7,0.8,0.2,1.1,1.5,0.7,22.7,79,0.4,0.8,Sivasspor
15,59229,lt,Ernestas Setkus,31, GK,188,83,31,1,2835,0,0,1,0,0,49,1,0.3,6.50,0,0,0,0,0.8,0.1,0,0,0,0.3,0,0,0,0,25.8,49,0,6.3,Sivasspor
16,31009,de,Emre Öztürk,30, D(L),179,74,1,4,262,0,0,1,0,0,80.9,0,1.2,6.47,0.4,2.8,0.6,0,2,0.6,0,0,0.2,0.8,0,0.4,0.8,0.2,18.8,80.9,0.4,0.6,Sivasspor
17,291970,tr,Cagatay Ceken,24, Defender,0,0,3,0,204,0,1,0,1,0.3,71.4,0,1,6.44,1.3,3,2.3,0,2.3,0.3,0,0,0.3,2,0,1.3,1.7,0.3,21,71.4,0.7,1,Sivasspor
18,13473,tr,Adem Kocak,32, DMC,181,72,21,5,1764,0,1,4,0,0.2,81.9,0,0.3,6.39,0.9,1.2,1,0,0.4,0.5,0.2,0,0.5,0.5,0,0.8,0.4,0.5,29.5,81.9,0.1,2.7,Sivasspor
19,35152,tr,Hakan Özmert,31, M(C),176,69,3,4,346,0,0,0,0,1.3,86.3,0,0.4,6.38,0.6,0.9,0.6,0.1,0.4,0.9,0.3,0,1.3,1.4,0,0.1,0.7,1.3,26,86.3,0.6,1.7,Sivasspor
20,124705,es,Dani Abalo,28, AM(L),174,68,3,8,326,1,0,0,0,0.5,75.8,0,0.4,6.37,1.1,0.2,0.3,0,0,0.3,0,0,0.5,1.1,0.1,0.5,0.7,0.5,13.5,75.8,0.1,0.5,Sivasspor
21,22168,tr,Hasan Kabze,34," AM(L),FW",184,74,7,9,783,1,0,0,0,1.2,64.6,0,1.1,6.33,0.3,0.4,0.3,0,0.9,0.1,0.1,0,0.6,0.4,0.3,0.6,1.1,0.6,16.8,64.6,0.1,0.6,Sivasspor
22,37745,ng,Michael Eneramo,30, FW,186,85,8,2,701,1,0,3,0,1.7,74,0,1.1,6.32,0.2,0.1,2.2,0,0.5,0.1,0,0,0.6,1.4,0.8,1.1,2.3,0.6,14.6,74,0.1,0.4,Sivasspor
23,12097,ro,Cristian Tanase,29, AM(CLR),178,72,9,5,799,0,0,4,0,1.6,80.5,0,0.4,6.28,1,0.4,1.5,0,0.3,0.4,0.2,0,0.6,0.7,0,1.1,0.9,0.6,26,80.5,0.7,1.2,Sivasspor
24,32500,ma,Mehdi Taouil,33, M(C),170,70,11,5,1052,0,0,5,0,0.6,89,0,0.1,6.25,1.1,0.6,1.5,0,0.3,0.4,0.1,0,0.9,1,0.1,0.7,0.8,0.9,35.8,89,0.3,1.5,Sivasspor
25,243538,ar,Jerónimo Barrales,29, FW,184,84,5,1,370,0,0,1,1,1.2,69.7,0,3.2,6.23,0.3,0,2.5,0,0.7,0.5,0,0,0.7,1.7,0.3,1.3,0.7,0.7,16.5,69.7,0,0,Sivasspor
26,10840,tr,Ibrahim Akin,32, AM(R),183,73,1,11,312,0,1,1,0,1,76.1,0,0.2,6.19,0.4,0.2,0.3,0,0.1,0.3,0,0,0.6,0.2,0.3,1.2,0.7,0.6,11.8,76.1,0.5,0.7,Sivasspor
27,33844,tr,Yekta Kurtulus,30, M(C),173,68,3,6,324,0,0,2,0,1,84.2,0,0.1,6.17,1.1,0.7,1,0,0,0.1,0,0,0,1.1,0,0.4,0.8,0,14.8,84.2,0.1,0.7,Sivasspor
28,67134,tr,Gökhan Süzen,28," D(L),M(L)",180,75,3,1,217,0,0,0,1,0.8,73,0,1.3,6.15,0.5,0.8,1.5,0.5,1,0,0,0,0.3,2,0,0.5,0.5,0.3,15.8,73,0.3,2,Sivasspor
29,89390,tr,Orhan Gülle,24, Midfielder,184,79,1,3,69,0,0,0,0,0.5,87,0,0.3,6.11,0.8,0.3,0.3,0,0,0.5,0,0,0,0.3,0,0.3,0.5,0,11.5,87,0,1,Sivasspor
30,97439,no,Etzaz Hussain,23, M(C),176,69,3,5,317,0,0,1,0,0.9,79.9,0,0.4,6.03,0.5,0.8,0.6,0,0.1,0.4,0.3,0,0.1,0.5,0,0.8,0.8,0.1,26.1,79.9,0,3,Sivasspor
