,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,42410,tr,Mehmet Ekici,26, M(CL),180,78,16,2,1394,4,3,4,0,2.9,85.1,2,0.4,7.11,0.8,0.6,1.4,0,0.1,0.6,0,0,1.9,3.2,0.1,1.7,1.8,1.9,38.8,85.1,1.4,1.7,Trabzonspor
1,67076,tr,Mustafa Yumlu,28, D(C),191,76,24,1,2161,2,0,8,0,0.7,81.3,2,2.7,7.09,2.3,3.3,1.6,0.8,4.6,0.5,0.9,0,0,1.3,0,0.1,0.3,0,35,81.3,0,2.9,Trabzonspor
2,26854,gn,Kevin Constant,29," D(L),M(CL)",184,78,8,0,707,0,2,1,0,0.5,81.7,0,1.5,7.03,2.6,2.3,2.1,0.9,1,0.5,0.3,0,0.6,1.3,0.3,0.6,1.3,0.6,48.6,81.7,0.6,4,Trabzonspor
3,93805,tr,Okay Yokuslu,22, DMC,188,79,24,3,2105,2,0,7,0,0.6,81,0,1.8,6.93,2.7,2.2,1.3,0,0.8,1,0.2,0,0.6,1.4,0,1,0.8,0.6,42.2,81,0,1.7,Trabzonspor
4,18539,cm,Stéphane Mbia,30," D(C),M(C)",189,82,17,0,1493,2,1,6,0,0.9,86.2,0,1.6,6.93,1.6,2.2,2.5,0.1,1.2,1.4,0.2,1,1,2.2,0.1,0.8,1.4,1,49.9,86.2,0.2,2.7,Trabzonspor
5,303157,tg,Serge Akakpo,28, Defender,178,71,7,3,637,1,0,1,0,0.2,81.3,1,2,6.84,0.9,3.1,0.5,0.2,3.1,0.6,0.7,0,0.1,0.4,0.1,0.1,0.4,0.1,27.8,81.3,0,2.1,Trabzonspor
6,34942,nl,Douglas,28, D(C),192,80,15,1,1344,0,1,6,1,0.1,82.9,0,2.5,6.80,2.4,2.2,1.3,0.5,3.7,0.4,0.6,0,0.5,0.6,0.1,0.2,0.3,0.5,39.1,82.9,0,3.9,Trabzonspor
7,81642,be,Luis Pedro Cavanda,26," D(LR),M(R)",190,82,24,1,2100,0,1,4,2,0.4,82.3,2,0.3,6.80,1.9,2.3,1.1,0.5,1.1,0.8,0.2,0,1.1,0.7,0.1,1.6,0.8,1.1,35.8,82.3,0.6,2.8,Trabzonspor
8,40076,tr,Onur Kivrak,28, GK,187,74,20,0,1800,0,0,1,0,0,54.3,1,0,6.78,0.1,0.1,0,0,0.5,0.1,0,0,0.1,0.1,0,0,0.1,0.1,22.7,54.3,0,6.6,Trabzonspor
9,34167,tr,Aykut Demir,27, D(C),180,67,19,1,1684,1,0,9,2,0.5,87,1,1.9,6.75,1.1,2.8,1.4,0.7,3.9,0.4,0.8,0,0.2,0.4,0,0.1,0.2,0.2,37.4,87,0,3.2,Trabzonspor
10,67627,tr,Muhammet Demir,24, FW,170,74,11,1,903,4,2,2,0,1.8,74,0,2.1,6.75,0.3,0.3,0.8,0,0.7,0.3,0,0,1.1,1,0.3,1.6,2.1,1.1,25.9,74,0,0.4,Trabzonspor
11,10685,pt,José Bosingwa,33, D(CLR),183,75,12,0,1080,0,0,3,0,0.2,73.9,0,1.3,6.74,1.9,2.3,0.8,0.3,2.9,0.4,0.3,0,0.1,1.1,0,0.8,0.8,0.1,33.8,73.9,0.3,2.9,Trabzonspor
12,14759,dz,Carl Medjani,31," D(C),DMC",184,78,4,4,451,1,0,1,0,1.3,80.5,0,0.5,6.68,1.5,1.5,0.5,0.1,0.6,0.4,0,0,0.6,0.8,0.3,0.8,0.8,0.6,23.1,80.5,0,0.8,Trabzonspor
13,23205,de,Marko Marin,27, M(CLR),170,64,18,6,1475,2,4,3,0,1.3,79.6,0,0,6.67,0.6,0.3,0.8,0,0.1,0.4,0,0,1.4,0.8,0.2,0.8,0.6,1.4,24.7,79.6,1,0.9,Trabzonspor
14,91990,cr,Esteban,27, GK,193,88,14,0,1248,0,0,1,0,0,53.5,2,0.1,6.63,0,0.4,0,0,0.9,0.1,0,0,0,0.3,0,0,0.1,0,24.4,53.5,0,7.5,Trabzonspor
15,139550,tr,Aytac Kara,23, DMC,188,0,13,5,1251,1,0,3,1,1.4,87.7,0,0.6,6.62,1.2,1.4,1.8,0,1,1.5,0.2,0,0.5,1.9,0,0.7,0.8,0.5,41.1,87.7,0.1,2.8,Trabzonspor
16,21479,py,Óscar Cardozo,33, FW,193,90,14,7,1255,8,2,4,0,1.7,66.1,0,1.5,6.62,0.1,0.1,1.1,0,1,0.2,0.1,0,0.7,0.2,0.6,0.5,0.9,0.7,14.6,66.1,0,0.5,Trabzonspor
17,10451,se,Erkan Zengin,30, AM(LR),180,72,22,3,1884,3,3,5,1,1.4,81.8,1,0.2,6.61,0.7,0.3,1,0,0.2,0.4,0,0,1.2,1,0.2,1.3,1,1.2,41.6,81.8,0.9,1.6,Trabzonspor
