,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,118305,gh,David Accam,25," AM(LR),FW",174,66,6,1,567,4,1,1,0,3.4,71.8,2,0,7.34,0.6,0,1,0,0.1,0.1,0,0,1.4,2.7,0.9,1.3,2.6,1.4,12.1,71.8,0.6,0.3,Chicago Fire
1,111979,us,Matt Lampson,26, GK,191,91,9,0,810,0,0,0,0,0,55.8,1,0.4,7.10,0.1,0.1,0,0,0.8,0.1,0,0,0,0.1,0,0,0,0,25.1,55.8,0,6.8,Chicago Fire
2,267016,us,Matt Polster,23," D(R),DMC",183,77,8,2,791,0,0,4,0,0.7,82.9,1,1.3,7.06,1.5,3.6,1,0.1,2,1.2,0.3,0,0.6,1,0,1.4,1.4,0.6,44.5,82.9,0.1,3.3,Chicago Fire
3,283977,,Rodrigo Ramos,21, D(R),173,66,10,3,965,0,2,3,0,0.5,73,0,0.5,6.98,3.3,2,1.3,0,2.2,1,0.2,0,0.9,1.6,0.1,0.5,1.4,0.9,29.4,73,0.5,1.8,Chicago Fire
4,21268,ro,Razvan Cocis,33, M(C),181,74,9,4,864,2,0,0,0,0.8,74.8,0,1.2,6.97,2.5,2.4,0.7,0.1,1,0.5,0.3,0,0.8,1.2,0,1,0.4,0.8,27.8,74.8,0,1.6,Chicago Fire
5,313014,us,Jonathan Campbell,22, D(C),191,86,13,1,1215,1,0,1,0,0.6,79.3,0,1.4,6.92,1.6,2.9,0.4,0.4,4.9,0.1,0.6,1,0,0.6,0,0,0.6,0,38.6,79.3,0,4.6,Chicago Fire
6,90833,nl,Johan Kappelhof,25," D(CR),DMC",180,70,14,0,1260,0,0,1,0,0.1,77.5,0,0.8,6.92,1.9,4,1.1,0.2,3.4,0,0.6,0,0.4,0.3,0.2,0.1,0.3,0.4,41.9,77.5,0,2.8,Chicago Fire
7,121682,sv,Arturo Alvarez,30, AM(CR),176,78,12,0,887,1,3,1,0,1.3,74.7,1,0.2,6.82,1.9,0.9,0.4,0,0.4,0.8,0.1,0,1.3,0.6,0.1,1.3,1.4,1.3,27,74.7,0.8,1.2,Chicago Fire
8,85030,us,Michael Stephens,27, M(CR),176,71,7,1,588,0,1,0,0,0.3,77,0,0.3,6.81,2,1.6,0.4,0.1,0.6,0.6,0.3,0,1.1,0.4,0,0.9,0.6,1.1,46.8,77,0.8,2.8,Chicago Fire
9,317674,sn,Khaly Thiam,22, Midfielder,186,0,4,1,331,1,0,0,0,1,76.7,0,3,6.74,1.8,1,2,0,0.4,0.2,0,0,0.8,0.4,0,0.8,0.4,0.8,32.6,76.7,0,2.6,Chicago Fire
