,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,316656,cr,Dennis Castillo,23, Defender,180,77,1,1,121,0,1,1,0,0.5,73.2,0,2,7.32,1,2,1.5,0,3.5,1,0.5,0,0.5,1,0,0,0.5,0.5,20.5,73.2,1,1.5,Colorado Rapids
1,5480,us,Jermaine Jones,34," D(C),M(C)",183,78,7,0,613,3,1,3,0,2.6,73.3,1,3,7.26,2,0.6,2.6,0,1.3,0.1,0.1,0,1.3,2.6,0.4,3.6,2.9,1.3,43.9,73.3,0.1,2.1,Colorado Rapids
2,137156,al,Shkelzen Gashi,27, AM(L),182,75,10,0,826,2,2,3,0,3.5,75.6,3,1.3,7.26,2,1.2,1.9,0,0.2,1.2,0.2,0,2.4,0.7,0.2,1.8,1.8,2.4,31.2,75.6,1.1,1.4,Colorado Rapids
3,313026,tt,Mekeil Williams,25, D(R),174,0,11,1,1011,0,2,3,0,0.2,74.6,2,1.8,7.17,3.2,2,0.8,0,2.7,1.1,0.6,0,0.6,0.6,0.1,0.9,0.7,0.6,34.8,74.6,0.6,2.2,Colorado Rapids
4,120518,gt,Marco Pappa,28, AM(LR),178,71,6,3,479,2,3,1,0,2.1,77.7,1,0,7.16,1.3,0.8,0.7,0,0,0.6,0,0,1.7,1,0,2.7,1.8,1.7,30.9,77.7,0.9,1.1,Colorado Rapids
5,38902,us,Bobby Burling,31, D(C),196,89,10,0,875,1,0,2,0,0.6,71.1,1,1.6,7.14,1.9,2.7,1.4,0.3,3,0.6,0.9,0,0.1,0.8,0,0.2,0.3,0.1,27.3,71.1,0,4.8,Colorado Rapids
6,144301,ug,Micheal Azira,28, DMC,178,73,16,0,1432,0,0,3,0,0.6,84,0,1,7.13,3,3.6,2.1,0,2.1,1.3,0.4,0,0.6,0.8,0.1,0.8,0.8,0.6,54.2,84,0,4.2,Colorado Rapids
7,270583,,Axel Sjoberg,23, D(C),201,91,14,0,1260,1,1,4,0,0.5,80.5,0,2.7,7.07,1,2.7,1.1,0.1,6.1,0.5,0.8,0,0.1,0.4,0,0.1,0.3,0.1,40,80.5,0,3,Colorado Rapids
8,31801,us,Marc Burch,32," D(L),M(L)",183,83,12,0,1077,0,1,5,0,0.1,76.5,1,0.7,7.06,1.9,1.9,0.8,0.1,3.2,0.3,0.4,0,0.9,0.3,0,0.2,0.5,0.9,36.5,76.5,0.9,3.3,Colorado Rapids
9,72628,us,Sam Cronin,29, DMC,178,75,16,0,1440,1,1,0,0,0.9,81.4,1,1.1,7.00,1.9,1.8,1.4,0.1,2.1,0.9,0.3,0,1.2,0.8,0,1,0.8,1.2,48.5,81.4,0.3,4.9,Colorado Rapids
10,11718,ie,Kevin Doyle,32, FW,180,79,11,1,1002,3,1,2,0,2.5,70.4,1,3.1,6.94,1,0.1,1.1,0,0.3,0.6,0,0,1.2,2.1,0.5,2.1,1.7,1.2,25.6,70.4,0.3,0.7,Colorado Rapids
11,143771,us,Jared Watts,24," D(C),DMC",186,71,5,2,476,0,0,2,0,0.3,84.1,0,1.4,6.80,1.6,2,0.7,0.3,3.1,0,0.3,0,0,0.4,0,0,0,0,33.3,84.1,0,4.1,Colorado Rapids
12,99246,us,Zac MacMath,24, GK,188,80,16,0,1440,0,0,1,0,0,59.8,0,0.6,6.68,0,0.2,0,0,0.9,0.1,0,0,0,0.3,0,0,0.1,0,29.4,59.8,0,9.1,Colorado Rapids
13,143486,us,Eric Miller,23, D(LR),183,80,8,1,697,0,0,2,0,0.4,77.5,0,0.7,6.68,1.9,1.2,1.2,0.1,3.4,0.7,0.4,0,0.4,0.4,0.2,0.2,0.8,0.4,30.1,77.5,0.1,2.7,Colorado Rapids
14,280255,ar,Luis Solignac,25," AM(LR),FW",184,80,12,3,1085,3,0,0,0,1.7,73.4,0,0.9,6.67,1,0.5,0.7,0,0.4,0.4,0.1,0,0.7,0.6,0.7,1.3,3.1,0.7,19.1,73.4,0.1,0.9,Colorado Rapids
15,126743,us,Dillon Powers,25, M(CL),181,79,8,4,720,1,1,2,0,1.1,82.2,0,0.3,6.60,1.6,0.7,1.4,0,0.7,0.2,0.2,0,1.2,1.4,0,0.9,1.9,1.2,29.5,82.2,0.2,2.6,Colorado Rapids
16,144805,us,Marlon Hairston,22," D(R),M(R)",183,72,4,3,377,0,1,1,0,0.6,80,0,0.4,6.59,1.7,1.1,0.6,0,0.6,0.3,0.1,0,1.1,0.4,0.9,0.9,1.1,1.1,19.3,80,0.4,0.3,Colorado Rapids
17,270584,sn,Dominique Badji,23," AM(R),FW",183,77,6,6,609,1,1,2,0,1.3,67.2,0,1.2,6.48,0.7,0.4,1.8,0,0.6,0.3,0.1,0,0.6,0.5,0.3,1.6,1.2,0.6,9.9,67.2,0.1,0,Colorado Rapids
18,126744,us,Dillon Serna,22, AM(LR),171,62,3,6,280,1,0,1,0,0.6,62.9,0,0.1,6.41,0.4,0.9,0.4,0,0.8,0.9,0,0,0.3,0.1,0.1,0.3,0.6,0.3,9.9,62.9,0.1,0.4,Colorado Rapids
19,90314,us,Conor Doyle,24," AM(L),FW",186,80,0,3,23,0,0,2,0,0.3,60,0,0,5.86,0.3,0,1,0,0.3,0,0,0,0,0,0,0.3,0.7,0,3.3,60,0,0,Colorado Rapids
