,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,26428,sl,Kei Kamara,31," AM(LR),FW",191,85,9,0.0,790,5,0,0,0,4,72.4,1,3.8,7.25,0.2,0.4,0.9,0.1,0.8,0.2,0.1,0,0.4,1,1,1.2,2,0.4,20.6,72.4,0,0.2,Columbus Crew
1,21542,ar,Federico Higuaín,31, AM(C),173,75,13,0.0,1149,3,2,0,0,2.5,78.3,0,0.2,7.15,0.9,0.5,0.7,0,0.1,0.9,0,0,3,1.2,0.4,1.7,1.3,3,54,78.3,1.5,3.5,Columbus Crew
2,99320,us,Justin Meram,27, AM(L),186,75,13,2,1070,2,4,2,0,2.2,73.9,3,0.6,7.15,2.5,0.9,0.6,0,0.5,1.4,0.1,0,1.3,1.9,0.3,2.3,2.5,1.3,26.6,73.9,0.2,0.5,Columbus Crew
3,35548,gh,Harrison Afful,29, D(R),171,67,13,0,1156,0,1,0,0,1.6,79.3,0,0.6,7.10,1.9,2.8,1,0.1,1.6,0.8,0.1,0,1.2,0.9,0.3,1.2,1.4,1.2,49.5,79.3,1,2.7,Columbus Crew
4,83821,us,Steve Clark,30, GK,188,88,15,0,1350,0,0,0,0,0,75.4,0,0.2,6.94,0.1,0.3,0,0,1,0,0,0,0,0.1,0,0.1,0.1,0,26.1,75.4,0,6.3,Columbus Crew
5,73419,ar,Gastón Sauro,26, D(C),190,78,7,1,513,0,0,1,0,0.3,85.8,0,0.8,6.84,1.8,2.8,2,0.1,3.9,0,1.1,0,0.1,0.3,0,0.1,0.3,0.1,33.5,85.8,0,2,Columbus Crew
6,85007,cm,Tony Tchani,27, DMC,194,84,6,1,549,0,0,2,0,1.3,84.3,0,1.4,6.82,1.6,1.6,1.1,0,1.3,0.6,0,0,1.1,1.3,0,1.1,0.6,1.1,58.3,84.3,0,4.3,Columbus Crew
7,137158,no,Ola Kamara,26, FW,184,81,5,4,519,5,0,0,0,3,74.3,1,1.2,6.82,0.2,0.2,0.6,0,0.1,0,0,0,0.4,0.7,0.9,1.1,0.9,0.4,12.1,74.3,0,0.1,Columbus Crew
8,126871,us,Wil Trapp,23, DMC,173,69,15,0,1350,0,0,3,0,0.3,87.2,0,0.8,6.80,2.9,2.5,1.1,0,0.9,1.2,0.4,0,0.3,0.6,0,0.5,0.7,0.3,70.9,87.2,0.1,4.7,Columbus Crew
9,116741,cr,Waylon Francis,25, D(L),176,73,9,3,861,0,2,2,0,0.2,79.8,0,1,6.72,2.5,2.2,1.1,0.1,1.7,0.5,0.3,0,0.7,0.4,0.3,0.8,0.9,0.7,33.8,79.8,0.3,0.8,Columbus Crew
10,318250,,Cristian Martínez,19, Midfielder,174,0,0,2,51,1,0,0,0,1,80,0,0,6.69,0.5,0,1,0,0,0,0,0,0.5,1,0,0.5,0,0.5,7.5,80,0,0,Columbus Crew
11,32537,us,Michael Parkhurst,32, D(CR),181,73,15,0,1341,0,1,0,1,0,84.2,0,0.7,6.67,1.1,2.6,0.3,0.5,2.8,0.5,0.6,0,0.3,0.5,0,0,0.1,0.3,49.3,84.2,0,4.4,Columbus Crew
12,38774,us,Tyson Wahl,32, D(CL),188,84,6,1,602,0,0,2,1,0.1,86,0,2.4,6.65,1.6,3,1.3,0,4,0.6,0.6,0,0.1,0.3,0,0.1,0.7,0.1,53.1,86,0,4.7,Columbus Crew
13,270787,se,Mohammed Saeid,25, DMC,170,64,11,1,935,0,1,1,0,0.5,91.6,0,0,6.60,0.8,1.4,0.6,0,0.2,0.4,0.2,0,1.2,1.4,0.1,0.7,1.4,1.2,49.5,91.6,1.2,2.8,Columbus Crew
14,38768,us,Corey Ashe,30, D(L),171,70,6,0,473,0,0,1,0,0.2,82,0,0,6.57,1.7,1.7,0.8,0.2,2,0.5,0.2,0,0.5,1.7,0,0.5,1,0.5,37,82,0.3,1.5,Columbus Crew
15,111977,us,Ethan Finlay,25, AM(R),176,73,13,2,1158,1,4,2,0,1.3,78.1,0,0.3,6.55,1.1,0.5,0.6,0,0.3,0.2,0,0,1.4,0.7,0.5,1.9,1.9,1.4,18.9,78.1,0.7,0.2,Columbus Crew
16,82106,cd,Cedrick,24, AM(LR),167,62,2,6,232,1,0,0,0,0.8,79,0,0.4,6.46,0.4,0.5,0.1,0,0,0,0,0,0.5,0.1,0.1,1.1,0.5,0.5,7.8,79,0.4,0.1,Columbus Crew
17,99250,us,Héctor Jiménez,27," D(R),M(R)",176,64,5,4,406,0,0,0,0,0.7,77.2,0,0.8,6.37,0.6,1,0.2,0,0.8,0.3,0,0,1,0.2,0.1,0.2,0.6,1,21,77.2,0.6,0.9,Columbus Crew
18,126863,us,Chad Barson,25, D(LR),178,78,1,1,91,0,0,0,0,0,92.2,0,1,6.26,0.5,1.5,0.5,1,0,0,0.5,0,0,0.5,0,1,0,0,25.5,92.2,0,1,Columbus Crew
19,313034,eg,Amro Tarek,24, Defender,189,0,0,1,2,0,0,0,0,0,100,0,0,6.19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,0,0,Columbus Crew
20,318249,us,Ben Swanson,18, Midfielder,168,59,0,1,16,0,0,0,0,0,100,0,0,6.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100,0,0,Columbus Crew
21,315569,gt,Rodrigo Saravia,23, Midfielder,183,79,1,6,181,0,0,0,0,0,90.7,0,0.1,6.10,0.3,0.9,0.4,0,0.3,0.1,0.1,0,0,0.1,0,0.3,0,0,15.4,90.7,0,0.7,Columbus Crew
22,78230,dk,Emil Larsen,25, Midfielder,180,73,0,3,31,0,0,0,0,0,93.3,0,0,6.01,0.7,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,5,93.3,0,0.3,Columbus Crew
23,5293,us,Conor Casey,34, FW,186,87,0,2,8,0,0,0,1,0,0,0,0,5.49,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,Columbus Crew
