,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,85017,us,Bill Hamid,25, GK,191,103,4,0.0,360,0,0,0,0,0,52.8,1,0.8,7.45,0,0,0,0,1,0,0,0,0,0.3,0,0,0,0,26.5,52.8,0,6.3,DC United
1,41571,gh,Patrick Nyarko,30, AM(R),183,75,11,0.0,825,3,0,2,0,1.2,68.9,2,1.4,7.26,1.7,1.9,0.8,0.1,1,0.7,0,0,1.3,2.5,0.2,1.5,1.7,1.3,26.9,68.9,0.4,0.9,DC United
2,27806,br,Marcelo Sarvas,34, M(C),178,71,14,0.0,1236,0,1,7,1,0.9,80.8,2,0.7,7.21,3.9,3.5,2.9,0,0.8,1.6,0.3,0,1.1,2.9,0,2.1,1.4,1.1,56.6,80.8,0.1,4.4,DC United
3,76439,us,Lamar Neagle,29," AM(LR),FW",181,75,16,0.0,1328,3,3,2,0,1.9,68.4,0,2.8,7.16,2.3,1.3,1.6,0,1,0.8,0,0,1.1,1.1,0.4,1.6,1.8,1.1,28.5,68.4,0.6,0.8,DC United
4,143470,us,Steve Birnbaum,25, D(C),186,82,11,0.0,990,0,0,4,0,0.7,69.6,0,3.6,7.11,2,3.1,1.7,1.1,4.8,0.2,0.9,0,0.2,0.1,0.1,0,0.5,0.2,28.5,69.6,0,2,DC United
5,126888,us,Taylor Kemp,25, D(L),181,70,16,0.0,1440,0,1,1,0,0.6,62.9,1,1.4,7.10,2.8,2.3,1.3,0.4,3.1,0.5,0.5,0,1.3,0.9,0.1,0.4,0.5,1.3,38.8,62.9,1.1,4.4,DC United
6,314024,,Jalen Robinson,22, Defender,176,66,1,1,91,0,0,0,0,0,83.7,0,0.5,6.90,1,2,0.5,0.5,3.5,0,1.5,0,0,0,0,0,0,0,21.5,83.7,0,0,DC United
7,277251,us,Travis Worra,23, GK,191,80,11,0,990,0,0,0,0,0,37,1,0.4,6.87,0.1,0.4,0,0,1.1,0,0,0,0,0,0,0,0,0,23.8,37,0,6.5,DC United
8,38804,us,Sean Franklin,31," D(R),M(R)",178,73,16,0,1440,1,0,4,0,0.2,76.9,0,0.6,6.85,1.6,2.6,1.4,0.2,2.9,0.5,0.3,0,0.6,0.6,0.1,0.6,0.8,0.6,38.2,76.9,0.7,2.6,DC United
9,126723,us,Kofi Opare,25, D(C),188,87,5,0,450,0,0,1,0,0.8,78.3,0,1.8,6.85,0.6,3.2,1,1.6,4.2,0.6,0.6,0,0,1.2,0.4,0,0.6,0,30.4,78.3,0,1.4,DC United
10,17497,us,Bobby Boswell,33, D(C),188,84,15,0,1350,0,0,1,0,0.2,64.2,0,2.3,6.76,1,1.9,0.8,0.7,5.4,0.2,0.5,0,0.2,0.4,0,0.1,0.5,0.2,31.1,64.2,0,2.3,DC United
11,42014,us,Jared Jeffrey,26, DMC,181,75,5,5,586,0,0,3,0,1.2,81.9,0,0.8,6.75,2.9,2.1,1.5,0,0.6,0.9,0.6,0,0.7,0.1,0,0.6,0.4,0.7,29.3,81.9,0,2.8,DC United
12,142312,ar,Luciano Acosta,22, FW,161,61,11,5,891,1,4,4,0,1.4,71.9,0,0.1,6.73,1.3,0.4,1.4,0.1,0.2,0.8,0.1,0,1.3,1.2,0.3,1.5,1.8,1.3,22.9,71.9,0.3,1.3,DC United
13,20972,cr,Álvaro Saborio,34, FW,183,82,5,5,558,4,1,0,0,2.1,66.7,0,1.5,6.73,0.5,0.3,1.1,0,0.4,0.3,0.1,0,0.8,0.7,1.2,0.8,1.7,0.8,17.1,66.7,0,0.6,DC United
14,30749,ar,Fabian Espindola,31, FW,176,73,8,4,738,3,0,2,0,3.1,68.5,1,2.1,6.71,0.5,0.7,0.7,0,0.3,0.3,0,0,1.1,1.3,0.4,2.3,2.7,1.1,21.2,68.5,0.8,0.7,DC United
15,112012,us,Nick DeLeon,25, AM(CLR),178,78,15,0,1340,0,0,4,0,1,87.2,0,0.7,6.64,1.9,0.8,0.7,0.1,0.9,0.5,0.1,0,0.7,0.6,0.1,1.1,1.5,0.7,34.5,87.2,0.2,2.1,DC United
16,18109,us,Chris Rolfe,33," AM(CL),FW",176,66,9,0,643,0,0,2,0,1.9,72.2,0,0.4,6.41,1.2,0.8,0.8,0,0,0.2,0,0,1.7,1.2,0.3,1.9,2.6,1.7,26.3,72.2,0.1,0.4,DC United
17,313353,gb,Rob Vincent,25, Midfielder,0,0,2,6,203,0,0,0,0,0.3,67.5,0,0.4,6.33,0.4,1,0.1,0,0.8,0,0,0,0.5,0,0,0.3,1,0.5,10.4,67.5,0,1,DC United
18,318180,,Alhaji Kamara,22, Forward,180,73,0,4,43,1,0,0,0,0.8,76.5,0,0.8,6.29,0,0,0.3,0,0.3,0,0,0,0.8,0,0.3,0.5,0.8,0.8,4.3,76.5,0,0,DC United
19,313044,de,Julian Buescher,23, Midfielder,178,77,0,9,138,0,0,1,0,0.3,70.7,0,0.1,6.09,0.7,0.2,0.9,0,0.1,0.3,0,0,0.3,0.7,0,0.6,0.4,0.3,9.1,70.7,0.3,0.6,DC United
20,270528,mx,Miguel Aguilar,22, Forward,175,78,0,6,90,0,0,0,0,0.2,66.7,0,0,6.05,0.7,0.3,0,0,0,0.3,0,0,0.2,0,0,0.7,0.2,0.2,6.5,66.7,0.2,0.5,DC United
21,74366,us,Andrew Dykstra,30, GK,194,89,1,0,90,0,0,0,0,0,50,0,0,5.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,50,0,7,DC United
