,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,144810,us,Ryan Hollingshead,25," D(LR),M(R)",186,83,13,1,1158,2,0,2,0,0.8,70.4,1,3.4,7.35,2.3,3.6,1.7,0.1,2.4,2.1,0.1,0,0.4,1.2,0.1,0.9,1.5,0.4,34.7,70.4,0.1,2,FC Dallas
1,126914,us,Walker Zimmerman,23, D(C),188,87,15,0,1350,1,0,4,0,0.9,78.1,1,4.2,7.33,1.1,4.1,1.5,1.2,5.3,0.3,0.3,0,0.2,0.8,0.1,0,0.5,0.2,42.3,78.1,0,3.9,FC Dallas
2,125585,ar,Mauro Díaz,25, AM(C),168,68,11,2,994,2,5,2,0,1.7,75.3,1,0.3,7.19,1.4,0.3,1.5,0,0,0.4,0.1,0,2.8,3.5,0.2,2.8,1.8,2.8,36.8,75.3,1.2,2.6,FC Dallas
3,125537,ar,Maximiliano Urruti,25, FW,183,75,15,1,1317,3,2,1,0,2.4,70.3,2,0.8,7.02,2.1,0.8,1.3,0,1.3,0.5,0.1,0,0.9,1.8,0.6,1.8,2.4,0.9,17.3,70.3,0.1,0.3,FC Dallas
4,112024,us,Matt Hedges,26, D(C),194,89,11,0,984,0,0,2,0,0.5,79.9,1,1.9,7.00,1.7,3.9,0.6,0.6,3.5,0.5,0.4,1,0.2,0.7,0,0,0.5,0.2,48.7,79.9,0,5.9,FC Dallas
5,38671,hn,Maynor Figueroa,33," D(CL),M(L)",182,85,16,0,1440,0,0,4,0,0.8,76.1,0,2,6.99,2.4,3.4,0.8,0.2,2.4,0.4,0.3,1,0.4,0.6,0,0.4,0.7,0.4,43.5,76.1,0.3,2.9,FC Dallas
6,88033,co,Fabian Castillo,24," AM(CLR),FW",171,71,17,1,1453,4,3,1,0,2,66.8,0,0.2,6.90,1.3,0.6,0.9,0,0,0.4,0,0,1.2,0.3,1,2.5,2.2,1.2,19.6,66.8,0.4,0.7,FC Dallas
7,113933,ec,Carlos Gruezo,21, DMC,171,67,13,1,1114,0,0,5,0,1.1,77.5,0,0.9,6.90,3.6,2.3,2.3,0,0.6,1.1,0.1,0,0.6,0.6,0,0.5,0.4,0.6,37.5,77.5,0.1,3.5,FC Dallas
8,270780,co,Michael Barrios,25," AM(R),FW",163,61,16,0,1209,5,1,1,0,1.4,79.2,1,0.2,6.87,1.3,0.3,0.4,0,0.4,0.5,0.1,0,1.4,0.9,0.3,1.3,2.4,1.4,19.9,79.2,0.8,0.3,FC Dallas
9,38743,us,Chris Seitz,29, GK,194,108,13,0,1170,0,0,0,0,0,61.1,0,0.3,6.82,0.2,0,0,0,1.3,0,0,0,0,0,0,0,0,0,24.2,61.1,0,7,FC Dallas
10,84996,us,Zach Loyd,28, D(CLR),176,72,10,2,919,0,0,1,0,0,77.2,0,0.9,6.79,1.2,3.5,0.3,0.5,3.3,0.2,0.8,0,0,1.1,0,0.3,0.3,0,33.6,77.2,0,3.2,FC Dallas
11,99285,us,Victor Ulloa,24, DMC,183,75,13,4,1108,0,0,2,0,0.2,79.4,0,1.3,6.66,1.5,2.4,0.9,0,0.9,0.4,0,0,0.6,0.4,0.1,0.6,0.7,0.6,37.9,79.4,0.2,2.1,FC Dallas
12,143484,ca,Tesho Akindele,24," AM(CLR),FW",186,80,9,7,860,5,2,1,0,1.5,73.1,1,1.4,6.65,0.6,0.4,0.4,0,0.3,0.3,0.1,0,0.7,0.3,0.3,2.1,2.1,0.7,17.4,73.1,0.1,0.2,FC Dallas
13,126909,us,Kellyn Acosta,20," D(R),DMC",178,68,11,6,1121,1,2,1,0,1.1,78.4,0,1.1,6.63,1.8,1.1,1.4,0,0.5,0.6,0.1,0,0.7,0.8,0,0.6,1.5,0.7,30.5,78.4,0.6,2.5,FC Dallas
14,38900,kn,Atiba Harris,31," D(R),M(R),FW",191,78,8,5,727,1,0,3,0,0.5,67.4,0,1.4,6.61,1.1,2.5,0.8,0.2,1.2,0.4,0,0,0.4,0.5,0,0.6,1,0.4,21,67.4,0.2,2.1,FC Dallas
15,314025,us,Aaron Guillen,23, Defender,152,72,1,0,90,0,0,0,0,0,81.8,0,1,6.38,0,2,3,1,4,2,0,0,0,0,0,1,0,0,33,81.8,0,1,FC Dallas
16,10667,ar,Mauro Rosales,35, AM(CR),173,75,0,13,210,1,1,1,0,0.2,72.9,0,0.2,6.29,0.3,0.2,0.2,0,0,0.3,0,0,0.7,0.6,0.1,0.4,0.2,0.7,8.2,72.9,0.7,0.2,FC Dallas
17,202072,mx,Jesse Gonzalez,21, GK,191,83,5,0,450,0,0,0,0,0,57.8,0,0.2,6.20,0.4,0.2,0,0,1,0.2,0,0,0,0.4,0,0.2,0,0,25.6,57.8,0,6.4,FC Dallas
18,313021,co,Juan Esteban Ortiz,28, Midfielder,177,69,0,3,36,0,0,0,0,0,84.6,0,0.3,6.13,0.7,0.3,0.3,0,0.3,1,0,0,0,0.3,0,0.3,0.3,0,8.7,84.6,0,1.3,FC Dallas
19,317956,ar,Agustin Jara,24, Defender,0,0,0,2,8,0,0,0,0,0,0,0,0,6.07,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,FC Dallas
20,314029,co,Carlos Lizarazo,25, Midfielder,171,67,1,4,102,0,0,0,0,0.6,90.9,0,0,6.03,0.4,0,0.6,0,0,0.6,0,0,0.2,0,0,1,0.4,0.2,8.8,90.9,0.2,0,FC Dallas
21,314027,de,Timo Pitter,23, Midfielder,173,73,0,1,9,0,0,0,0,1,60,0,0,6.00,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,60,0,0,FC Dallas
