,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,23523,us,Ricardo Clark,33, M(C),178,73,15,0.0,1311,3,0,2,0,1.5,80.1,1,1.7,7.07,2.4,2.5,1.6,0,1.7,0.4,0.7,0,0.4,0.9,0,0.9,1.4,0.4,30.2,80.1,0.1,2.5,Houston Dynamo
1,13810,jm,Giles Barnes,27," AM(CL),FW",180,82,10,0.0,829,4,1,0,0,2.2,72.4,0,2.3,7.01,0.4,0.8,1.3,0,1.1,0.3,0.2,0,0.9,1.7,0.4,1.8,1.5,0.9,23.9,72.4,1.2,1.3,Houston Dynamo
2,3431,us,DaMarcus Beasley,34, D(L),173,66,14,0.0,1134,1,0,1,0,0.4,80.7,2,1.4,6.93,2.8,2.4,0.8,0.2,1.9,0.3,0.1,0,0.5,2.3,0,0.4,0.9,0.5,34.8,80.7,0.4,1.6,Houston Dynamo
3,111718,us,Andrew Wenger,25," M(LR),FW",183,84,15,0.0,1200,3,2,2,0,1.9,63.4,2,1.3,6.91,2.1,1.1,0.9,0,0.6,0.1,0.1,0,0.7,0.7,0.3,1.9,2,0.7,19.7,63.4,0.5,0.5,Houston Dynamo
4,93212,es,Raúl Rodríguez,28," D(CR),DMC",183,70,11,0.0,990,0,0,2,0,0.6,76.2,0,1.6,6.89,1.6,4.2,0.8,1.1,3.7,0.5,0.5,0,0.2,0.3,0,0.1,0.3,0.2,35.1,76.2,0,3.8,Houston Dynamo
5,99304,us,Joe Willis,27, GK,196,87,8,1,790,0,1,0,0,0,46.2,1,0.2,6.88,0.1,0.1,0,0,0.4,0,0,0,0.1,0,0,0,0,0.1,27.7,46.2,0,9.4,Houston Dynamo
6,15236,es,Agus,31, D(C),186,82,6,0,540,0,0,0,0,1.2,60.7,0,2,6.87,0.5,3.3,2,1.3,6,0.3,0.5,0,0.2,0.7,0,0.2,0.2,0.2,24.2,60.7,0.2,3.5,Houston Dynamo
7,42829,br,Alex,27, M(CLR),173,71,12,1,1049,1,2,3,1,0.7,78.7,0,1.3,6.87,3.5,1.5,1.9,0,0.7,1.1,0.2,0,0.6,2.1,0.2,1.7,1.3,0.6,37.5,78.7,0.5,2.2,Houston Dynamo
8,40679,us,David Horst,30, D(C),194,96,13,1,1186,2,0,2,0,0.8,70.6,0,2,6.76,1.1,1.5,0.6,0.6,3.9,0.2,0.6,0,0.1,0.6,0.1,0,0.4,0.1,29.9,70.6,0,2.4,Houston Dynamo
9,72635,us,Tyler Deric,27, GK,191,84,7,0,547,0,0,0,2,0,35.6,0,0.3,6.71,0.1,0.1,0.3,0,0.7,0,0,0,0,0.1,0,0,0.3,0,23.3,35.6,0,6.3,Houston Dynamo
