,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,126728,us,Gyasi Zardes,24," AM(LR),FW",188,80,10,1,929,4,4,1,0,1.5,70.7,2,2.4,7.51,1.4,0.8,0.7,0,0.7,0.3,0.4,0,1.7,1.4,0.1,1.6,3,1.7,27.3,70.7,0.1,0.3,LA Galaxy
1,17,gb,Steven Gerrard,36, M(C),185,82,9,2,764,2,5,1,0,1.8,81,1,0.5,7.23,1.2,1.9,1.3,0,0.6,0.6,0.2,0,1.5,0.6,0.1,0.7,0.6,1.5,41.7,81,1.2,4.4,LA Galaxy
2,28112,mx,Giovani dos Santos,27," AM(CLR),FW",179,71,12,0,992,7,1,1,0,1.8,84.5,1,0.2,7.08,0.9,0.1,0.4,0,0.2,0.3,0,0,1,0.7,0.4,0.8,0.8,1,22,84.5,0.4,1.4,LA Galaxy
3,28488,us,Robbie Rogers,29," D(LR),M(L)",178,75,10,2,845,1,0,1,0,0.4,79.4,1,1.4,7.08,2,2.3,1.1,0.1,2.1,0.5,0.3,0,0.5,1.3,0,0.3,0.7,0.5,38.8,79.4,0.5,1.1,LA Galaxy
4,88,ie,Robbie Keane,35, FW,176,73,6,0,510,4,0,0,0,2.2,83.9,1,0.2,7.05,0,0,0.2,0,0,0,0,0,1,1.8,1.2,0.8,1,1,20.7,83.9,0.8,1.3,LA Galaxy
5,4281,be,Jelle Van Damme,32, D(CL),191,87,14,0,1238,0,1,6,0,0.6,72.1,0,2,7.04,1.9,3.4,2.1,0.4,5.3,0.7,1,0,0.4,0.4,0.1,0.1,0.3,0.4,44.9,72.1,0.1,5.6,LA Galaxy
6,4608,nl,Nigel de Jong,31, M(C),174,72,11,0,988,0,0,2,0,1,85.6,0,0.8,6.93,1.9,2.5,1.2,0,1.1,0.5,0.4,0,0.5,1.6,0.1,0.5,0.5,0.5,73.2,85.6,0.1,7.5,LA Galaxy
7,39104,us,Mike Magee,31," AM(LR),FW",178,73,13,3,1101,5,2,1,0,1.4,82.4,1,0.2,6.89,0.9,0.6,0.8,0,0.5,0.6,0.1,0,1.1,0.9,0.1,0.6,1.2,1.1,26.9,82.4,0.9,1.3,LA Galaxy
8,313042,us,Daniel Steres,25, D(C),183,78,14,1,1274,1,0,5,0,0.5,82.6,0,2.5,6.87,0.7,2.6,1.1,0.3,4.7,0.3,0.5,0,0.1,0.5,0,0,0.2,0.1,43.2,82.6,0,5.3,LA Galaxy
9,112933,us,Brian Rowe,27, GK,183,84,14,1,1330,0,0,0,0,0,49.7,1,0.2,6.85,0,0.1,0,0,0.3,0,0,0,0,0.5,0,0,0.1,0,25.1,49.7,0,6.1,LA Galaxy
10,85031,br,Leonardo,28, D(C),188,84,1,0,90,0,0,0,0,0,70.3,0,1,6.78,1,5,0,0,4,0,1,0,0,1,0,0,0,0,37,70.3,0,3,LA Galaxy
11,122132,us,Sebastian Lletget,23, AM(CLR),178,69,12,3,1031,0,2,0,0,1.2,87.3,0,0.7,6.78,0.9,0.6,0.7,0,0.7,0.3,0.1,0,1.1,1.7,0.1,2.5,1.6,1.1,31,87.3,0.4,1.2,LA Galaxy
12,342,gb,Ashley Cole,35, D(L),176,66,13,0,1143,0,0,2,2,0.2,82.8,0,0.6,6.77,2.2,2.5,0.8,0.5,2.1,0.5,0.2,0,0.5,1.2,0,1,0.9,0.5,41.5,82.8,0.5,2.2,LA Galaxy
13,111709,us,Rafael Garcia,27, DMC,168,69,0,1,82,0,0,0,0,0,82.9,0,1,6.69,0,3,0,0,5,1,0,0,0,0,0,1,0,0,41,82.9,2,0,LA Galaxy
14,313043,gh,Emmanuel Boateng,22, Forward,168,68,6,5,613,1,2,1,0,0.5,76.6,1,0.3,6.69,1.5,1,0.5,0,0.3,0.3,0.1,0,0.7,0.7,0.4,1.5,1.2,0.7,15.9,76.6,0.4,0.1,LA Galaxy
15,286108,us,Dave Romney,23, Defender,188,79,2,2,195,0,0,0,0,0,76.7,0,1.5,6.64,1.5,1.8,0.5,0.5,3,0.3,0.3,0,0.3,0.5,0,0,0.3,0.3,22.5,76.7,0.3,1.5,LA Galaxy
16,72638,gu,A.J. DeLaGarza,28, D(CLR),176,69,10,0,891,0,0,3,0,0.1,83.6,0,0.9,6.63,1.4,2,1,0.9,1.4,0.5,0.8,0,0,0.9,0,0.8,0.5,0,40.2,83.6,0.1,2.7,LA Galaxy
17,143497,ba,Baggio Husidic,29, M(CLR),186,73,9,6,862,1,1,0,0,0.5,83.4,0,0.4,6.62,2,1.1,0.8,0,0.7,0.6,0.2,0,0.7,0.7,0.1,0.8,0.4,0.7,26.1,83.4,0.1,1.6,LA Galaxy
18,27286,us,Jeff Larentowicz,32," D(C),DMC",186,80,4,5,394,0,0,1,0,0.6,82.3,0,0.9,6.43,1,1,1.3,0,1.7,0.3,0.1,0,0.4,0,0,0.2,0.6,0.4,21.3,82.3,0,1.7,LA Galaxy
19,286109,cr,Ariel Lassiter,21, Forward,178,0,1,0,67,0,0,0,0,3,66.7,0,0,6.27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,66.7,0,0,LA Galaxy
20,99254,us,Jack McBean,21, FW,183,80,1,1,99,0,0,0,0,1,80.6,0,1.5,6.27,0.5,0.5,1,0,0.5,0,0,0,1,2,0,0.5,2.5,1,18,80.6,0,0.5,LA Galaxy
21,30907,us,Alan Gordon,34, FW,191,87,2,7,222,0,0,2,0,0.4,73.7,0,1.4,6.18,0.2,0,0.7,0,0.4,0,0,0,0,0.6,0.1,0.9,0.6,0,10.6,73.7,0.1,0.2,LA Galaxy
22,111706,us,Jose Villarreal,22, FW,173,73,0,3,17,0,0,1,0,0,42.9,0,0.3,6.12,0.7,0.3,0.3,0,0,0,0,0,0.3,0,0,0.3,0.7,0.3,2.3,42.9,0,0,LA Galaxy
23,227672,us,Bradford Jamieson,19, Forward,186,75,0,3,39,0,0,0,0,0.3,75,0,0,6.08,0.3,0.3,0.7,0,0,0.3,0,0,0,0,0,1,0,0,6.7,75,0,0,LA Galaxy
24,39906,us,Dan Kennedy,33, GK,186,91,2,0,110,0,0,1,0,0,44.9,0,0.5,6.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.5,44.9,0,5.5,LA Galaxy
