,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,24177,ar,Ignacio Piatti,31, AM(CL),181,77,14,0.0,1260,9,2,3,0,2.6,81.3,2,0,7.45,1.1,1.1,1.3,0,0.1,0.6,0.1,0,2.4,2,0.1,2.9,2.6,2.4,37.1,81.3,0.1,1.9,Montreal Impact
1,4384,ci,Didier Drogba,38, FW,189,91,8,2,760,5,3,3,0,4.1,59.8,2,2.4,7.37,0.6,0.7,1.3,0,1.3,0.3,0.2,0,1.6,1.3,0.2,2.2,2.5,1.6,23.4,59.8,0.4,0.8,Montreal Impact
2,270530,ar,Víctor Cabrera,23, D(C),179,80,11,0,946,0,0,1,0,0,82.5,3,0.9,7.20,3.4,4.6,1.2,0.5,2.9,1,1,0,0.5,0.5,0,0.1,0.5,0.5,46.2,82.5,0,6.3,Montreal Impact
3,19661,be,Laurent Ciman,30, D(C),180,70,12,0,1080,0,0,1,0,0.6,80.3,1,2.2,7.19,1.9,3.7,0.8,0.4,6,0.8,0.6,0,0.4,0.4,0,0.4,0.3,0.4,50.3,80.3,0.1,8.1,Montreal Impact
4,143553,us,Donny Toia,24, D(LR),173,73,6,0,540,0,1,2,0,0.2,72.9,0,1.2,7.06,2.3,3,1,0.3,2.2,0.5,0.3,0,1,0.3,0,1.7,0.5,1,33.8,72.9,0.5,1.2,Montreal Impact
5,26653,gh,Dominic Oduro,30," AM(R),FW",183,73,14,1,1237,4,5,1,0,1.5,79.6,0,0.9,6.94,0.7,0.5,0.5,0,0.2,0.1,0.1,0,0.9,1.5,0.7,0.8,1.6,0.9,18.9,79.6,0.1,0.5,Montreal Impact
6,36342,fr,Hassoun Camara,32, D(CR),188,87,9,1,719,1,1,2,0,0.7,81.3,0,1.5,6.92,2,1.9,1.7,0.1,1.7,0.7,0.2,0,0.4,0.1,0,0.4,1,0.4,25.1,81.3,0.3,2,Montreal Impact
7,179014,cm,Ambroise Oyongo,25," D(LR),M(L)",176,69,10,1,918,0,1,3,0,0.6,77.8,0,0.7,6.90,1.7,2.1,0.5,0.1,2.3,0.6,0.2,0,0.6,1.1,0,1,1.2,0.6,33.5,77.8,1.1,1.7,Montreal Impact
8,111719,gb,Calum Mallace,26, DMC,186,83,2,2,223,0,0,0,0,0,89.7,0,1.3,6.82,1.8,2.5,0.5,0,0.5,0.5,0.3,0,0.3,0.5,0,0.3,0.3,0.3,26.8,89.7,0,4,Montreal Impact
9,126730,fr,Wandrille Lefevre,26, D(C),186,80,6,1,585,0,0,1,0,0.4,77.4,0,0.7,6.74,1.6,2.4,1.3,0.4,4.3,0.4,1.4,0,0,0.7,0,0.1,0.4,0,37.9,77.4,0,5.4,Montreal Impact
10,126733,ca,Maxim Tissot,24," D(L),M(L)",181,74,5,2,517,1,0,0,0,0.3,74.2,0,0.4,6.73,2.6,2.3,1,0.1,2.3,0.9,0.9,0,0.7,0.6,0,0.7,0.6,0.7,26.6,74.2,0.4,1.3,Montreal Impact
11,130006,ar,Lucas Ontivero,21, AM(R),170,64,9,4,694,2,2,3,0,1.9,78.3,0,0.2,6.65,1,0.5,1.6,0,0,0.5,0,0,0.6,2,0.2,1.8,0.8,0.6,12.4,78.3,0.5,0.6,Montreal Impact
12,317957,us,Kyle Fisher,22, Defender,183,83,1,0,90,0,0,0,0,0,80.8,0,2,6.55,1,2,0,0,2,1,0,0,0,0,0,0,0,0,26,80.8,0,4,Montreal Impact
13,84993,us,Eric Alexander,28, M(CLR),186,75,9,0,777,0,0,0,0,0,90.8,0,0.1,6.52,1.2,1.2,0.9,0,0.3,0.4,0.1,0,0.4,0.6,0,1.1,1.4,0.4,53.2,90.8,0,4,Montreal Impact
14,124070,ca,Kyle Bekker,25, DMC,178,75,9,3,809,1,0,1,0,0.6,87.4,0,0.3,6.49,0.4,1.1,0.6,0,0.5,0.4,0.1,0,1,0,0,0.3,0.6,1,33.7,87.4,0.4,1.9,Montreal Impact
15,143817,us,Harry Shipp,24," AM(CLR),FW",176,66,10,4,847,0,3,0,0,1,79,0,0.6,6.44,0.7,0.5,0.7,0,0.2,0.4,0.1,0,0.7,0.5,0.2,0.7,0.9,0.7,25.1,79,0.2,0.6,Montreal Impact
16,5997,it,Marco Donadel,33, M(C),179,73,7,2,562,0,0,2,0,0.6,83,0,0.8,6.43,1.6,1.3,1.8,0,1,0.6,0.1,0,0.8,0.4,0,0,1,0.8,35.9,83,1.2,4.8,Montreal Impact
17,111721,us,Evan Bush,30, GK,186,85,15,0,1350,0,0,1,0,0,59.3,0,0.2,6.37,0,0.1,0.1,0,1.4,0.3,0,0,0.1,0.1,0,0,0.1,0.1,27.3,59.3,0,8.3,Montreal Impact
18,5365,ca,Patrice Bernier,36, DMC,176,82,4,5,457,0,0,2,0,0.2,87.6,0,0.2,6.33,1.1,1,1.2,0,0.3,0.2,0.2,0,0.4,0.4,0.1,1,0.6,0.4,25.1,87.6,0.4,2.2,Montreal Impact
19,287312,cr,Johan Venegas,27, AM(CR),183,76,4,7,386,0,1,0,0,0.8,71.9,0,0.3,6.28,0.7,0.1,0.6,0,0.4,0.5,0,0,0.6,1,0,0.7,1.5,0.6,14.5,71.9,0,0.5,Montreal Impact
20,313354,bz,Michael Salazar,23, Forward,180,82,0,5,28,0,0,0,0,0.2,61.5,0,0.8,6.18,0.4,0,0.2,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,2.6,61.5,0,0,Montreal Impact
21,229195,ca,Anthony Jackson-Hamel,22, Forward,186,82,0,4,68,1,0,0,0,1.3,80,0,1,6.18,0,0.3,0.5,0,0.5,0.3,0,0,0,0.5,0,0.8,0.5,0,5,80,0,0,Montreal Impact
