,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,28747,us,Lee Nguyen,29, AM(C),173,69,15,0.0,1310,4,4,1,0,2.4,78.4,2,0.1,7.07,1.1,0.3,1.1,0,0.1,0.8,0.3,0,2.9,2.1,0.1,2.6,2,2.9,44.1,78.4,1.3,2.7,New England Rev.
1,111954,us,Kelyn Rowe,24, M(CLR),173,69,15,1,1309,3,1,0,0,2,74.5,2,0.9,7.02,2,1.7,1.1,0,1.2,0.9,0.1,0,1.3,1.8,0.1,1.6,2.2,1.3,33.6,74.5,0.4,1.8,New England Rev.
2,26428,sl,Kei Kamara,31," AM(LR),FW",191,85,5,0,450,0,0,0,0,3.2,70.4,0,4.2,6.98,1,0.4,1.6,0,1.2,0.4,0,0,0.8,2.4,1.2,1.8,3.8,0.8,25,70.4,0,0.4,New England Rev.
3,99262,gh,Gershon Koffie,24, M(C),183,80,12,0,926,0,2,4,1,1,84.1,0,1,6.80,2.3,2.6,1.9,0,0.8,0.7,0.1,0,0.4,1.8,0,1.8,1,0.4,46.2,84.1,0,3.1,New England Rev.
4,126913,us,London Woodberry,25, D(CR),186,71,8,2,753,1,0,2,0,0.4,78.4,1,0.9,6.77,2.3,2.2,1.4,0.7,2.6,0.9,0.4,0,0.1,0.6,0.2,0.2,0.6,0.1,30.6,78.4,0.4,2.8,New England Rev.
5,85477,us,Juan Agudelo,23," AM(LR),FW",186,84,6,7,648,3,2,2,0,1.6,77.1,0,1.7,6.77,1.8,0,0.9,0,0.3,0.2,0.1,0,0.8,1.1,0.4,1.8,1.8,0.8,15.8,77.1,0,0.1,New England Rev.
6,126737,us,Donald Smith,25, Forward,181,73,2,0,180,0,0,0,0,0.5,78.3,0,1.5,6.77,2.5,3,0.5,0.5,1.5,1,1,0,0.5,1.5,0,1,1,0.5,34.5,78.3,0.5,1.5,New England Rev.
7,126735,us,Andrew Farrell,24, D(CR),181,84,16,0,1440,0,0,0,0,0.1,75.8,1,0.6,6.72,2,3.2,0.5,0.4,3.4,0.4,0.6,0,0.3,0.7,0,0.3,0.6,0.3,39.5,75.8,0.1,4.5,New England Rev.
8,13853,pt,José Gonçalves,30, D(C),188,82,13,0,1170,0,0,2,0,0.1,74,0,1.7,6.66,1.5,3.1,1.8,0.3,3.5,0.4,0.4,0,0.3,1.1,0.1,0.2,0.2,0.3,38.2,74,0.1,2.4,New England Rev.
9,85027,us,Teal Bunbury,26," AM(R),FW",188,80,10,2,856,1,1,2,0,2,71.1,0,2.1,6.66,0.8,0.8,2.2,0,0.5,0.4,0,0,0.8,1.3,0.3,1.8,2.1,0.8,25.1,71.1,0.3,0.2,New England Rev.
10,126734,us,Scott Caldwell,25, DMC,173,69,14,1,1239,0,1,2,0,0.1,87.1,0,0.1,6.64,1.9,2.1,0.8,0.1,1.2,0.9,0.3,0,0.9,1.3,0,0.7,0.8,0.9,47.5,87.1,0,2.7,New England Rev.
11,41439,us,Chris Tierney,30, D(L),183,78,12,0,988,1,0,1,0,0.7,68.5,1,0.6,6.64,0.8,1.3,0.3,0.1,2.2,0.7,0.2,0,1.6,0.4,0,0.4,1,1.6,35.5,68.5,1.5,2.9,New England Rev.
12,99292,uy,Diego Fagundez,21, AM(LR),173,64,13,3,1171,3,2,4,0,1.9,79.3,1,0.6,6.61,1.2,0.8,0.7,0,0.3,0.6,0,0,1,0.8,0.1,2,2,1,25.9,79.3,0.4,0.8,New England Rev.
13,101068,jm,Je-Vaughn Watson,32," D(CLR),M(CR)",190,80,11,2,945,0,1,2,1,0.5,80.3,0,0.7,6.59,1.8,2,1.2,0.2,2.3,0.5,0.4,0,0.5,0.8,0.1,0.9,0.5,0.5,36.2,80.3,0.1,2.9,New England Rev.
14,76069,us,Bobby Shuttleworth,29, GK,188,94,14,0,1260,0,0,1,0,0,53.2,1,0.3,6.52,0,0.1,0.1,0,0.6,0.1,0,0,0.1,0.1,0,0,0.1,0.1,23.8,53.2,0,6.8,New England Rev.
15,41613,us,Brad Knighton,31, GK,188,82,2,0,180,0,0,0,0,0,45.3,0,0,6.52,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,26.5,45.3,0,8.5,New England Rev.
16,313687,us,Femi Hollinger-Janzen,22, Forward,180,79,1,9,198,2,1,0,0,0.6,72.1,0,0.8,6.44,0.4,0.1,0.4,0,0.1,0,0.1,0,0.5,0.2,0.1,0.1,0.6,0.5,6.8,72.1,0,0.1,New England Rev.
17,29773,jp,Daigo Kobayashi,33, M(CR),178,71,3,11,361,1,0,0,0,0.6,85.6,0,0.1,6.27,0.3,1,0.4,0,0.3,0.1,0,0,0.1,0,0,0.2,0.4,0.1,12.9,85.6,0.1,0.6,New England Rev.
18,313029,us,Zachary Herivaux,20, Midfielder,185,68,0,1,4,0,0,0,0,0,80,0,0,6.15,1,2,0,0,0,1,0,0,0,0,0,0,0,0,5,80,0,0,New England Rev.
19,24368,us,Charlie Davies,30, FW,178,73,3,5,275,1,0,0,0,1,72.2,0,0.3,6.14,0,0,0.8,0,0,0.1,0,0,0.1,0.1,0.9,0.8,1.4,0.1,6.8,72.2,0,0,New England Rev.
20,314021,,Samba,23, Defender,185,70,1,1,91,0,0,0,0,0.5,80,0,1.5,5.98,0.5,2,0.5,1.5,2,0.5,0,0,0,0.5,0,0,1,0,20,80,0,2.5,New England Rev.
