,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,25913,us,Sacha Kljestan,30, M(C),185,68,15,2,1286,2,8,2,0,1.1,73.7,1,1.5,7.27,1.2,0.7,1.1,0,1.3,0.6,0.2,0,3.3,1,0.2,1.4,2.4,3.3,44.7,73.7,2.1,1,New York Red Bulls
1,31740,us,Dax McCarty,29, DMC,176,69,15,0,1335,2,0,3,0,0.9,83,0,1.6,7.18,2.6,2.5,1.2,0.1,1,1.3,0.3,0,0.7,1.4,0,1.3,0.7,0.7,67.9,83,0.1,1.8,New York Red Bulls
2,71412,br,Felipe,25, M(C),171,69,16,0,1388,3,2,2,1,1.6,73.6,2,0.4,7.18,3.2,2.9,1.5,0.1,0.4,1,0.4,0,0.8,2.2,0,0.7,1.3,0.8,56.1,73.6,0.4,3.1,New York Red Bulls
3,30156,fr,Aurélien Collin,30, D(C),188,77,6,1,569,0,0,4,1,0.4,70.4,1,3.6,7.16,1.9,4,2.1,0.4,5.6,0.4,1,0,0.3,0.9,0.3,0,0.6,0.3,30.9,70.4,0,3,New York Red Bulls
4,271566,us,Mike Grella,29, AM(L),180,77,14,2,1239,6,3,3,0,1.4,76.5,1,0.4,7.15,1.4,1.1,1.3,0,0.7,0.9,0.1,0,1.4,0.6,0.3,1.7,2.3,1.4,31.9,76.5,0.3,0.6,New York Red Bulls
5,10718,gb,Bradley Wright-Phillips,31, FW,173,71,15,2,1359,9,1,2,0,3.1,72.7,4,1.3,7.06,0.8,0.1,1.6,0,1.1,0.2,0.1,0,0.9,1,0.9,1.9,3.1,0.9,18.1,72.7,0,0.5,New York Red Bulls
6,11578,fr,Ronald Zubar,30, D(C),186,84,9,0,755,1,0,4,0,0.7,74.8,0,3.6,7.00,1.4,2.3,0.7,1,4.2,0,0.7,0,0.1,0.4,0.1,0.1,0.6,0.1,36.1,74.8,0,2.9,New York Red Bulls
7,31773,us,Sal Zizzo,29," D(R),M(LR)",181,75,14,2,1282,0,1,1,0,0.7,75.7,0,1.6,6.93,2.7,2.3,0.5,0,1.8,0.8,0.1,0,0.3,0.6,0.2,0.3,1.3,0.3,36.3,75.7,0.6,0.9,New York Red Bulls
8,13516,gb,Lloyd Sam,31, AM(R),173,75,13,2,1025,1,2,2,0,1.2,79.6,0,0.3,6.81,1.4,0.9,0.7,0,0.1,0.1,0,0,1.3,1.3,0.1,1.2,1.7,1.3,30.7,79.6,1,0.3,New York Red Bulls
9,111580,us,Connor Lade,26, D(LR),168,66,8,3,808,0,0,3,0,0.9,71.2,0,0.9,6.78,2.1,2.2,0.9,0,1.5,0.5,0.4,0,0.3,1.4,0.1,0.3,1.3,0.3,27.2,71.2,0.5,1.4,New York Red Bulls
10,243553,gh,Gideon Baah,24, D(C),184,83,5,3,445,2,0,0,0,0.9,71.6,1,1.4,6.77,2.3,2.8,0.8,0.5,1.9,0.1,0.5,0,0,0.3,0,0.4,0.3,0,22.9,71.6,0,1.4,New York Red Bulls
11,143345,jm,Kemar Lawrence,23, D(L),178,70,11,0,901,0,0,2,0,0.3,68.8,0,1.3,6.66,2.5,3.5,1.5,0.3,2.6,0.2,0.5,0,0.5,0.5,0.2,0.3,0.7,0.5,33.5,68.8,0.5,1.7,New York Red Bulls
12,36141,us,Luis Robles,32, GK,186,82,17,0,1530,0,0,2,0,0,52,0,0.2,6.65,0,0,0,0,0.4,0,0,0,0.1,0.1,0,0,0,0.1,21.1,52,0,5.9,New York Red Bulls
