,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,3577,br,Kaká,34," M(CL),FW",186,78,8,0.0,710,3,5,2,0,3.4,78.8,2,0.5,7.34,0.5,0.5,1,0,0,0.1,0.3,0,2.9,0.9,0.3,2.3,1.3,2.9,39,78.8,1.5,2.3,Orlando City
1,138492,tt,Kevin Molino,26, AM(R),184,66,12,2,1086,6,5,0,0,2.1,78.5,1,0.4,7.24,2.2,0.6,1.3,0.1,0.3,1.1,0.1,0,1.4,2.1,0.1,2.1,2.2,1.4,34.5,78.5,0.1,1.5,Orlando City
2,273229,ca,Cyle Larin,21, FW,188,86,13,1,1050,8,3,0,0,2.4,70.9,2,1.1,7.03,0.1,0.1,1.2,0,0.8,0.1,0.1,0,0.9,1.5,0.9,1.7,3.5,0.9,11.3,70.9,0,0.1,Orlando City
3,271551,co,Cristian Higuita,22, DMC,175,72,10,0,878,0,0,6,1,0.7,82.7,0,1.3,6.97,4.2,2.9,2.8,0,1.2,1.6,0.3,0,0.8,2.3,0,1.5,0.9,0.8,56.1,82.7,0,4.1,Orlando City
4,132310,gb,Seb Hines,28, D(C),188,83,12,0,1030,2,0,5,0,1.1,79.9,0,1.8,6.86,2.1,2.3,1.6,0.5,5.3,1.2,0.7,0,0,0.8,0.2,0.1,0.3,0,33.3,79.9,0,3.8,Orlando City
5,85732,us,Joe Bendik,27, GK,191,94,15,0,1350,0,0,1,0,0,57.2,0,0.5,6.85,0.1,0.3,0,0,0.5,0,0,0,0,0.1,0,0,0.1,0,23.2,57.2,0,6.7,Orlando City
6,30156,fr,Aurélien Collin,30, D(C),188,77,1,1,135,0,0,0,0,0,67.2,0,3,6.80,0.5,3,0.5,0,4,0,1,0,0.5,0.5,0,0.5,0.5,0.5,29,67.2,0,3,Orlando City
7,203870,br,Pedro Ribeiro,26, FW,194,95,1,2,152,0,0,1,0,1.3,78.1,0,1.7,6.79,2.7,1.3,2,0,0,0.7,0,0,1,1,0.3,1.7,1,1,24.3,78.1,0,2.3,Orlando City
8,36334,ch,Adrian Winter,27, AM(R),178,75,12,1,975,3,1,1,0,1.3,75.3,2,0.6,6.79,1.6,0.9,1.4,0,0.5,1.1,0,0,1,0.8,0,1.3,1.6,1,24.9,75.3,0.4,0.8,Orlando City
9,271550,pt,Rafael Ramos,21, D(R),170,70,10,0,844,0,2,2,0,0.3,80.2,0,0.1,6.77,1.3,2.1,1,0.3,1.8,0.8,0.3,0,1.2,0.6,0,0.8,1.2,1.2,35.9,80.2,1.1,1.9,Orlando City
10,275835,us,Tommy Redding,19, D(C),185,82,11,1,996,0,0,0,0,0,83.3,0,1,6.75,1.5,2.4,0.5,0.7,3.3,0.5,1.1,0,0,0.3,0,0,0.2,0,26.4,83.3,0,2.6,Orlando City
11,38895,us,Brek Shea,26," D(L),M(L)",191,82,14,0,1235,1,1,5,0,0.6,73.5,0,1.1,6.74,2.1,2.1,1,0.3,2.1,1.1,0.1,0,0.4,1.1,0,0.6,1.1,0.4,36.6,73.5,0.4,2.7,Orlando City
12,138071,sv,Darwin Cerén,26, DMC,178,73,10,0,844,0,0,1,1,1.1,83.6,0,0.3,6.68,3.2,1.9,1.4,0,1.9,0.8,0.3,0,0.5,0.9,0,1.1,1.4,0.5,46.3,83.6,0.1,4.7,Orlando City
13,99308,us,Servando Carrasco,27, DMC,178,80,8,6,856,0,0,3,0,0.2,81.1,0,0.8,6.63,2,1.9,1.1,0,1.4,0.9,0.5,0,0.6,0.1,0,0.6,0.6,0.6,36.4,81.1,0.1,3.3,Orlando City
