,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,132446,,Fabinho,31," D(L),M(L)",171,68,13,0.0,1079,0,1,5,0,0.5,74.1,0,1.1,7.13,2.8,3.5,0.8,0.1,2.5,1.2,0.4,0,0.8,0.5,0,0.7,0.5,0.8,35.6,74.1,1,1.8,Philadelphia Union
1,72783,us,Chris Pontius,29," AM(CLR),FW",183,77,16,1,1209,6,2,0,0,1.7,76.1,3,2.3,7.06,1.3,0.7,0.4,0.1,0.3,0.3,0,0,0.6,0.9,0,1.3,1.7,0.6,22.6,76.1,0.3,1,Philadelphia Union
2,99310,us,C.J. Sapong,27," AM(LR),FW",188,84,14,0,1238,5,1,0,0,2.5,65.1,1,3.4,7.01,0.2,0.4,2.1,0,0.2,0.1,0.1,0,1,2.7,0.6,1.9,2.7,1,21.7,65.1,0.1,0.1,Philadelphia Union
3,313022,us,Keegan Rosenberry,22, D(R),173,73,17,0,1530,1,0,0,0,0.6,76.1,1,1.5,6.99,2.2,2.9,0.4,0.1,2.2,0.8,0.4,0,0.6,0.8,0,0.3,0.5,0.6,45.1,76.1,0.4,4,Philadelphia Union
4,9719,ch,Tranquillo Barnetta,31, M(CLR),178,70,11,3,1026,2,2,4,0,1.9,74.5,0,0.4,6.99,0.9,0.4,1.1,0,0.1,0.4,0.1,0,2.2,1.9,0.3,1.6,1.5,2.2,36.7,74.5,1.7,1.9,Philadelphia Union
5,113459,us,Warren Creavalle,25," D(R),DMC",181,78,10,3,852,0,1,2,1,0.1,79.6,1,0.8,6.99,3.5,3.8,1.3,0,1.2,1.2,0.2,0,0.4,0.8,0,1.2,1.2,0.4,30.2,79.6,0.1,1.4,Philadelphia Union
6,102098,br,Anderson Conceicão,26, D(C),188,81,1,0,90,0,0,0,0,1,66.7,0,2,6.91,1,4,0,0,6,0,1,0,0,2,0,0,0,0,24,66.7,0,0,Philadelphia Union
7,313023,us,Ken Tribbett,23, D(C),188,0,9,1,811,1,0,2,0,0.7,79.3,0,1.8,6.87,1.3,2.6,0.8,0.8,4.5,0.5,0.6,0,0,1.2,0,0.1,0.6,0,43.9,79.3,0,5,Philadelphia Union
8,316131,gh,Joshua Yaro,22, D(C),180,74,8,1,721,0,0,0,0,0,84.8,0,1,6.84,1.4,2.6,0.2,0.4,4.1,0.4,0.7,0,0,0.2,0,0.1,0.1,0,35.9,84.8,0,3.6,Philadelphia Union
9,247866,us,Richie Marquez,24, D(C),188,82,16,0,1440,1,0,1,0,0.4,74.6,1,2.1,6.79,1.4,2.4,0.8,0.4,4.7,0.2,0.4,0,0.1,0.1,0.1,0.1,0.6,0.1,34.5,74.6,0,3,Philadelphia Union
10,72566,fr,Sebastien Le Toux,32," AM(CLR),FW",183,71,12,5,1106,2,5,2,0,0.8,71.8,0,0.6,6.78,1.8,1.2,0.4,0,0.6,0.8,0,0,1.9,1.1,0.1,1.2,1.6,1.9,28.2,71.8,0.5,0.8,Philadelphia Union
11,143496,jm,Andre Blake,25, GK,193,80,16,0,1440,0,0,0,0,0,56.1,0,0.8,6.77,0.1,0.2,0.1,0.1,0.9,0,0,0,0,0.4,0,0,0,0,23.4,56.1,0,7.1,Philadelphia Union
12,38723,us,Brian Carroll,34, DMC,178,71,14,1,1276,1,0,3,0,0.5,81.5,0,0.6,6.74,2.5,2.6,1,0,1.1,1.2,0.3,0,0.2,0.5,0,0.5,0.4,0.2,35.4,81.5,0.1,2.6,Philadelphia Union
13,111569,us,Raymon Gaddis,26, D(LR),176,69,4,2,424,0,0,3,0,0.3,74.4,0,0.3,6.72,3,1.5,0.8,0,1.3,0.2,0.3,0,0.5,1,0,1.5,1.2,0.5,32.5,74.4,0,2,Philadelphia Union
14,29580,fr,Vincent Nogueira,28, M(C),171,64,8,0,684,2,0,1,0,1.8,85.9,0,0.1,6.69,1.3,1.8,0.8,0,0,0.9,0,0,0.4,0.8,0,1.4,1.1,0.4,57.8,85.9,0,6.6,Philadelphia Union
15,315529,,Walter Restrepo,28, Midfielder,175,0,0,2,29,0,0,0,0,0.5,69.2,0,0.5,6.65,1,0,1.5,0,0.5,0,0,0,0.5,1,0,0.5,0,0.5,6.5,69.2,0.5,0.5,Philadelphia Union
