,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,201765,us,Taylor Peay,24, Defender,188,82,1,0.0,90,0,0,0,0,0,79.1,0,2,7.66,5,2,0,0,2,0,1,0,0,0,0,0,0,0,43,79.1,0,3,Portland Timbers
1,19267,ar,Diego Valeri,30, AM(CR),178,75,15,0.0,1316,5,4,1,1,3.7,75.8,2,0.7,7.31,1.6,0.7,1.1,0,0.1,0.7,0.1,0,3.9,1.6,0.5,2.5,2.1,3.9,45.7,75.8,2.3,2.6,Portland Timbers
2,99243,lr,Darlington Nagbe,25, AM(CLR),176,75,11,0.0,976,1,3,1,0,1.6,90.3,2,0.7,7.10,1.2,0.9,0.6,0,0.2,0.5,0.2,0,1.5,2.1,0,1.5,1,1.5,48.8,90.3,0.2,2,Portland Timbers
3,99232,nz,Jake Gleeson,26, GK,191,91,9,1,850,0,0,0,0,0,47.8,0,0.4,6.99,0,0.2,0,0,1.4,0,0,0,0,0.1,0,0,0,0,24.5,47.8,0,6.5,Portland Timbers
4,98826,ng,Fanendo Adi,25, FW,194,84,13,2,1117,9,0,2,0,2.1,69.3,3,1.2,6.88,0.3,0.1,2.1,0,1.5,0.1,0.2,0,1.5,1.6,0.9,0.9,2.9,1.5,20.9,69.3,0.1,0,Portland Timbers
5,24698,co,Diego Chara,30, DMC,173,69,15,0,1350,0,0,3,0,0.3,83.5,0,0.2,6.83,4,2.5,2.7,0.1,0.5,0.9,0.5,0,0.4,1.5,0,1,1.3,0.4,44.5,83.5,0,3.7,Portland Timbers
6,133486,jm,Alvas Powell,21, D(R),183,75,6,0,540,0,0,3,0,0.5,70.9,0,1,6.80,3.2,2.2,1,0.2,2.7,0.8,0.2,0,0.5,1.5,0,0.5,1.7,0.5,29.8,70.9,0.8,2,Portland Timbers
7,6403,gb,Liam Ridgewell,31, D(CL),188,80,9,0,810,1,0,2,0,0.7,80.9,1,1.4,6.76,0.7,2,1.1,0.7,4.4,0.3,1.1,0,0.1,1.4,0.2,0.2,0.1,0.1,42.6,80.9,0,7.4,Portland Timbers
8,99251,us,Zarek Valentin,24, D(R),181,71,12,0,1042,0,0,2,0,0.2,77.5,0,1,6.75,3.7,1.7,0.9,0.2,1.8,0.6,0.3,0,0.4,0.3,0,0.6,0.7,0.4,37,77.5,0.3,2.7,Portland Timbers
9,20129,us,Nat Borchers,35, D(C),188,80,15,0,1318,1,1,1,0,0.3,83.2,0,1.6,6.74,1.5,2.5,0.5,0.4,5,0.4,1,1,0.1,0.5,0,0.1,0.2,0.1,31.3,83.2,0,4.1,Portland Timbers
