,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,97460,ar,Juan Manuel Martínez,30, AM(R),176,73,13,1,1115,5,1,1,0,1.6,76.1,3,0.9,7.36,1.6,0.8,0.5,0,1.8,1.2,0.3,0,0.6,2.5,0.1,2.7,1.4,0.6,31.4,76.1,0.1,0.7,Real Salt Lake
1,92594,ec,Joao Plata,24," AM(L),FW",158,62,12,1,1082,5,5,1,0,2.4,81.1,0,0,7.10,0.5,0.2,0.4,0,0.1,0.2,0,0,2.6,1.1,0.3,2.8,1.9,2.6,29.8,81.1,1,1.4,Real Salt Lake
2,112282,us,Aaron Maund,25, D(C),186,84,13,0,1116,0,0,1,0,0.3,75.4,1,2,7.05,2.2,3,0.9,1.8,5.1,0.6,0.5,0,0,0.7,0,0.1,0.4,0,25.9,75.4,0,2.6,Real Salt Lake
3,27647,co,Jámison Olave,35, D(C),191,96,7,1,672,1,0,1,1,0.9,75.8,0,2.8,7.03,1.5,2.9,0.9,1.1,6,0.3,1.3,0,0.1,0.8,0,0,0.4,0.1,20.6,75.8,0,1.5,Real Salt Lake
4,23479,ar,Javier Morales,36, AM(C),176,69,9,3,877,1,1,2,0,1.2,84.7,1,0.1,6.92,1.1,0.8,1.3,0,0.4,0.7,0,0,2.2,2.1,0,1.6,2.5,2.2,53.3,84.7,1.5,2.8,Real Salt Lake
5,38741,us,Nick Rimando,37, GK,176,84,13,0,1170,0,0,1,0,0,48.1,1,0.3,6.84,0.1,0.1,0,0,1,0,0,0,0.2,0.2,0,0,0,0.2,27.7,48.1,0,6.8,Real Salt Lake
6,232235,us,Justen Glad,19, D(C),183,66,11,1,995,1,1,1,0,0.1,80.2,0,1.3,6.82,1.2,3,0.6,1.4,3.8,0.1,0.8,1,0.2,0.5,0,0.3,0.5,0.2,30.7,80.2,0,2.7,Real Salt Lake
7,26736,am,Yura Movsisyan,28, FW,181,81,14,1,1214,6,0,3,0,2,66.7,0,0.7,6.82,0.3,0.1,0.9,0,0.3,0.1,0.1,0,1,1.4,0.7,2.3,2.5,1,16,66.7,0.3,0.4,Real Salt Lake
8,23525,us,Kyle Beckerman,34, DMC,181,75,10,0,841,0,1,3,1,1.4,79.7,0,0.4,6.78,2.1,2.4,1.6,0.1,1.4,0.5,0.1,0,0.8,0.6,0,0.8,0.9,0.8,48.7,79.7,0.4,3.8,Real Salt Lake
9,38744,us,Tony Beltran,28, D(R),173,69,14,1,1279,0,2,4,0,0.3,73.8,0,1,6.73,1.9,2.5,1.3,0.6,2.1,0.5,0.3,0,0.3,1.1,0,0.7,1.3,0.3,30.3,73.8,0.3,1.2,Real Salt Lake
10,122228,,Sunny,27, DMC,180,73,12,0,863,1,1,3,0,0.8,82.2,1,1.1,6.73,2.2,1.6,1.5,0,0.8,0.9,0.3,0,0.3,0.8,0,0.6,0.4,0.3,34.6,82.2,0,2.3,Real Salt Lake
11,38742,us,Chris Wingert,34, D(CLR),181,75,10,1,862,0,0,2,0,0.4,69.6,0,1.5,6.66,2.3,1.8,0.5,0.5,2.6,0.1,0.2,0,0.2,0.3,0,0.1,0.2,0.2,33.8,69.6,0.1,1.8,Real Salt Lake
