,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,29916,us,Clarence Goodson,34, D(C),194,82,2,0.0,180,0,0,0,0,0.5,75,0,2.5,7.40,2.5,2,1.5,1,5.5,0,2.5,0,0,0.5,0,0,0,0,28,75,0,3,San Jose Earthquakes
1,28962,us,Chris Wondolowski,33," AM(C),FW",183,75,12,0.0,1080,7,2,0,0,2.4,69,0,2.3,7.24,1,0.4,0.8,0,1.9,0.1,0.2,0,1,0.7,0.8,0.7,2.1,1,26.3,69,0.3,1.3,San Jose Earthquakes
2,313646,ar,Andrés Imperiale,29, D(C),185,78,6,0.0,532,0,0,2,0,0.5,75.3,0,2,7.01,2.7,3.8,1.2,0.2,4.2,0.7,0.2,0,0.3,0.7,0.2,0.7,0.2,0.3,37.2,75.3,0,4.5,San Jose Earthquakes
3,79700,pa,Alberto Quintero,28, M(R),165,60,13,1,1008,3,2,2,0,1.1,81.7,0,0.3,6.95,2.1,1,1.1,0,0.9,1.3,0,0,1,2,0.1,1.1,1.6,1,34.4,81.7,0.2,1.2,San Jose Earthquakes
4,71192,hn,Víctor Bernárdez,34, D(C),188,87,16,0,1359,0,0,2,0,0.1,76.7,1,1.8,6.92,1.9,3.3,1.1,0.6,4.1,0.3,1,1,0.1,0.7,0.1,0.1,0.2,0.1,31.9,76.7,0,3,San Jose Earthquakes
5,28745,us,Marvell Wynne,30, D(CR),176,78,15,0,1350,0,1,2,0,0,81,0,0.5,6.90,2.7,1.9,0.6,0.7,3.5,0.5,0.5,1,0.3,0.5,0.1,0.3,0.3,0.3,34.5,81,0.1,2.4,San Jose Earthquakes
6,111779,pa,Aníbal Godoy,26, DMC,180,72,10,0,869,1,1,3,1,0.8,91.4,1,0.5,6.90,2.1,2,2.2,0,1,0.5,0.3,0,0.3,3.2,0,1.5,0.8,0.3,54.9,91.4,0,5,San Jose Earthquakes
7,85021,jm,Shaun Francis,29, D(LR),183,75,12,0,1018,0,0,2,0,0.4,74.5,0,0.8,6.86,2.4,2.2,1.1,0.1,2.3,0.3,0.2,0,0.4,0.7,0.2,0.9,0.9,0.4,30.4,74.5,0.6,2.3,San Jose Earthquakes
8,99315,us,David Bingham,26, GK,188,84,16,0,1440,0,0,2,0,0,47.9,1,0.6,6.84,0,0.3,0,0,1.6,0,0,0,0,0,0,0,0,0,28.6,47.9,0,8.9,San Jose Earthquakes
9,125345,ar,Matías Pérez García,31, AM(CR),166,66,8,4,659,0,1,2,0,0.8,76.2,0,0.3,6.84,1.5,0.8,0.5,0,0.1,0.5,0.1,0,2.1,1.8,0,1.3,0.3,2.1,32.6,76.2,1.1,3.3,San Jose Earthquakes
10,43449,jm,Simon Dawkins,28, AM(CLR),178,73,12,1,1036,1,0,0,1,2.1,83.5,1,0.5,6.77,0.8,0.2,1.2,0,0.4,0.5,0.2,0,1.5,1.6,0.1,2.1,2.3,1.5,45.3,83.5,0.5,0.9,San Jose Earthquakes
11,270782,us,Fatai Alashe,22, DMC,183,77,14,0,1197,2,0,4,0,0.7,82.1,1,0.6,6.72,1.2,2.1,1.5,0,1.4,0.6,0.3,0,0.1,0.6,0.1,1,0.9,0.1,40.2,82.1,0,2.1,San Jose Earthquakes
12,72770,us,Quincy Amarikwa,28, FW,176,82,12,0,1004,1,2,0,0,2.6,71.4,2,1.1,6.70,1.1,0.3,2.5,0,0.4,0.2,0.2,0,1.1,2.7,1.1,3.2,4,1.1,21.6,71.4,0.2,0.8,San Jose Earthquakes
13,26326,us,Chad Barrett,31," AM(R),FW",181,84,3,4,353,2,1,1,0,1.7,70.6,1,1.3,6.69,0.6,0.1,0.4,0,0.3,0.3,0,0,0.9,0.4,0.6,0.7,0.4,0.9,18,70.6,0.1,0.3,San Jose Earthquakes
14,38962,us,Shea Salinas,30, AM(LR),178,69,5,11,690,1,4,0,0,0.7,75.1,1,0.3,6.68,0.8,0.8,0.5,0,0.2,0.3,0,0,1.1,0.3,0.1,1.2,0.8,1.1,17.3,75.1,1.1,0.8,San Jose Earthquakes
15,202253,us,Tommy Thompson,20, AM(C),171,66,4,5,434,0,0,1,0,0.9,82.6,0,0.4,6.67,2.1,1.4,0.6,0,0.7,0.7,0,0,0.4,0.3,0,1.6,0.9,0.4,21.1,82.6,0.2,0.4,San Jose Earthquakes
16,99235,us,Kofi Sarkodie,25, D(R),176,75,9,0,792,0,0,0,0,0.2,82.9,0,0.8,6.64,2,1.7,1,0,2.3,0.1,0.1,0,0.8,0.9,0,0,0.8,0.8,37.7,82.9,0.9,1.8,San Jose Earthquakes
17,313025,us,Kip Colvey,22, Defender,178,73,3,1,315,0,0,0,0,0,82.9,0,0.5,6.37,1.8,2.3,0.3,0,1.8,0.8,0.3,0,0,0.8,0,0.8,0.5,0,36.5,82.9,0.3,1,San Jose Earthquakes
18,2899,gb,Jordan Stewart,34, D(L),183,82,1,0,76,0,0,1,0,1,83.3,0,1,6.32,2,2,2,0,1,0,0,0,0,4,0,1,1,0,42,83.3,0,1,San Jose Earthquakes
19,127250,us,Adam Jahn,25, FW,191,84,0,9,92,1,0,0,0,0.3,73.7,0,0.6,6.16,0.1,0.1,0.3,0,0,0.1,0,0,0,0.3,0.1,0.3,0.7,0,4.2,73.7,0,0,San Jose Earthquakes
20,297514,br,Matheus Silva,19, Midfielder,188,89,2,2,140,0,0,1,0,0.3,79.5,0,0.3,6.16,0.8,1.3,0.8,0,0.8,0.3,0,0,0.3,0.8,0,0.5,0.3,0.3,18.3,79.5,0,1.3,San Jose Earthquakes
21,76871,ch,Innocent,27, FW,170,68,1,5,116,0,0,0,0,0.8,70,0,0.2,6.02,0.7,0,0.2,0,0,0.3,0,0,0,0.5,0,0.7,1.8,0,6.7,70,0,0,San Jose Earthquakes
22,112284,tt,Cordell Cato,23," D(LR),M(R)",176,69,0,3,33,0,0,0,0,0,68.4,0,0,5.97,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0.7,0,6.3,68.4,0,0.7,San Jose Earthquakes
