,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,72567,cu,Osvaldo Alonso,30, DMC,181,71,15,0.0,1350,1,2,4,0,1.3,91.1,3,1,7.50,4,2.2,1.7,0,1.3,0.9,0.3,0,1,2.4,0,0.8,1,1,70.7,91.1,0.1,6.7,Seattle Sounders FC
1,28205,us,Chad Marshall,31, D(C),194,87,12,0.0,1080,2,0,1,0,1.2,85,2,2.7,7.06,0.8,3.6,0.7,0.8,3.5,0.4,0.7,0,0,0.8,0,0.1,0.1,0,47.3,85,0,5.3,Seattle Sounders FC
2,38725,us,Brad Evans,31," D(CR),DMC,M(R)",186,78,12,0.0,1026,0,0,0,1,0.3,89.5,0,1.5,6.92,1.4,3.8,0.3,0.3,3.8,0.9,0.8,0,0.2,0.5,0,0.1,0.3,0.2,47.8,89.5,0.1,5.1,Seattle Sounders FC
3,313358,us,Tony Alfaro,23, Defender,178,75,0,2,100,0,0,0,0,0.5,72.7,0,0.5,6.86,3,1,0,0.5,2.5,0,1,0,0,0.5,0,0,0.5,0,27.5,72.7,0,3.5,Seattle Sounders FC
4,313037,us,Jordan Morris,21, FW,178,75,14,1,1234,5,0,0,0,2.1,79.8,0,1.7,6.78,0.6,0.2,0.7,0,0.2,0.3,0.1,0,0.7,0.7,0.6,1.5,1.6,0.7,22.1,79.8,0.1,0.3,Seattle Sounders FC
5,72564,us,Zach Scott,35, D(CR),181,80,6,1,510,0,0,1,0,0.3,79.1,0,2.4,6.77,1.1,3.1,0.4,0.4,2.9,0.4,0.4,0,0,1.4,0,0.1,0.6,0,43.1,79.1,0,4.7,Seattle Sounders FC
6,5206,at,Andreas Ivanschitz,32, AM(CL),184,82,12,2,984,1,3,3,0,1.4,74.4,1,0.3,6.76,0.7,0.5,0.4,0,0.4,0.4,0.1,0,2.5,1.2,0.4,1.4,0.9,2.5,30.7,74.4,1.7,1.8,Seattle Sounders FC
7,16369,us,Clint Dempsey,33," M(CL),FW",186,78,10,0,888,2,0,1,0,3.6,85.2,0,1.6,6.75,0.5,0.8,1.8,0,0.1,0.1,0,0,1.3,1.5,0.2,2.5,2.4,1.3,41.2,85.2,0.2,2.1,Seattle Sounders FC
8,4967,gb,Tyrone Mears,33, D(R),181,74,14,0,1260,0,0,1,0,0.1,83.6,0,0.6,6.67,1.4,1.7,0.9,0.1,2.2,0.1,0.4,0,1.1,0.7,0.1,0.4,0.5,1.1,48.9,83.6,1.2,4.1,Seattle Sounders FC
9,271592,us,Cristian Roldan,21, M(CR),173,75,9,5,939,0,1,0,0,0.5,84.5,0,0.6,6.62,1.9,1.3,0.6,0.1,0.7,0.6,0.4,0,0.6,1.1,0.1,0.9,0.6,0.6,41.1,84.5,0.2,2.3,Seattle Sounders FC
10,72630,ch,Stefan Frei,30, GK,191,89,14,0,1260,0,0,0,0,0,55.2,0,0.1,6.61,0.1,0.1,0,0,0.8,0.1,0,0,0,0.1,0,0,0.1,0,27.9,55.2,0,7.2,Seattle Sounders FC
11,142268,se,Erik Friberg,30, DMC,181,70,8,2,695,0,1,3,0,0.7,85.2,1,0.1,6.58,1.3,1.1,1,0,0,0.7,0.3,0,1.3,0.4,0.1,0.4,0.7,1.3,50,85.2,0.6,3.2,Seattle Sounders FC
12,126957,us,Dylan Remick,25, D(L),183,75,5,4,441,0,0,1,0,0.1,83.3,0,0.8,6.56,1.3,0.9,0.6,0.1,1.2,0.3,0.2,0,0.6,0.4,0,0.7,0.3,0.6,28.7,83.3,0.7,1.1,Seattle Sounders FC
13,144343,tt,Joevin Jones,24," D(L),M(L)",171,64,12,3,1079,1,0,2,0,0.5,85.2,0,0.3,6.55,1.6,1,0.9,0.1,0.4,0.3,0.1,0,0.8,0.3,0,1.6,1,0.8,35.1,85.2,0.5,1.7,Seattle Sounders FC
14,202257,us,Aaron Kovar,22, AM(R),178,71,9,3,647,1,0,1,0,1.6,79.3,0,0.2,6.37,0.7,0.4,0.7,0,0,0.7,0,0,0.7,0.4,0,1.3,0.9,0.7,20.5,79.3,0.3,0.5,Seattle Sounders FC
15,5626,py,Nelson Valdez,32," AM(R),FW",179,78,4,5,438,0,0,1,0,1,72.2,0,2,6.36,0.9,0.4,0.4,0,0.2,0.4,0.1,0,0.1,1,0.7,1.8,2.3,0.1,16,72.2,0,0.4,Seattle Sounders FC
16,130971,us,Hérculez Gómez,34, Forward,178,75,5,4,446,0,0,0,0,1.1,83,0,0.9,6.26,0.3,0.4,1,0,0.6,0.4,0,0,0.6,0.9,0.1,0.6,1.1,0.6,15.7,83,1,0.7,Seattle Sounders FC
17,313039,vc,Oalex Anderson,20, Forward,0,0,2,9,270,0,0,0,0,0.6,68,0,0.3,6.24,0.1,0,0.5,0,0,0.2,0,0,0.5,1.1,0,0.7,1.4,0.5,6.8,68,0.1,0,Seattle Sounders FC
18,313038,us,Tyler Miller,23, Goalkeeper,193,88,1,0,90,0,0,0,0,0,48.1,0,0,6.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,48.1,0,7,Seattle Sounders FC
19,280252,us,Darwin Jones,24, Forward,176,80,0,2,22,0,0,0,0,0,75,0,0,5.91,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,2,75,0,0,Seattle Sounders FC
20,275860,jm,Oniel Fisher,24, D(L),175,70,1,0,41,0,0,0,1,0,82.6,0,1,5.86,0,2,2,0,1,0,1,0,0,1,0,1,1,0,23,82.6,0,2,Seattle Sounders FC
