,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,39094,hn,Roger Espinoza,29, M(CL),181,73,16,0.0,1434,0,2,4,1,1.8,80.5,1,2.1,7.11,3.1,1.9,2.1,0,0.6,1.1,0.1,0,1,1.7,0,1.3,1.7,1,49.7,80.5,0.2,4.6,Sporting Kansas City
1,43907,pt,Nuno Coelho,30, D(C),190,80,14,0.0,1260,1,0,2,0,0.9,79.8,0,1.4,7.10,1.6,3.6,0.2,0.9,3.6,0.6,0.6,0,0.4,0.7,0,0.4,0.4,0.4,60.5,79.8,0.1,6.3,Sporting Kansas City
2,273357,fr,Soni Mustivar,26, M(C),175,68,10,0.0,856,0,0,0,0,0.4,83,0,1.8,7.01,3.4,3.1,0.9,0,0.6,0.8,0.3,0,0.6,1.1,0,0.7,1,0.6,50.7,83,0.1,5.1,Sporting Kansas City
3,72626,us,Graham Zusi,29, AM(CLR),178,73,11,1,993,0,2,1,0,1.3,81.1,0,0.4,6.98,1.8,0.8,0.8,0,0.3,0.8,0,0,2.3,0.9,0.3,0.8,1.8,2.3,33,81.1,1.8,2.5,Sporting Kansas City
4,13776,us,Benny Feilhaber,31, M(C),176,73,12,2,1153,3,3,2,0,1.7,78.2,0,0.4,6.92,2,0.6,0.8,0,0.4,0.5,0.1,0,2.1,1.9,0.1,1.3,1.4,2.1,43.6,78.2,1.2,4.1,Sporting Kansas City
5,136096,co,Jimmy Medranda,22," D(L),M(R)",166,69,10,5,912,0,1,2,0,1.7,67.4,2,0.3,6.84,3.5,2.5,1,0.1,0.5,0.9,0.1,1,0.9,0.7,0.1,1,1,0.9,23.3,67.4,0.7,1.4,Sporting Kansas City
6,280551,us,Saad Abdul-Salaam,24, D(R),193,84,11,3,1024,0,1,0,0,0.6,76.7,1,1.4,6.82,2.4,2.4,1.1,0.2,2.1,0.6,0.1,0,0.8,0.6,0.1,0.6,0.9,0.8,24.6,76.7,0.1,1.2,Sporting Kansas City
7,271564,,Amadou Dia,22, D(L),178,68,9,1,817,0,0,1,0,0.1,74.6,0,1.1,6.74,2.3,2.7,1.6,0.1,1.7,0.2,0.2,0,0.4,0.5,0.2,1,0.8,0.4,35.4,74.6,0.2,1.1,Sporting Kansas City
8,107902,ke,Lawrence Olum,31," D(C),DMC",188,84,10,2,875,2,1,2,0,0.5,75.1,0,1.3,6.74,2.2,2.1,0.8,0.3,1.8,0.7,0.2,0,0.2,0.3,0,0.2,0.6,0.2,34.5,75.1,0,3.1,Sporting Kansas City
9,112283,gb,Dominic Dwyer,25, FW,176,82,16,2,1486,8,1,4,0,3.3,63.6,2,1.4,6.70,0.3,0.1,1.9,0,0.6,0.1,0.1,0,0.6,2.3,1.2,1.6,2.8,0.6,11.4,63.6,0.1,0.2,Sporting Kansas City
