,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,126959,us,Eriq Zavaleta,23, D(C),186,83,2,0.0,180,0,1,0,0,0.5,76,0,1.5,7.69,1,5,0,0.5,5.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,37.5,76,0,2,Toronto FC
1,30582,it,Sebastian Giovinco,29," AM(C),FW",164,59,15,0.0,1280,8,6,2,0,6,72.7,5,0.1,7.52,0.8,0.3,1.1,0,0,0.3,0,0,1.7,2.5,1.3,2.2,2.4,1.7,18.5,72.7,1.1,1.3,Toronto FC
2,22825,us,Michael Bradley,28, M(C),186,75,12,0.0,1080,0,1,2,0,0.3,83.5,0,0.4,7.32,3.5,3.1,1.4,0.1,1.4,1.2,0.5,0,1.4,0.8,0,0.8,0.8,1.4,70.3,83.5,0.5,8,Toronto FC
3,28334,us,Drew Moor,32, D(CLR),183,75,14,0.0,1260,2,0,0,0,0.6,82.2,2,1.7,7.09,0.9,3.4,0.4,0.7,4,0.3,0.9,0,0.1,1,0,0.1,0.4,0.1,44.5,82.2,0,3.9,Toronto FC
4,19898,pl,Damien Perquis,32, D(C),183,74,10,1,896,1,1,3,0,0.4,77.4,0,2.6,6.98,1.1,3.5,0.9,0.7,4.4,0.1,0.3,0,0.2,1.1,0.3,0.1,0.1,0.2,39.1,77.4,0.1,3.4,Toronto FC
5,23360,ca,Will Johnson,29, DMC,178,73,14,1,1240,2,2,2,0,1.5,82.4,1,0.8,6.94,3,1.4,1.1,0,0.9,0.7,0.2,0,0.6,1,0.1,0.4,1.1,0.6,43.5,82.4,0.3,3.8,Toronto FC
6,85019,us,Justin Morrow,28, D(CLR),176,75,15,0,1293,1,0,4,0,0.2,71.8,0,0.6,6.83,2.5,2.2,0.5,0.2,1.5,0.7,0.3,0,0.8,0.7,0.3,0.3,0.4,0.8,34.3,71.8,0.3,1.1,Toronto FC
7,85016,ir,Steven Beitashour,29, D(R),178,78,14,0,1259,0,0,2,0,0.1,72.2,0,0.8,6.78,1.9,2.6,0.9,0.1,2.5,0.4,0.4,0,0.3,1.1,0.1,0.2,0.4,0.3,38.1,72.2,0.4,1.4,Toronto FC
8,126741,us,Clint Irwin,27, GK,191,89,15,0,1330,0,0,1,0,0,46.9,1,0.5,6.78,0,0,0,0,0.8,0.1,0,0,0,0.1,0,0,0,0,26.9,46.9,0,7.1,Toronto FC
9,119623,us,Marco Delgado,21," D(LR),M(CR)",176,67,9,2,804,1,1,1,0,0.6,78.9,0,0.6,6.67,2.5,1.3,1.4,0,0.5,0.7,0.1,0,0.7,0.9,0.1,0.9,1.5,0.7,35.3,78.9,0.1,1.3,Toronto FC
10,26298,us,Jozy Altidore,26, FW,185,79,6,2,512,0,1,3,0,1.4,66.7,0,2.3,6.64,0.9,0.1,2.5,0,0.5,0.3,0,0,1.1,2.5,0.3,1.1,2.4,1.1,23.3,66.7,0,1.5,Toronto FC
11,99318,us,Josh Williams,28, D(CR),188,88,5,3,391,0,1,0,1,0.1,79.6,0,0.9,6.59,0.4,2.1,0.1,0.4,2.5,0,0.3,0,0.3,0.1,0,0.1,0.1,0.3,27,79.6,0,2.6,Toronto FC
12,127148,ca,Jonathan Osorio,24, AM(CLR),176,73,9,3,938,0,1,1,0,0.7,82.1,0,0.2,6.51,1.2,0.8,0.8,0,0.3,0.5,0.1,0,1.2,1,0,1.6,1.8,1.2,32.2,82.1,0.1,1,Toronto FC
13,313008,jp,Tsubasa Endoh,22, Midfielder,173,66,9,1,760,1,0,0,0,1.1,80.5,0,0.3,6.47,0.9,0.9,0.4,0,0.1,0.6,0,0,0.8,0.9,0.1,1.6,1.2,0.8,21,80.5,0.6,0.8,Toronto FC
