,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,25204,cl,Pedro Morales,31, M(CL),181,78,12,0.0,893,6,3,3,1,1.7,83,0,0.4,7.00,1.9,0.8,0.4,0,0.6,1.3,0.2,0,1.2,1,0.1,1.1,1,1.2,49.6,83,0.3,5.6,Vancouver Whitecaps
1,20969,cr,Christian Bolaños,32, M(R),175,67,9,4,897,5,2,1,0,1.5,81.3,0,0.2,6.85,0.9,0.9,0.5,0,0.2,0.8,0,0,1.2,1.5,0.2,1.5,1.3,1.2,30.5,81.3,0.8,0.5,Vancouver Whitecaps
2,126969,gm,Kekuta Manneh,21, AM(L),176,66,12,4,1097,5,2,1,0,2.3,72.6,1,0.4,6.84,0.9,0.3,0.5,0,0.1,0.4,0,0,0.8,0.6,0.4,1.6,1.4,0.8,22.1,72.6,0.4,0.9,Vancouver Whitecaps
3,25981,dk,David Ousted,31, GK,194,89,17,0,1530,0,0,0,0,0,52.4,2,0.4,6.83,0,0.1,0,0,0.8,0,0,0,0,0.2,0,0,0.1,0,27.2,52.4,0,7.4,Vancouver Whitecaps
4,270775,uy,Octavio Rivero,24, FW,187,80,9,3,757,2,0,4,0,1.9,71.8,0,1.2,6.81,0.8,0,2.1,0,0.6,0.2,0,0,0.7,1.4,0.6,2.3,1.5,0.7,15.7,71.8,0.1,0.5,Vancouver Whitecaps
5,313035,ca,Fraser Aird,21, D(R),173,0,11,1,1014,0,0,1,1,0.2,75.2,0,0.3,6.78,3,1.8,1.3,0.2,1.8,1,0.3,0,0.8,0.5,0,0.7,0.7,0.8,30.6,75.2,1.1,2.1,Vancouver Whitecaps
6,35650,us,Andrew Jacobson,30, DMC,188,88,8,3,792,1,0,1,0,0.6,82.5,0,1.9,6.76,1.2,1.9,1,0,2.6,0.3,0.4,0,0.5,0.3,0,0.2,0.5,0.5,32.7,82.5,0,1.8,Vancouver Whitecaps
7,238993,cr,Kendall Waston,28, D(C),196,89,11,0,951,1,0,4,2,0.7,76.7,1,2.7,6.76,1.2,2.3,2.1,1,5.7,0.7,1.2,0,0.5,0.3,0,0.1,0.5,0.5,39,76.7,0,4,Vancouver Whitecaps
8,89516,ar,Matías Laba,24, DMC,176,71,16,0,1355,0,0,3,1,0.4,84.5,0,1.4,6.76,4,1.9,2.4,0.1,0.9,2.3,0.4,0,0.5,0.8,0,0.8,0.8,0.5,46.6,84.5,0,4.3,Vancouver Whitecaps
9,39096,us,Jordan Harvey,32, D(L),181,78,16,0,1440,2,0,1,0,0.4,76.6,0,1.1,6.73,2.1,1.8,1,0.3,2.4,0.2,0.4,0,0.4,0.8,0,0.6,0.8,0.4,40.8,76.6,0.1,2.1,Vancouver Whitecaps
10,274961,us,Tim Parker,23, D(C),188,88,16,0,1440,0,0,1,0,0.5,78.5,0,2.3,6.69,0.9,1.9,0.9,0.7,5.4,0.2,0.9,0,0.2,0.6,0,0.1,0.3,0.2,39.8,78.5,0,3.4,Vancouver Whitecaps
11,278176,uy,Cristian Techera,24, AM(LR),158,77,13,3,1031,0,1,0,0,1.4,75,0,0.2,6.65,1.4,1,0.5,0,0.7,1.1,0.1,0,1.5,1.4,0.1,1.6,1.3,1.5,18.8,75,1.3,0.8,Vancouver Whitecaps
12,99501,ca,Russell Teibert,23, M(CLR),173,69,5,2,449,0,0,1,0,0.1,85.5,0,0,6.57,3.3,1.6,1,0,0.6,0.6,0,0,0.6,0.4,0,0.4,1,0.6,34.4,85.5,0.4,3.1,Vancouver Whitecaps
13,130939,cr,Jordan Smith,25, D(R),185,0,5,2,425,0,0,2,1,0.3,69.5,0,0.9,6.48,3.1,0.9,1.1,0,1.7,0.7,0.4,0,0.6,0.3,0,0.6,1,0.6,21.6,69.5,1,1.9,Vancouver Whitecaps
14,23874,pa,Blas Pérez,35, FW,186,85,2,11,464,2,1,4,0,0.8,68.3,1,2.1,6.43,0.4,0.2,1.2,0,0.4,0.5,0,0,0.7,1.1,0.1,1.2,0.9,0.7,14.1,68.3,0,0.2,Vancouver Whitecaps
15,3915,no,Pa Modou Kah,35, D(C),186,80,4,1,396,0,0,3,0,0.6,65.9,0,1.8,6.41,0.6,2.6,1.6,0.6,5.4,0.8,0.8,0,0.2,0.2,0,0.4,0.4,0.2,27,65.9,0,2.8,Vancouver Whitecaps
16,143477,uy,Nicolás Mezquida,24, AM(CR),171,69,8,3,602,1,1,0,0,1.8,73.2,0,0.4,6.39,0.3,0.3,0.9,0,0.1,1,0,0,0.6,1.5,0.2,1.1,1.7,0.6,18,73.2,0.1,0.9,Vancouver Whitecaps
17,126968,us,Erik Hurtado,25," AM(R),FW",178,82,4,6,392,0,1,1,0,0.8,81.1,0,0.6,6.37,0.3,0.1,1,0,0.9,0.1,0,0,1.1,0.5,0.2,1,1.5,1.1,12.2,81.1,0.1,0.2,Vancouver Whitecaps
18,247470,cu,Kianz Froese,20, Midfielder,176,78,1,3,141,0,0,1,0,0.3,88.1,0,0.5,6.35,1.5,0.5,0.8,0,0,0.3,0,0,0.3,0.5,0,0.3,0.8,0.3,21,88.1,0.3,0.8,Vancouver Whitecaps
19,137490,ca,Sam Adekugbe,21, D(L),176,75,1,1,111,0,0,0,0,0,56.8,0,0,6.32,1.5,1,1,0,0.5,0.5,1,0,0,1,0,1,1,0,18.5,56.8,0,1,Vancouver Whitecaps
20,71560,jp,Masato Kudo,26, FW,177,70,5,3,357,1,1,0,0,1,76.5,0,0.3,6.30,0,0,0.4,0,0.1,0,0,0,0.6,0.1,0.6,0.9,0.4,0.6,10.1,76.5,0,0.1,Vancouver Whitecaps
21,298325,ca,Marco Bustos,20, Midfielder,168,68,1,1,51,0,0,0,0,0,66.7,0,0.5,6.17,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,9,66.7,0,1.5,Vancouver Whitecaps
22,275857,hn,Deybi Flores,20, DMC,182,68,1,0,46,0,0,0,0,2,71.4,0,0,5.30,3,1,3,0,1,0,0,0,0,0,0,0,1,0,14,71.4,0,0,Vancouver Whitecaps
